報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年31週(07月31日～08月06日),2023年08月09日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週,21週,21週,22週,22週,23週,23週,24週,24週,25週,25週,26週,26週,27週,27週,28週,28週,29週,29週,30週,30週,31週,31週
神奈川県,7,0.64,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,1,0.08,0,0,3,0.25,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新潟県,2,0.17,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,6,1,0,0,0,0,0,0,2,0.33,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17,1,0.17,0,0
山梨県,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,12,1.2,1,0.1,0,0,0,0,0,0,0,0,0,0,1,0.1,1,0.1,2,0.2,1,0.1,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,1,0.1,0,0,2,0.2
愛知県,11,0.73,0,0,0,0,0,0,0,0,0,0,2,0.13,1,0.07,1,0.07,0,0,0,0,1,0.07,1,0.07,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07,1,0.07,0,0,1,0.07,1,0.07
三重県,10,1.11,0,0,0,0,1,0.11,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.11,1,0.11,0,0,0,0,0,0,0,0,0,0,1,0.11,0,0,1,0.11,0,0,1,0.11,0,0,0,0,0,0,0,0,1,0.11,0,0,0,0,2,0.22
滋賀県,4,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,2,0.29,0,0,0,0,0,0,0,0,0,0
京都府,2,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0
大阪府,4,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.13,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.06,0,0,0,0
兵庫県,11,0.79,0,0,0,0,0,0,0,0,1,0.07,1,0.07,1,0.07,0,0,0,0,1,0.07,1,0.07,0,0,0,0,1,0.07,0,0,0,0,0,0,2,0.14,1,0.07,0,0,0,0,0,0,0,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07
奈良県,8,1.33,1,0.17,0,0,0,0,1,0.17,0,0,1,0.17,0,0,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0,2,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,2,0.18,0,0,0,0,1,0.09,0,0,0,0,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0
島根県,7,0.88,0,0,0,0,0,0,0,0,0,0,1,0.13,0,0,0,0,2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13,0,0,1,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13,1,0.13,0,0,0,0
岡山県,2,0.4,0,0,1,0.2,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広島県,8,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0,0,0,1,0.05,0,0,1,0.05,0,0,1,0.05,1,0.05,0,0,1,0.05,0,0,0,0,0,0,0,0,2,0.1,0,0,0,0
山口県,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,2,0.29,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,4,0.5,0,0,0,0,1,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13,0,0,0,0,0,0,0,0,1,0.13,0,0,0,0,1,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,9,0.6,0,0,0,0,1,0.07,1,0.07,1,0.07,0,0,2,0.13,0,0,1,0.07,0,0,0,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07,0,0,0,0,0,0,0,0,1,0.07
佐賀県,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17,1,0.17,0,0,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17,0,0
長崎県,5,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,1,0.08,1,0.08,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0
熊本県,4,0.29,0,0,0,0,0,0,2,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大分県,3,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09,0,0,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,2,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.17
沖縄県,13,1.86,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,2,0.29,2,0.29,0,0,2,0.29,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.29,0,0,1,0.14,0,0,1,0.14,0,0,1,0.14,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
無菌性髄膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週,21週,21週,22週,22週,23週,23週,24週,24週,25週,25週,26週,26週,27週,27週,28週,28週,29週,29週,30週,30週,31週,31週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,369,0.77,2,0,3,0.01,7,0.01,9,0.02,12,0.03,9,0.02,10,0.02,8,0.02,10,0.02,8,0.02,10,0.02,14,0.03,8,0.02,14,0.03,11,0.02,9,0.02,12,0.03,12,0.03,8,0.02,9,0.02,14,0.03,9,0.02,15,0.03,16,0.03,14,0.03,16,0.03,21,0.04,23,0.05,18,0.04,20,0.04,18,0.04
北海道,2,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0
青森県,5,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17,1,0.17,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.33,0,0,0,0,0,0,0,0
岩手県,6,0.32,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,1,0.05,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,1,0.05,1,0.05,0,0,0,0,0,0,0,0,0,0
宮城県,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,1,0.1
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,1,0.1
福島県,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,1,0.08,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栃木県,9,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,1,0.14,0,0,0,0,3,0.43,1,0.14,0,0,0,0,0,0,0,0,2,0.29,0,0,0,0
群馬県,3,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.11,0,0,0,0,1,0.11,0,0,0,0,1,0.11
埼玉県,18,1.64,0,0,1,0.09,1,0.09,1,0.09,2,0.18,2,0.18,0,0,0,0,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09,0,0,1,0.09,0,0,1,0.09,0,0,2,0.18,0,0,2,0.18,1,0.09,0,0,2,0.18,0,0
千葉県,7,0.78,0,0,0,0,1,0.11,0,0,1,0.11,0,0,0,0,0,0,1,0.11,0,0,0,0,1,0.11,0,0,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,1,0.11,0,0,0,0,0,0,0,0,0,0,1,0.11,0,0,0,0,0,0,0,0
東京都,24,1,1,0.04,0,0,0,0,0,0,1,0.04,0,0,1,0.04,0,0,3,0.12,2,0.08,1,0.04,1,0.04,0,0,1,0.04,3,0.12,0,0,2,0.08,0,0,0,0,0,0,1,0.04,0,0,1,0.04,1,0.04,0,0,0,0,1,0.04,1,0.04,2,0.08,0,0,1,0.04
神奈川県,35,3.18,0,0,0,0,0,0,2,0.17,0,0,0,0,1,0.09,0,0,2,0.18,1,0.08,2,0.17,0,0,2,0.17,2,0.18,0,0,1,0.08,0,0,5,0.42,0,0,2,0.18,1,0.08,0,0,0,0,2,0.17,4,0.33,2,0.17,1,0.08,1,0.09,0,0,2,0.17,2,0.17
新潟県,5,0.42,0,0,0,0,1,0.08,0,0,2,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,6,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,1,0.2,1,0.2,0,0,1,0.2,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,4,0.67,0,0,0,0,0,0,1,0.17,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17,0,0,0,0
山梨県,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1
長野県,10,0.83,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,1,0.08,0,0,0,0,2,0.17,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,1,0.08,2,0.17,0,0,0,0,1,0.08,0,0
岐阜県,10,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4,1,0.2,0,0,0,0,1,0.2,0,0,1,0.2,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,1,0.2,1,0.2,0,0,1,0.2
静岡県,13,1.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,1,0.1,0,0,0,0,1,0.1,1,0.1,0,0,0,0,0,0,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,1,0.1,2,0.2,0,0,0,0,1,0.1,0,0,1,0.1,0,0
愛知県,15,1,0,0,0,0,1,0.07,0,0,1,0.07,0,0,1,0.07,1,0.07,0,0,0,0,0,0,0,0,0,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07,1,0.07,1,0.07,0,0,0,0,2,0.13,0,0,0,0,1,0.07,1,0.07,3,0.2
三重県,16,1.78,0,0,0,0,0,0,1,0.11,0,0,0,0,0,0,0,0,0,0,1,0.11,2,0.22,1,0.11,0,0,0,0,3,0.33,0,0,0,0,1,0.11,0,0,0,0,0,0,1,0.11,0,0,0,0,1,0.11,1,0.11,0,0,2,0.22,0,0,1,0.11,1,0.11
滋賀県,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,1,0.14,1,0.14,3,0.43,1,0.14,1,0.14,2,0.29,1,0.14,1,0.14,1,0.14,1,0.14
京都府,5,0.71,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0
大阪府,12,0.75,0,0,0,0,1,0.06,0,0,0,0,1,0.06,0,0,2,0.13,0,0,0,0,0,0,0,0,0,0,1,0.06,0,0,0,0,0,0,1,0.06,0,0,0,0,0,0,0,0,1,0.06,2,0.12,0,0,1,0.06,0,0,2,0.12,0,0,0,0,0,0
兵庫県,18,1.29,0,0,1,0.07,0,0,0,0,1,0.07,0,0,0,0,2,0.14,0,0,0,0,1,0.07,1,0.07,0,0,0,0,0,0,0,0,1,0.07,1,0.07,0,0,0,0,0,0,0,0,0,0,1,0.07,0,0,1,0.07,0,0,1,0.07,1,0.07,4,0.29,2,0.14
奈良県,3,0.5,0,0,0,0,0,0,0,0,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,8,0.73,0,0,0,0,0,0,0,0,0,0,0,0,2,0.18,0,0,0,0,1,0.09,0,0,0,0,0,0,1,0.09,0,0,0,0,0,0,0,0,1,0.09,0,0,0,0,0,0,1,0.09,0,0,0,0,0,0,1,0.09,1,0.09,0,0,0,0,0,0
鳥取県,4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0
島根県,5,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13,0,0,1,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13,0,0,0,0,0,0,2,0.25,0,0,0,0,0,0
岡山県,16,3.2,1,0.2,0,0,1,0.2,1,0.2,0,0,0,0,0,0,0,0,2,0.4,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,2,0.4,0,0,1,0.2,2,0.4,0,0,2,0.4,0,0,0,0,2,0.4,1,0.2,0,0,0,0,0,0,0,0
広島県,10,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0,1,0.05,0,0,1,0.05,1,0.05,0,0,0,0,1,0.05,0,0,2,0.1,1,0.05,2,0.1,0,0,0,0
山口県,3,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.11,0,0,0,0,1,0.11,0,0,0,0,0,0,0,0
徳島県,3,0.43,0,0,0,0,0,0,1,0.14,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,4,0.8,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0
愛媛県,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17
高知県,5,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13,0,0,2,0.25,1,0.13,1,0.13,0,0
福岡県,10,0.67,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07,0,0,0,0,0,0,0,0,1,0.07,2,0.13,0,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07,0,0,1,0.07,0,0,1,0.07,2,0.13,0,0
佐賀県,10,1.67,0,0,0,0,0,0,0,0,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17,4,0.67,1,0.17,0,0,0,0,0,0,1,0.17,0,0,1,0.17,1,0.17,0,0,0,0
長崎県,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,1,0.08,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,1,0.08,0,0,1,0.08,3,0.25,2,0.17,1,0.08
熊本県,10,0.71,0,0,1,0.07,0,0,0,0,0,0,1,0.07,0,0,0,0,0,0,0,0,1,0.07,2,0.13,0,0,1,0.07,0,0,0,0,1,0.07,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07,0,0,1,0.07,0,0,0,0,0,0
大分県,3,0.27,0,0,0,0,0,0,0,0,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09
宮崎県,2,0.29,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0
鹿児島県,4,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,1,0.08,1,0.08,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,8,1.14,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,1,0.14,1,0.14,1,0.14,0,0,1,0.14,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,1,0.14,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
マイコプラズマ肺炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週,21週,21週,22週,22週,23週,23週,24週,24週,25週,25週,26週,26週,27週,27週,28週,28週,29週,29週,30週,30週,31週,31週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,510,1.06,8,0.02,9,0.02,8,0.02,14,0.03,9,0.02,7,0.01,8,0.02,7,0.01,7,0.01,9,0.02,14,0.03,15,0.03,9,0.02,10,0.02,10,0.02,10,0.02,22,0.05,11,0.02,25,0.05,38,0.08,33,0.07,50,0.1,28,0.06,25,0.05,31,0.06,23,0.05,12,0.03,12,0.03,9,0.02,17,0.04,20,0.04
北海道,32,1.39,3,0.13,0,0,0,0,2,0.09,1,0.04,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0,0,0,1,0.04,1,0.04,1,0.04,5,0.22,0,0,1,0.04,2,0.09,2,0.09,4,0.17,0,0,4,0.17,0,0,0,0,0,0,1,0.04,0,0,0,0,2,0.09
