報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,
2025年06週(02月03日～02月09日),2025年02月12日作成,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
鹿児島県,1,0.14,0,0,0,0,0,0,0,0,0,0,1,0.14
沖縄県,4,0.44,0,0,1,0.11,0,0,0,0,1,0.11,2,0.22
,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2792,4.14,125,0.22,774,1.12,423,0.61,412,0.59,504,0.72,554,0.8
北海道,52,1.86,3,0.13,13,0.45,10,0.34,9,0.31,6,0.21,11,0.38
青森県,5,0.56,0,0,2,0.2,2,0.2,1,0.1,0,0,0,0
岩手県,37,2.64,0,0,12,0.86,9,0.64,3,0.21,7,0.5,6,0.43
宮城県,45,3.75,0,0,18,1.5,4,0.33,5,0.42,10,0.83,8,0.67
秋田県,10,1.67,3,1,4,0.57,0,0,1,0.14,0,0,2,0.29
山形県,38,5.43,0,0,1,0.13,2,0.25,8,1,17,2.13,10,1.25
福島県,124,9.54,13,1,30,2.31,10,0.77,19,1.46,16,1.23,36,2.77
茨城県,232,14.5,12,1,66,3.88,35,2.06,37,2.18,44,2.59,38,2.24
栃木県,54,4.91,1,0.11,23,1.92,9,0.75,6,0.5,10,0.83,5,0.42
群馬県,42,3.5,1,0.17,14,1,6,0.43,6,0.43,9,0.64,6,0.43
埼玉県,118,3.11,5,0.28,37,0.88,20,0.48,14,0.33,22,0.52,20,0.48
千葉県,156,4.73,4,0.14,44,1.29,35,1,24,0.69,16,0.47,33,0.94
東京都,129,3.49,12,0.4,37,0.95,20,0.51,21,0.54,19,0.49,20,0.51
神奈川県,276,6,5,0.15,79,1.58,41,0.84,48,0.98,42,0.84,61,1.33
新潟県,31,3.1,1,0.1,9,0.9,3,0.3,8,0.8,8,0.8,2,0.2
富山県,10,1.67,0,0,3,0.43,3,0.43,1,0.14,2,0.29,1,0.14
石川県,76,10.86,6,0.86,25,3.57,9,1.29,8,1.14,11,1.57,17,2.43
福井県,4,1.33,0,0,4,1.33,0,0,0,0,0,0,0,0
山梨県,128,14.22,0,0,31,3.44,19,2.11,17,1.89,25,2.78,36,4
長野県,151,16.78,12,2,38,3.8,25,2.5,18,1.8,29,2.9,29,2.9
岐阜県,3,0.27,0,0,2,0.18,1,0.09,0,0,0,0,0,0
静岡県,33,1.57,4,0.18,10,0.48,6,0.27,3,0.14,6,0.27,4,0.18
愛知県,37,1.06,0,0,13,0.37,2,0.06,8,0.23,6,0.17,8,0.23
三重県,5,0.5,0,0,1,0.08,0,0,0,0,0,0,4,0.36
滋賀県,1,0.11,0,0,0,0,0,0,0,0,0,0,1,0.11
京都府,32,2,0,0,4,0.25,10,0.59,6,0.35,7,0.39,5,0.29
大阪府,73,1.4,0,0,26,0.5,12,0.23,13,0.25,16,0.31,6,0.12
兵庫県,144,4.36,6,0.21,41,1.17,18,0.51,22,0.63,31,0.89,26,0.74
奈良県,18,2.25,0,0,5,0.5,2,0.2,6,0.6,4,0.4,1,0.1
和歌山県,12,4,0,0,6,1.5,4,1,1,0.25,1,0.25,0,0
鳥取県,4,0.8,0,0,2,0.4,2,0.4,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,28,2.33,1,0.08,11,0.92,3,0.25,1,0.08,4,0.33,8,0.67
広島県,136,8,2,0.2,43,2.26,16,0.84,13,0.68,30,1.58,32,1.68
山口県,43,4.78,0,0,20,2.22,3,0.33,4,0.44,8,0.89,8,0.89
徳島県,2,0.67,0,0,0,0,0,0,1,0.25,1,0.25,0,0
香川県,8,1.6,0,0,3,0.6,5,1,0,0,0,0,0,0
愛媛県,114,16.29,4,0.67,26,3.25,16,2,19,2.38,20,2.5,29,3.63
高知県,2,0.67,0,0,1,0.33,0,0,1,0.33,0,0,0,0
福岡県,48,1.85,4,0.15,11,0.42,8,0.31,9,0.35,8,0.31,8,0.31
佐賀県,2,0.67,0,0,0,0,1,0.25,0,0,0,0,1,0.25
長崎県,80,10,8,1,15,1.88,21,2.63,12,1.5,13,1.63,11,1.38
熊本県,51,5.67,4,0.44,14,1.56,11,1.22,8,0.89,7,0.78,7,0.78
大分県,26,5.2,10,2,4,0.8,3,0.6,2,0.4,3,0.6,4,0.8
宮崎県,24,4.8,1,0.25,2,0.33,1,0.17,8,1.33,6,1,6,1
鹿児島県,26,3.71,3,0.43,4,0.57,3,0.43,8,1.14,5,0.71,3,0.43
沖縄県,122,13.56,0,0,20,2.22,13,1.44,13,1.44,35,3.89,41,4.56
,,,,,,,,,,,,,,
細菌性髄膜炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,55,0.11,8,0.02,10,0.02,12,0.02,8,0.02,8,0.02,9,0.02
北海道,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04
青森県,1,0.17,0,0,0,0,0,0,1,0.17,0,0,0,0
岩手県,3,0.16,0,0,1,0.05,0,0,0,0,0,0,2,0.11
宮城県,1,0.1,0,0,0,0,0,0,0,0,0,0,1,0.1
秋田県,1,0.13,0,0,0,0,1,0.13,0,0,0,0,0,0
山形県,1,0.1,0,0,0,0,0,0,1,0.1,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栃木県,2,0.29,0,0,1,0.14,1,0.14,0,0,0,0,0,0
群馬県,1,0.11,0,0,0,0,0,0,0,0,0,0,1,0.11
埼玉県,2,0.17,0,0,1,0.08,1,0.08,0,0,0,0,0,0
千葉県,3,0.33,0,0,1,0.11,0,0,1,0.11,1,0.11,0,0
東京都,3,0.12,0,0,0,0,1,0.04,1,0.04,1,0.04,0,0
神奈川県,2,0.17,0,0,0,0,0,0,1,0.08,0,0,1,0.08
新潟県,1,0.08,0,0,0,0,0,0,0,0,1,0.08,0,0
富山県,1,0.2,0,0,0,0,0,0,1,0.2,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,1,0.17,0,0,0,0,0,0,0,0,1,0.17,0,0
山梨県,2,0.2,2,0.2,0,0,0,0,0,0,0,0,0,0
長野県,1,0.08,0,0,0,0,1,0.08,0,0,0,0,0,0
岐阜県,2,0.4,0,0,0,0,1,0.2,0,0,1,0.2,0,0
静岡県,1,0.1,0,0,0,0,0,0,0,0,0,0,1,0.1
愛知県,1,0.07,0,0,0,0,1,0.07,0,0,0,0,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,2,0.11,1,0.06,1,0.06,0,0,0,0,0,0,0,0
兵庫県,1,0.07,1,0.07,0,0,0,0,0,0,0,0,0,0
奈良県,4,0.67,0,0,1,0.17,1,0.17,0,0,0,0,2,0.33
和歌山県,1,0.09,0,0,1,0.09,0,0,0,0,0,0,0,0
鳥取県,1,0.2,0,0,0,0,0,0,0,0,1,0.2,0,0
島根県,1,0.13,0,0,0,0,1,0.13,0,0,0,0,0,0
岡山県,2,0.4,1,0.2,0,0,1,0.2,0,0,0,0,0,0
広島県,1,0.05,0,0,1,0.05,0,0,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,2,0.29,0,0,1,0.14,1,0.14,0,0,0,0,0,0
香川県,1,0.2,0,0,1,0.2,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,2,0.13,1,0.07,0,0,0,0,0,0,1,0.07,0,0
佐賀県,1,0.17,0,0,0,0,0,0,1,0.17,0,0,0,0
長崎県,1,0.08,1,0.08,0,0,0,0,0,0,0,0,0,0
熊本県,1,0.07,0,0,0,0,0,0,0,0,1,0.07,0,0
大分県,1,0.09,0,0,0,0,1,0.09,0,0,0,0,0,0
宮崎県,1,0.14,1,0.14,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,1,0.14,0,0,0,0,0,0,1,0.14,0,0,0,0
,,,,,,,,,,,,,,
無菌性髄膜炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,67,0.14,7,0.01,16,0.03,10,0.02,15,0.03,7,0.01,12,0.02
北海道,1,0.04,0,0,0,0,0,0,1,0.04,0,0,0,0
青森県,7,1.17,0,0,1,0.17,0,0,3,0.5,0,0,3,0.5
岩手県,1,0.05,0,0,0,0,0,0,0,0,0,0,1,0.05
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,1,0.14,0,0,0,0,0,0,0,0,1,0.14,0,0
茨城県,2,0.15,0,0,0,0,1,0.08,1,0.08,0,0,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,2,0.22,1,0.11,1,0.11,0,0,0,0,0,0,0,0
埼玉県,5,0.42,1,0.08,1,0.08,1,0.08,1,0.08,0,0,1,0.08
千葉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東京都,5,0.2,1,0.04,3,0.12,1,0.04,0,0,0,0,0,0
神奈川県,6,0.5,0,0,1,0.08,1,0.08,3,0.25,1,0.08,0,0
新潟県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,1,0.2,0,0,0,0,0,0,0,0,1,0.2,0,0
福井県,1,0.17,0,0,0,0,0,0,1,0.17,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,5,1,2,0.4,2,0.4,0,0,1,0.2,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,2,0.13,0,0,1,0.07,0,0,1,0.07,0,0,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,1,0.14,1,0.14,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,7,0.39,0,0,1,0.06,1,0.06,2,0.11,2,0.11,1,0.06
兵庫県,4,0.29,1,0.07,0,0,2,0.14,0,0,0,0,1,0.07
奈良県,2,0.33,0,0,1,0.17,1,0.17,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,3,0.6,0,0,1,0.2,0,0,0,0,0,0,2,0.4
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,1,0.2,0,0,0,0,0,0,0,0,1,0.2,0,0
広島県,1,0.05,0,0,1,0.05,0,0,0,0,0,0,0,0
山口県,1,0.11,0,0,1,0.11,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,1,0.2,0,0,0,0,1,0.2,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,1,0.13,0,0,0,0,0,0,0,0,0,0,1,0.13
福岡県,1,0.07,0,0,0,0,0,0,0,0,0,0,1,0.07
佐賀県,1,0.17,0,0,0,0,0,0,0,0,1,0.17,0,0
長崎県,1,0.08,0,0,0,0,0,0,1,0.08,0,0,0,0
熊本県,1,0.07,0,0,0,0,1,0.07,0,0,0,0,0,0
大分県,1,0.09,0,0,1,0.09,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,1,0.14,0,0,0,0,0,0,0,0,0,0,1,0.14
,,,,,,,,,,,,,,
マイコプラズマ肺炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2136,4.44,369,0.77,534,1.11,410,0.85,302,0.63,296,0.62,225,0.47
北海道,119,5.17,13,0.57,39,1.7,23,1,19,0.83,14,0.61,11,0.48
青森県,54,9,5,0.83,16,2.67,10,1.67,9,1.5,12,2,2,0.33
岩手県,92,4.84,26,1.37,16,0.84,16,0.84,12,0.63,13,0.68,9,0.47
宮城県,33,3.3,5,0.5,8,0.8,4,0.4,7,0.7,5,0.5,4,0.4
秋田県,33,4.13,4,0.5,10,1.25,4,0.5,6,0.75,5,0.63,4,0.5
山形県,55,5.5,10,1,12,1.2,10,1,8,0.8,7,0.7,8,0.8
福島県,31,4.43,6,0.86,8,1.14,6,0.86,3,0.43,3,0.43,5,0.71
茨城県,61,4.69,13,1,18,1.38,12,0.92,2,0.15,11,0.85,5,0.38
栃木県,20,2.86,2,0.29,4,0.57,4,0.57,2,0.29,6,0.86,2,0.29
群馬県,45,5,5,0.56,9,1,8,0.89,5,0.56,11,1.22,7,0.78
埼玉県,79,6.58,24,2,19,1.58,11,0.92,10,0.83,9,0.75,6,0.5
千葉県,21,2.33,5,0.56,6,0.67,4,0.44,1,0.11,2,0.22,3,0.33
東京都,91,3.64,17,0.68,26,1.04,15,0.6,14,0.56,11,0.44,8,0.32
神奈川県,22,1.83,2,0.17,10,0.83,1,0.08,3,0.25,5,0.42,1,0.08
新潟県,87,6.69,16,1.23,18,1.38,17,1.31,12,0.92,12,0.92,12,0.92
富山県,22,4.4,0,0,5,1,5,1,3,0.6,3,0.6,6,1.2
石川県,21,4.2,7,1.4,5,1,6,1.2,2,0.4,1,0.2,0,0
福井県,57,9.5,4,0.67,7,1.17,8,1.33,12,2,17,2.83,9,1.5
山梨県,22,2.2,5,0.5,4,0.4,4,0.4,5,0.5,3,0.3,1,0.1
長野県,48,4,3,0.25,15,1.25,4,0.33,6,0.5,7,0.58,13,1.08
岐阜県,44,8.8,10,2,9,1.8,9,1.8,6,1.2,8,1.6,2,0.4
静岡県,33,3.3,4,0.4,15,1.5,6,0.6,2,0.2,5,0.5,1,0.1
愛知県,77,5.13,10,0.67,21,1.4,16,1.07,8,0.53,11,0.73,11,0.73
三重県,38,4.22,2,0.22,6,0.67,12,1.33,7,0.78,7,0.78,4,0.44
滋賀県,9,1.29,0,0,3,0.43,3,0.43,1,0.14,1,0.14,1,0.14
京都府,41,5.86,6,0.86,10,1.43,12,1.71,2,0.29,9,1.29,2,0.29
大阪府,55,3.06,7,0.39,12,0.67,10,0.56,8,0.44,9,0.5,9,0.5
兵庫県,152,10.86,13,0.93,43,3.07,49,3.5,33,2.36,7,0.5,7,0.5
奈良県,28,4.67,6,1,5,0.83,3,0.5,2,0.33,8,1.33,4,0.67
和歌山県,32,2.91,7,0.64,11,1,4,0.36,7,0.64,1,0.09,2,0.18
鳥取県,24,4.8,7,1.4,3,0.6,7,1.4,3,0.6,2,0.4,2,0.4
島根県,31,3.88,4,0.5,6,0.75,7,0.88,5,0.63,5,0.63,4,0.5
岡山県,24,4.8,17,3.4,3,0.6,2,0.4,1,0.2,1,0.2,0,0
広島県,140,7,50,2.5,29,1.45,25,1.25,16,0.8,11,0.55,9,0.45
山口県,23,2.56,5,0.56,7,0.78,3,0.33,4,0.44,2,0.22,2,0.22
徳島県,7,1,0,0,3,0.43,1,0.14,3,0.43,0,0,0,0
香川県,17,3.4,8,1.6,5,1,0,0,0,0,2,0.4,2,0.4
愛媛県,27,4.5,2,0.33,3,0.5,10,1.67,5,0.83,3,0.5,4,0.67
高知県,48,6,3,0.38,15,1.88,8,1,6,0.75,8,1,8,1
福岡県,87,5.8,10,0.67,27,1.8,18,1.2,12,0.8,11,0.73,9,0.6
佐賀県,24,4,5,0.83,4,0.67,6,1,4,0.67,4,0.67,1,0.17
長崎県,41,3.42,6,0.5,10,0.83,10,0.83,6,0.5,6,0.5,3,0.25
熊本県,36,2.4,5,0.33,9,0.6,6,0.4,3,0.2,6,0.4,7,0.47
大分県,15,1.36,1,0.09,2,0.18,5,0.45,2,0.18,2,0.18,3,0.27
宮崎県,20,2.86,2,0.29,7,1,0,0,6,0.86,1,0.14,4,0.57
鹿児島県,41,3.42,4,0.33,9,0.75,6,0.5,7,0.58,7,0.58,8,0.67
沖縄県,9,1.29,3,0.43,2,0.29,0,0,2,0.29,2,0.29,0,0
,,,,,,,,,,,,,,
クラミジア肺炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,10,0.02,0,0,2,0,3,0.01,3,0.01,1,0,1,0
北海道,2,0.09,0,0,0,0,1,0.04,0,0,1,0.04,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,1,0.11,0,0,0,0,0,0,0,0,0,0,1,0.11
埼玉県,2,0.17,0,0,0,0,0,0,2,0.17,0,0,0,0
千葉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東京都,0,0,0,0,0,0,0,0,0,0,0,0,0,0
神奈川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新潟県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,2,0.33,0,0,1,0.17,0,0,1,0.17,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,1,0.14,0,0,0,0,1,0.14,0,0,0,0,0,0
大阪府,2,0.11,0,0,1,0.06,1,0.06,0,0,0,0,0,0
兵庫県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
熊本県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
感染性胃腸炎（ロタウイルス）,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,103,0.21,12,0.02,4,0.01,12,0.02,15,0.03,31,0.06,29,0.06
北海道,5,0.22,0,0,0,0,3,0.13,0,0,1,0.04,1,0.04
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,3,0.16,0,0,0,0,0,0,2,0.11,1,0.05,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,2,0.29,0,0,0,0,0,0,1,0.14,0,0,1,0.14
茨城県,1,0.08,0,0,0,0,0,0,1,0.08,0,0,0,0
栃木県,3,0.43,0,0,0,0,0,0,0,0,2,0.29,1,0.14
群馬県,1,0.11,1,0.11,0,0,0,0,0,0,0,0,0,0
埼玉県,6,0.5,1,0.08,0,0,1,0.08,0,0,1,0.08,3,0.25
千葉県,1,0.11,0,0,0,0,1,0.11,0,0,0,0,0,0
東京都,4,0.16,1,0.04,0,0,0,0,0,0,1,0.04,2,0.08
神奈川県,3,0.25,0,0,0,0,1,0.08,1,0.08,0,0,1,0.08
新潟県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富山県,2,0.4,0,0,0,0,1,0.2,1,0.2,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,1,0.08,0,0,0,0,0,0,0,0,1,0.08,0,0
岐阜県,1,0.2,0,0,0,0,0,0,0,0,0,0,1,0.2
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,3,0.2,0,0,0,0,0,0,0,0,1,0.07,2,0.13
三重県,1,0.11,1,0.11,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,20,1.11,2,0.11,1,0.06,1,0.06,1,0.06,8,0.44,7,0.39
兵庫県,7,0.5,0,0,3,0.21,1,0.07,0,0,3,0.21,0,0
奈良県,1,0.17,0,0,0,0,0,0,1,0.17,0,0,0,0
和歌山県,2,0.18,0,0,0,0,0,0,2,0.18,0,0,0,0
鳥取県,1,0.2,0,0,0,0,0,0,1,0.2,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,3,0.6,0,0,0,0,0,0,0,0,3,0.6,0,0
広島県,5,0.25,0,0,0,0,1,0.05,0,0,3,0.15,1,0.05
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,1,0.14,0,0,0,0,0,0,0,0,0,0,1,0.14
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,5,0.83,1,0.17,0,0,1,0.17,2,0.33,0,0,1,0.17
高知県,3,0.38,1,0.13,0,0,0,0,0,0,0,0,2,0.25
福岡県,5,0.33,0,0,0,0,1,0.07,0,0,3,0.2,1,0.07
佐賀県,1,0.17,0,0,0,0,0,0,0,0,0,0,1,0.17
長崎県,9,0.75,4,0.33,0,0,0,0,1,0.08,3,0.25,1,0.08
熊本県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大分県,1,0.09,0,0,0,0,0,0,0,0,0,0,1,0.09
宮崎県,1,0.14,0,0,0,0,0,0,1,0.14,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,1,0.14,0,0,0,0,0,0,0,0,0,0,1,0.14
,,,,,,,,,,,,,,
COVID-19,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,173604,36.09,22369,5.33,34953,7.08,27778,5.63,29926,6.06,29916,6.07,28662,5.82
北海道,10562,49.13,2178,11.65,2338,10.53,1470,6.62,1454,6.55,1406,6.33,1716,7.8
青森県,2599,46.41,443,9.43,499,8.6,369,6.36,436,7.52,459,7.91,393,6.78
岩手県,3539,57.08,747,12.05,795,12.82,583,9.4,488,7.87,465,7.5,461,7.44
宮城県,4526,49.74,401,4.41,1091,11.99,782,8.59,840,9.23,764,8.4,648,7.12
秋田県,1732,37.65,106,5.05,441,8.48,316,6.08,263,5.06,318,6.12,288,5.54
山形県,1382,35.44,119,4.58,313,7.45,249,5.93,276,6.57,228,5.43,197,4.8
福島県,4835,59.69,1091,13.3,941,11.48,769,9.38,780,9.51,668,8.25,586,7.23
茨城県,6531,56.3,1222,12.22,1370,11.42,1023,8.53,1052,8.77,912,7.6,952,7.93
栃木県,3581,50.44,387,7.59,819,10.78,620,8.16,647,8.51,554,7.29,554,7.29
群馬県,3279,40.99,378,6.87,794,9.34,495,5.82,581,6.84,507,5.96,524,6.16
埼玉県,10140,42.43,901,6.67,2049,7.85,1639,6.28,1648,6.31,1861,7.13,2042,7.85
千葉県,8055,40.68,726,4.22,1591,7.84,1291,6.33,1440,7.06,1531,7.5,1476,7.31
東京都,7687,19.17,428,1.34,1561,3.73,1210,2.89,1464,3.5,1548,3.7,1476,3.53
神奈川県,9029,26.4,424,1.77,1806,4.98,1446,3.97,1782,4.86,1842,5.09,1729,4.78
新潟県,3373,39.22,375,4.31,799,9.29,531,6.17,562,6.53,573,6.66,533,6.2
富山県,1588,33.79,131,2.91,404,8.42,277,5.77,326,6.79,237,4.94,213,4.44
石川県,1637,34.1,175,3.65,334,6.96,339,7.06,305,6.35,252,5.25,232,4.83
福井県,1117,28.64,128,3.28,200,5.13,171,4.38,201,5.15,237,6.08,180,4.62
山梨県,1583,38.61,142,3.46,438,10.68,255,6.22,296,7.22,266,6.49,186,4.54
長野県,4630,55.78,703,10.82,950,10.8,758,8.61,790,8.98,758,8.61,671,7.8
岐阜県,4498,51.7,1210,13.91,825,9.48,627,7.21,669,7.69,551,6.33,616,7.08
静岡県,6052,43.54,765,5.5,1250,8.99,1080,7.77,1083,7.79,954,6.86,920,6.62
愛知県,9893,50.99,1868,9.58,1786,9.16,1560,8.04,1515,7.81,1575,8.12,1589,8.15
三重県,2491,36.1,287,5.31,538,7.47,414,5.75,462,6.42,445,6.18,345,4.79
滋賀県,1889,33.73,347,8.46,406,6.77,296,4.93,296,4.93,276,4.6,268,4.47
京都府,3222,26.41,407,3.48,620,5,476,3.84,571,4.64,594,4.79,554,4.47
大阪府,6549,21.76,728,2.41,1154,3.82,994,3.3,1160,3.85,1312,4.36,1201,3.99
兵庫県,5352,27.73,499,2.94,1058,5.34,866,4.37,976,4.93,962,4.86,991,5.01
奈良県,1733,35.37,76,3.8,359,6.53,250,4.55,327,5.95,393,7.15,328,5.96
和歌山県,1458,31.02,154,3.42,254,5.29,239,4.98,263,5.48,265,5.52,283,5.9
鳥取県,1316,45.38,237,8.17,173,5.97,198,6.83,251,8.66,222,7.66,235,8.1
島根県,1165,30.66,188,4.95,170,4.47,159,4.18,208,5.47,211,5.55,229,6.03
岡山県,2961,35.25,464,5.52,631,7.51,467,5.56,483,5.75,521,6.2,395,4.7
