報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,
2024年07週(02月12日～02月18日),2024年02月21日作成,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
愛知県,24,0.13,3,0.02,2,0.01,4,0.02,7,0.04,2,0.01,5,0.03,1,0.01
三重県,2,0.04,0,0,0,0,1,0.02,0,0,0,0,1,0.02,0,0
滋賀県,3,0.09,1,0.03,0,0,1,0.03,0,0,1,0.03,0,0,0,0
京都府,14,0.19,1,0.01,3,0.04,2,0.03,1,0.01,3,0.04,0,0,4,0.05
大阪府,32,0.16,4,0.02,3,0.02,5,0.03,6,0.03,5,0.03,3,0.02,6,0.03
兵庫県,25,0.2,1,0.01,5,0.04,5,0.04,2,0.02,5,0.04,2,0.02,5,0.04
奈良県,3,0.09,0,0,0,0,0,0,1,0.03,2,0.06,0,0,0,0
和歌山県,5,0.17,0,0,1,0.03,0,0,1,0.03,2,0.07,1,0.03,0,0
鳥取県,2,0.11,0,0,0,0,0,0,1,0.05,0,0,0,0,1,0.05
島根県,2,0.09,0,0,1,0.04,0,0,1,0.04,0,0,0,0,0,0
岡山県,9,0.17,2,0.04,1,0.02,3,0.06,1,0.02,0,0,1,0.02,1,0.02
広島県,6,0.09,1,0.01,1,0.01,0,0,2,0.03,1,0.01,1,0.01,0,0
山口県,1,0.02,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0
徳島県,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0
香川県,6,0.21,0,0,0,0,2,0.07,1,0.04,2,0.07,1,0.04,0,0
愛媛県,9,0.25,0,0,1,0.03,2,0.05,2,0.05,2,0.05,1,0.03,1,0.03
高知県,2,0.08,0,0,0,0,0,0,1,0.04,0,0,0,0,1,0.04
福岡県,18,0.15,4,0.03,4,0.03,1,0.01,0,0,4,0.03,1,0.01,4,0.03
佐賀県,5,0.22,0,0,0,0,1,0.04,1,0.04,2,0.09,1,0.04,0,0
長崎県,2,0.05,0,0,0,0,0,0,1,0.02,1,0.02,0,0,0,0
熊本県,13,0.26,1,0.02,1,0.02,2,0.04,2,0.04,2,0.04,5,0.1,0,0
大分県,7,0.19,0,0,3,0.08,2,0.06,0,0,0,0,0,0,2,0.06
宮崎県,7,0.19,0,0,2,0.06,1,0.03,2,0.06,0,0,2,0.06,0,0
鹿児島県,17,0.33,3,0.06,0,0,7,0.14,4,0.08,0,0,1,0.02,2,0.04
沖縄県,16,0.52,1,0.03,6,0.19,3,0.1,1,0.03,3,0.1,1,0.03,1,0.03
,,,,,,,,,,,,,,,,
急性出血性結膜炎,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,49,0.07,10,0.01,11,0.02,5,0.01,6,0.01,5,0.01,7,0.01,5,0.01
北海道,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,1,0.14,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,2,0.15,0,0,0,0,1,0.08,0,0,0,0,0,0,1,0.08
茨城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栃木県,1,0.08,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,1,0.07,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,6,0.15,0,0,1,0.02,0,0,1,0.02,1,0.02,1,0.02,2,0.05
千葉県,2,0.06,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0
東京都,2,0.05,0,0,1,0.03,0,0,1,0.03,0,0,0,0,0,0
神奈川県,2,0.04,1,0.02,0,0,1,0.02,0,0,0,0,0,0,0,0
新潟県,6,0.6,0,0,1,0.1,1,0.1,1,0.1,1,0.1,2,0.2,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,3,0.3,0,0,1,0.1,0,0,0,0,0,0,2,0.2,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,1,0.06,0,0,1,0.06,0,0,0,0,0,0,0,0,0,0
大阪府,5,0.1,2,0.04,0,0,1,0.02,1,0.02,1,0.02,0,0,0,0
兵庫県,3,0.09,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,0,0
奈良県,1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,1,0.08,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0
広島県,1,0.05,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,8,1,1,0.13,3,0.38,1,0.13,0,0,1,0.13,1,0.13,1,0.13
熊本県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,1,0.14,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,3014,4.35,495,0.72,619,0.89,446,0.64,409,0.59,368,0.53,351,0.51,326,0.47
北海道,52,1.79,7,0.24,16,0.55,8,0.28,6,0.21,6,0.21,2,0.07,7,0.24
青森県,33,3.3,5,0.5,9,0.9,3,0.3,6,0.6,3,0.3,5,0.5,2,0.2
岩手県,39,2.79,5,0.36,7,0.5,7,0.5,6,0.43,6,0.43,5,0.36,3,0.21
宮城県,12,1,3,0.25,2,0.17,0,0,0,0,2,0.17,2,0.17,3,0.25
秋田県,13,1.86,5,0.71,2,0.29,2,0.29,1,0.14,0,0,1,0.14,2,0.29
山形県,12,1.5,1,0.13,3,0.38,2,0.25,4,0.5,2,0.25,0,0,0,0
福島県,67,5.15,9,0.69,9,0.69,6,0.46,12,0.92,9,0.69,12,0.92,10,0.77
茨城県,123,7.24,26,1.53,20,1.18,20,1.18,15,0.88,13,0.76,15,0.88,14,0.82
栃木県,60,5,10,0.83,16,1.33,12,1,11,0.92,2,0.17,6,0.5,3,0.25
群馬県,44,3.14,9,0.64,7,0.5,3,0.21,8,0.57,7,0.5,6,0.43,4,0.29
埼玉県,138,3.37,25,0.61,26,0.63,26,0.63,19,0.46,13,0.31,13,0.31,16,0.38
千葉県,143,4.21,21,0.62,30,0.91,25,0.76,25,0.74,11,0.31,14,0.4,17,0.5
東京都,116,2.97,13,0.33,24,0.62,18,0.46,15,0.38,11,0.28,16,0.41,19,0.49
神奈川県,367,7.49,56,1.19,69,1.38,55,1.1,48,0.94,54,1.04,49,0.98,36,0.75
新潟県,17,1.7,1,0.1,3,0.3,4,0.4,1,0.1,6,0.6,0,0,2,0.2
富山県,16,2.29,4,0.57,1,0.14,2,0.29,4,0.57,1,0.14,2,0.29,2,0.29
石川県,143,23.83,36,6,21,3,10,1.43,17,2.43,21,3,18,2.57,20,2.86
福井県,12,4,0,0,0,0,4,1.33,5,1.67,1,0.33,1,0.33,1,0.33
山梨県,30,3.33,2,0.22,10,1.11,6,0.67,4,0.44,3,0.33,1,0.11,4,0.44
長野県,214,21.4,33,3.3,34,3.4,28,2.8,29,2.9,27,2.7,28,2.8,35,3.5
岐阜県,17,1.55,2,0.18,5,0.45,3,0.27,1,0.09,4,0.36,1,0.09,1,0.09
静岡県,65,2.95,8,0.36,21,0.95,13,0.59,10,0.45,2,0.09,9,0.41,2,0.09
愛知県,98,2.8,19,0.54,25,0.71,15,0.43,17,0.49,9,0.26,9,0.26,4,0.11
三重県,10,0.83,1,0.08,2,0.17,3,0.25,1,0.08,2,0.17,1,0.08,0,0
滋賀県,8,1,4,0.5,2,0.25,1,0.13,0,0,0,0,1,0.13,0,0
京都府,30,1.67,6,0.33,7,0.39,5,0.28,5,0.28,4,0.22,1,0.06,2,0.11
大阪府,104,2,12,0.23,24,0.46,20,0.38,7,0.13,14,0.27,15,0.29,12,0.23
兵庫県,125,3.57,16,0.46,31,0.89,20,0.57,15,0.43,13,0.37,15,0.43,15,0.43
奈良県,38,3.8,4,0.4,13,1.3,4,0.4,4,0.4,7,0.7,1,0.1,5,0.5
和歌山県,6,1.5,0,0,2,0.5,1,0.25,2,0.5,1,0.25,0,0,0,0
鳥取県,11,2.2,0,0,1,0.2,1,0.2,5,1,1,0.2,3,0.6,0,0
島根県,8,2.67,3,1,3,1,1,0.33,1,0.33,0,0,0,0,0,0
岡山県,42,3.5,7,0.58,9,0.75,8,0.67,4,0.33,3,0.25,5,0.42,6,0.5
広島県,150,7.89,17,0.89,28,1.47,21,1.11,18,0.95,21,1.11,23,1.21,22,1.16
山口県,40,4.44,4,0.44,10,1.11,2,0.22,11,1.22,6,0.67,2,0.22,5,0.56
徳島県,8,2,1,0.25,2,0.5,1,0.25,1,0.25,0,0,3,0.75,0,0
香川県,7,1.4,1,0.2,3,0.6,0,0,1,0.2,2,0.4,0,0,0,0
愛媛県,104,13,24,3,21,2.63,13,1.63,10,1.25,10,1.25,16,2,10,1.25
高知県,5,1.67,1,0.33,3,1,0,0,0,0,0,0,1,0.33,0,0
福岡県,89,3.42,14,0.54,17,0.65,17,0.65,13,0.5,14,0.54,6,0.23,8,0.31
佐賀県,12,3,2,0.5,3,0.75,0,0,3,0.75,2,0.5,1,0.25,1,0.25
長崎県,58,7.25,11,1.38,16,2,7,0.88,7,0.88,7,0.88,4,0.5,6,0.75
熊本県,85,10.63,26,2.89,16,1.78,16,1.78,6,0.67,10,1.11,10,1.25,1,0.13
大分県,12,2.4,1,0.2,2,0.4,3,0.6,0,0,2,0.4,1,0.2,3,0.6
宮崎県,75,12.5,18,3,13,2.17,9,1.5,9,1.5,9,1.5,8,1.33,9,1.5
鹿児島県,75,10.71,15,2.14,10,1.43,11,1.57,10,1.43,12,1.71,11,1.57,6,0.86
沖縄県,81,10.13,7,0.88,21,2.63,10,1.25,12,1.5,15,1.88,8,1,8,1
,,,,,,,,,,,,,,,,
細菌性髄膜炎,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,41,0.09,7,0.01,5,0.01,9,0.02,4,0.01,6,0.01,8,0.02,2,0
北海道,1,0.04,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,1,0.05,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0
宮城県,1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,1,0.08,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0
栃木県,2,0.29,1,0.14,1,0.14,0,0,0,0,0,0,0,0,0,0
群馬県,1,0.11,0,0,1,0.11,0,0,0,0,0,0,0,0,0,0
埼玉県,1,0.08,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0
千葉県,3,0.33,1,0.11,0,0,0,0,0,0,1,0.11,0,0,1,0.11
東京都,4,0.16,0,0,0,0,3,0.12,1,0.04,0,0,0,0,0,0
神奈川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新潟県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,1,0.08,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,2,0.2,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,4,0.27,1,0.07,0,0,0,0,1,0.07,1,0.07,0,0,1,0.07
三重県,1,0.11,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,3,0.18,0,0,0,0,0,0,0,0,0,0,3,0.17,0,0
兵庫県,1,0.07,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0
奈良県,1,0.17,0,0,0,0,1,0.17,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,2,0.4,0,0,0,0,2,0.4,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広島県,2,0.1,0,0,0,0,1,0.05,0,0,1,0.05,0,0,0,0
山口県,1,0.11,0,0,0,0,0,0,1,0.11,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,1,0.13,0,0,0,0,0,0,0,0,0,0,1,0.13,0,0
福岡県,3,0.2,0,0,1,0.07,0,0,0,0,1,0.07,1,0.07,0,0
佐賀県,1,0.17,0,0,0,0,1,0.17,0,0,0,0,0,0,0,0
長崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
熊本県,3,0.2,0,0,1,0.07,0,0,0,0,1,0.07,1,0.07,0,0
大分県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
無菌性髄膜炎,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,60,0.13,7,0.01,10,0.02,11,0.02,12,0.02,6,0.01,10,0.02,4,0.01
北海道,1,0.04,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,1,0.05,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0
宮城県,2,0.2,0,0,0,0,1,0.1,0,0,0,0,1,0.1,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,3,0.23,1,0.08,0,0,1,0.08,0,0,0,0,1,0.08,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,1,0.08,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0
千葉県,4,0.44,0,0,0,0,1,0.11,2,0.22,0,0,1,0.11,0,0
東京都,2,0.08,0,0,0,0,0,0,0,0,1,0.04,1,0.04,0,0
神奈川県,5,0.42,0,0,2,0.17,1,0.08,2,0.17,0,0,0,0,0,0
新潟県,4,0.31,0,0,0,0,0,0,1,0.08,1,0.08,1,0.08,1,0.08
富山県,2,0.4,0,0,0,0,0,0,0,0,0,0,1,0.2,1,0.2
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,1,0.17,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0
山梨県,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
長野県,1,0.08,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0
岐阜県,1,0.2,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,2,0.13,0,0,1,0.07,0,0,1,0.07,0,0,0,0,0,0
三重県,2,0.22,0,0,0,0,0,0,2,0.22,0,0,0,0,0,0
滋賀県,1,0.14,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0
京都府,1,0.17,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0
大阪府,2,0.12,0,0,1,0.06,0,0,0,0,0,0,0,0,1,0.06
兵庫県,3,0.21,1,0.07,0,0,1,0.07,1,0.07,0,0,0,0,0,0
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,3,0.27,1,0.09,0,0,1,0.09,0,0,0,0,1,0.09,0,0
鳥取県,3,0.6,0,0,0,0,0,0,1,0.2,0,0,2,0.4,0,0
島根県,1,0.13,0,0,0,0,0,0,0,0,1,0.13,0,0,0,0
岡山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広島県,1,0.05,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,1,0.2,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,2,0.13,1,0.07,0,0,1,0.07,0,0,0,0,0,0,0,0
佐賀県,3,0.5,1,0.17,1,0.17,1,0.17,0,0,0,0,0,0,0,0
長崎県,2,0.17,1,0.08,1,0.08,0,0,0,0,0,0,0,0,0,0
熊本県,2,0.13,0,0,0,0,1,0.07,0,0,0,0,0,0,1,0.07
大分県,1,0.09,0,0,0,0,0,0,0,0,1,0.09,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,1,0.14,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
マイコプラズマ肺炎,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,242,0.5,24,0.05,35,0.07,37,0.08,32,0.07,37,0.08,40,0.08,37,0.08
北海道,2,0.09,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.04
青森県,18,3,0,0,3,0.5,0,0,6,1,1,0.17,5,0.83,3,0.5
岩手県,14,0.74,3,0.16,2,0.11,1,0.05,2,0.11,0,0,2,0.11,4,0.21
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,1,0.13,0,0,1,0.13,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,1,0.14,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0
茨城県,9,0.69,3,0.23,2,0.15,1,0.08,0,0,2,0.15,1,0.08,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,1,0.11,0,0,0,0,0,0,0,0,0,0,1,0.11,0,0
埼玉県,4,0.33,2,0.17,0,0,0,0,0,0,1,0.08,0,0,1,0.08
千葉県,4,0.44,0,0,1,0.11,0,0,0,0,2,0.22,0,0,1,0.11
東京都,14,0.56,2,0.08,1,0.04,1,0.04,3,0.12,2,0.08,3,0.12,2,0.08
神奈川県,8,0.67,0,0,3,0.25,1,0.08,0,0,2,0.17,1,0.08,1,0.08
新潟県,4,0.31,0,0,1,0.08,0,0,1,0.08,0,0,0,0,2,0.15
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,21,3.5,2,0.33,3,0.5,4,0.67,4,0.67,4,0.67,2,0.33,2,0.33
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,3,0.6,0,0,0,0,2,0.4,0,0,0,0,0,0,1,0.2
静岡県,7,0.7,0,0,0,0,1,0.1,1,0.1,0,0,1,0.1,4,0.4
愛知県,11,0.73,0,0,2,0.13,4,0.27,1,0.07,2,0.13,1,0.07,1,0.07
三重県,2,0.22,0,0,1,0.11,0,0,0,0,0,0,0,0,1,0.11
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,2,0.33,0,0,0,0,1,0.14,0,0,0,0,1,0.14,0,0
大阪府,14,0.82,0,0,3,0.18,1,0.06,0,0,3,0.17,5,0.28,2,0.11
兵庫県,15,1.07,1,0.07,2,0.14,5,0.36,2,0.14,3,0.21,2,0.14,0,0
奈良県,1,0.17,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0
和歌山県,6,0.55,2,0.18,0,0,0,0,1,0.09,2,0.18,1,0.09,0,0
鳥取県,1,0.2,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0
島根県,1,0.13,0,0,0,0,0,0,0,0,1,0.13,0,0,0,0
岡山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広島県,8,0.38,1,0.05,0,0,3,0.14,0,0,3,0.14,1,0.05,0,0
山口県,9,1,2,0.22,2,0.22,0,0,1,0.11,2,0.22,0,0,2,0.22
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,2,0.4,0,0,0,0,1,0.2,0,0,0,0,0,0,1,0.2
愛媛県,2,0.33,0,0,1,0.17,0,0,0,0,1,0.17,0,0,0,0
高知県,5,0.63,0,0,0,0,0,0,0,0,0,0,4,0.5,1,0.13
福岡県,1,0.07,0,0,0,0,1,0.07,0,0,0,0,0,0,0,0
佐賀県,12,2,1,0.17,1,0.17,2,0.33,3,0.5,1,0.17,3,0.5,1,0.17
長崎県,4,0.33,1,0.08,1,0.08,0,0,1,0.08,1,0.08,0,0,0,0
熊本県,3,0.2,0,0,0,0,3,0.2,0,0,0,0,0,0,0,0
大分県,8,0.73,1,0.09,1,0.09,2,0.18,1,0.09,1,0.09,2,0.18,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,24,3.43,3,0.43,3,0.43,2,0.29,5,0.71,2,0.29,3,0.43,6,0.86
,,,,,,,,,,,,,,,,
クラミジア肺炎,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,4,0.01,0,0,1,0,1,0,0,0,0,0,0,0,2,0
北海道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千葉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東京都,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04
神奈川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新潟県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
兵庫県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,2,0.18,0,0,1,0.09,1,0.09,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
