報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,
2024年06週(02月05日～02月11日),2024年02月14日作成,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
青森県,31,3.1,5,0.5,9,0.9,3,0.3,6,0.6,3,0.3,5,0.5
岩手県,36,2.57,5,0.36,7,0.5,7,0.5,6,0.43,6,0.43,5,0.36
宮城県,9,0.75,3,0.25,2,0.17,0,0,0,0,2,0.17,2,0.17
秋田県,11,1.57,5,0.71,2,0.29,2,0.29,1,0.14,0,0,1,0.14
山形県,12,1.5,1,0.13,3,0.38,2,0.25,4,0.5,2,0.25,0,0
福島県,57,4.38,9,0.69,9,0.69,6,0.46,12,0.92,9,0.69,12,0.92
茨城県,109,6.41,26,1.53,20,1.18,20,1.18,15,0.88,13,0.76,15,0.88
栃木県,57,4.75,10,0.83,16,1.33,12,1,11,0.92,2,0.17,6,0.5
群馬県,40,2.86,9,0.64,7,0.5,3,0.21,8,0.57,7,0.5,6,0.43
埼玉県,122,2.98,25,0.61,26,0.63,26,0.63,19,0.46,13,0.31,13,0.31
千葉県,126,3.71,21,0.62,30,0.91,25,0.76,25,0.74,11,0.31,14,0.4
東京都,97,2.49,13,0.33,24,0.62,18,0.46,15,0.38,11,0.28,16,0.41
神奈川県,329,6.71,56,1.19,69,1.38,55,1.1,48,0.94,54,1.04,47,0.96
新潟県,15,1.5,1,0.1,3,0.3,4,0.4,1,0.1,6,0.6,0,0
富山県,14,2,4,0.57,1,0.14,2,0.29,4,0.57,1,0.14,2,0.29
石川県,123,20.5,36,6,21,3,10,1.43,17,2.43,21,3,18,2.57
福井県,11,3.67,0,0,0,0,4,1.33,5,1.67,1,0.33,1,0.33
山梨県,26,2.89,2,0.22,10,1.11,6,0.67,4,0.44,3,0.33,1,0.11
長野県,179,17.9,33,3.3,34,3.4,28,2.8,29,2.9,27,2.7,28,2.8
岐阜県,16,1.45,2,0.18,5,0.45,3,0.27,1,0.09,4,0.36,1,0.09
静岡県,63,2.86,8,0.36,21,0.95,13,0.59,10,0.45,2,0.09,9,0.41
愛知県,94,2.69,19,0.54,25,0.71,15,0.43,17,0.49,9,0.26,9,0.26
三重県,10,0.83,1,0.08,2,0.17,3,0.25,1,0.08,2,0.17,1,0.08
滋賀県,8,1,4,0.5,2,0.25,1,0.13,0,0,0,0,1,0.13
京都府,28,1.56,6,0.33,7,0.39,5,0.28,5,0.28,4,0.22,1,0.06
大阪府,92,1.77,12,0.23,24,0.46,20,0.38,7,0.13,14,0.27,15,0.29
兵庫県,110,3.14,16,0.46,31,0.89,20,0.57,15,0.43,13,0.37,15,0.43
奈良県,33,3.3,4,0.4,13,1.3,4,0.4,4,0.4,7,0.7,1,0.1
和歌山県,6,1.5,0,0,2,0.5,1,0.25,2,0.5,1,0.25,0,0
鳥取県,11,2.2,0,0,1,0.2,1,0.2,5,1,1,0.2,3,0.6
島根県,8,2.67,3,1,3,1,1,0.33,1,0.33,0,0,0,0
岡山県,36,3,7,0.58,9,0.75,8,0.67,4,0.33,3,0.25,5,0.42
広島県,128,6.74,17,0.89,28,1.47,21,1.11,18,0.95,21,1.11,23,1.21
山口県,35,3.89,4,0.44,10,1.11,2,0.22,11,1.22,6,0.67,2,0.22
徳島県,8,2,1,0.25,2,0.5,1,0.25,1,0.25,0,0,3,0.75
香川県,7,1.4,1,0.2,3,0.6,0,0,1,0.2,2,0.4,0,0
愛媛県,94,11.75,24,3,21,2.63,13,1.63,10,1.25,10,1.25,16,2
高知県,5,1.67,1,0.33,3,1,0,0,0,0,0,0,1,0.33
福岡県,81,3.12,14,0.54,17,0.65,17,0.65,13,0.5,14,0.54,6,0.23
佐賀県,11,2.75,2,0.5,3,0.75,0,0,3,0.75,2,0.5,1,0.25
長崎県,52,6.5,11,1.38,16,2,7,0.88,7,0.88,7,0.88,4,0.5
熊本県,84,10.5,26,2.89,16,1.78,16,1.78,6,0.67,10,1.11,10,1.25
大分県,9,1.8,1,0.2,2,0.4,3,0.6,0,0,2,0.4,1,0.2
宮崎県,66,11,18,3,13,2.17,9,1.5,9,1.5,9,1.5,8,1.33
鹿児島県,69,9.86,15,2.14,10,1.43,11,1.57,10,1.43,12,1.71,11,1.57
沖縄県,73,9.13,7,0.88,21,2.63,10,1.25,12,1.5,15,1.88,8,1
,,,,,,,,,,,,,,
細菌性髄膜炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,38,0.08,7,0.01,5,0.01,9,0.02,4,0.01,6,0.01,7,0.01
北海道,1,0.04,0,0,0,0,0,0,1,0.04,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,1,0.05,0,0,0,0,1,0.05,0,0,0,0,0,0
宮城県,1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,1,0.08,0,0,0,0,0,0,0,0,1,0.08,0,0
栃木県,2,0.29,1,0.14,1,0.14,0,0,0,0,0,0,0,0
群馬県,1,0.11,0,0,1,0.11,0,0,0,0,0,0,0,0
埼玉県,1,0.08,0,0,0,0,0,0,0,0,0,0,1,0.08
千葉県,2,0.22,1,0.11,0,0,0,0,0,0,1,0.11,0,0
東京都,4,0.16,0,0,0,0,3,0.12,1,0.04,0,0,0,0
神奈川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新潟県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,1,0.08,0,0,0,0,0,0,0,0,0,0,1,0.08
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,2,0.2,2,0.2,0,0,0,0,0,0,0,0,0,0
愛知県,3,0.2,1,0.07,0,0,0,0,1,0.07,1,0.07,0,0
三重県,1,0.11,1,0.11,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,2,0.12,0,0,0,0,0,0,0,0,0,0,2,0.11
兵庫県,1,0.07,1,0.07,0,0,0,0,0,0,0,0,0,0
奈良県,1,0.17,0,0,0,0,1,0.17,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,2,0.4,0,0,0,0,2,0.4,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広島県,2,0.1,0,0,0,0,1,0.05,0,0,1,0.05,0,0
山口県,1,0.11,0,0,0,0,0,0,1,0.11,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,1,0.13,0,0,0,0,0,0,0,0,0,0,1,0.13
福岡県,3,0.2,0,0,1,0.07,0,0,0,0,1,0.07,1,0.07
佐賀県,1,0.17,0,0,0,0,1,0.17,0,0,0,0,0,0
長崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
熊本県,3,0.2,0,0,1,0.07,0,0,0,0,1,0.07,1,0.07
大分県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
無菌性髄膜炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,56,0.12,7,0.01,10,0.02,11,0.02,12,0.02,6,0.01,10,0.02
北海道,1,0.04,0,0,1,0.04,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,1,0.05,0,0,0,0,1,0.05,0,0,0,0,0,0
宮城県,2,0.2,0,0,0,0,1,0.1,0,0,0,0,1,0.1
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,3,0.23,1,0.08,0,0,1,0.08,0,0,0,0,1,0.08
栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,1,0.08,0,0,0,0,0,0,0,0,0,0,1,0.08
千葉県,4,0.44,0,0,0,0,1,0.11,2,0.22,0,0,1,0.11
東京都,2,0.08,0,0,0,0,0,0,0,0,1,0.04,1,0.04
神奈川県,5,0.42,0,0,2,0.17,1,0.08,2,0.17,0,0,0,0
新潟県,3,0.23,0,0,0,0,0,0,1,0.08,1,0.08,1,0.08
富山県,1,0.2,0,0,0,0,0,0,0,0,0,0,1,0.2
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,1,0.17,0,0,1,0.17,0,0,0,0,0,0,0,0
山梨県,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0
長野県,1,0.08,0,0,1,0.08,0,0,0,0,0,0,0,0
岐阜県,1,0.2,0,0,0,0,0,0,0,0,1,0.2,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,2,0.13,0,0,1,0.07,0,0,1,0.07,0,0,0,0
三重県,2,0.22,0,0,0,0,0,0,2,0.22,0,0,0,0
滋賀県,1,0.14,0,0,0,0,0,0,0,0,1,0.14,0,0
京都府,1,0.17,0,0,0,0,1,0.14,0,0,0,0,0,0
大阪府,1,0.06,0,0,1,0.06,0,0,0,0,0,0,0,0
兵庫県,3,0.21,1,0.07,0,0,1,0.07,1,0.07,0,0,0,0
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,3,0.27,1,0.09,0,0,1,0.09,0,0,0,0,1,0.09
鳥取県,3,0.6,0,0,0,0,0,0,1,0.2,0,0,2,0.4
島根県,1,0.13,0,0,0,0,0,0,0,0,1,0.13,0,0
岡山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広島県,1,0.05,0,0,1,0.05,0,0,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,1,0.2,0,0,0,0,0,0,1,0.2,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,2,0.13,1,0.07,0,0,1,0.07,0,0,0,0,0,0
佐賀県,3,0.5,1,0.17,1,0.17,1,0.17,0,0,0,0,0,0
長崎県,2,0.17,1,0.08,1,0.08,0,0,0,0,0,0,0,0
熊本県,1,0.07,0,0,0,0,1,0.07,0,0,0,0,0,0
大分県,1,0.09,0,0,0,0,0,0,0,0,1,0.09,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,1,0.14,0,0,0,0,0,0,1,0.14,0,0,0,0
,,,,,,,,,,,,,,
マイコプラズマ肺炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,204,0.43,24,0.05,35,0.07,36,0.08,32,0.07,37,0.08,40,0.08
北海道,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04
青森県,15,2.5,0,0,3,0.5,0,0,6,1,1,0.17,5,0.83
岩手県,10,0.53,3,0.16,2,0.11,1,0.05,2,0.11,0,0,2,0.11
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,1,0.13,0,0,1,0.13,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,1,0.14,0,0,0,0,1,0.14,0,0,0,0,0,0
茨城県,9,0.69,3,0.23,2,0.15,1,0.08,0,0,2,0.15,1,0.08
栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,1,0.11,0,0,0,0,0,0,0,0,0,0,1,0.11
埼玉県,3,0.25,2,0.17,0,0,0,0,0,0,1,0.08,0,0
千葉県,3,0.33,0,0,1,0.11,0,0,0,0,2,0.22,0,0
東京都,12,0.48,2,0.08,1,0.04,1,0.04,3,0.12,2,0.08,3,0.12
神奈川県,7,0.58,0,0,3,0.25,1,0.08,0,0,2,0.17,1,0.08
新潟県,2,0.15,0,0,1,0.08,0,0,1,0.08,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,19,3.17,2,0.33,3,0.5,4,0.67,4,0.67,4,0.67,2,0.33
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,2,0.4,0,0,0,0,2,0.4,0,0,0,0,0,0
静岡県,3,0.3,0,0,0,0,1,0.1,1,0.1,0,0,1,0.1
愛知県,10,0.67,0,0,2,0.13,4,0.27,1,0.07,2,0.13,1,0.07
三重県,1,0.11,0,0,1,0.11,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,2,0.33,0,0,0,0,1,0.14,0,0,0,0,1,0.14
大阪府,12,0.71,0,0,3,0.18,1,0.06,0,0,3,0.17,5,0.28
兵庫県,15,1.07,1,0.07,2,0.14,5,0.36,2,0.14,3,0.21,2,0.14
奈良県,1,0.17,0,0,1,0.17,0,0,0,0,0,0,0,0
和歌山県,6,0.55,2,0.18,0,0,0,0,1,0.09,2,0.18,1,0.09
鳥取県,1,0.2,0,0,0,0,0,0,0,0,1,0.2,0,0
島根県,1,0.13,0,0,0,0,0,0,0,0,1,0.13,0,0
岡山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広島県,8,0.38,1,0.05,0,0,3,0.14,0,0,3,0.14,1,0.05
山口県,7,0.78,2,0.22,2,0.22,0,0,1,0.11,2,0.22,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,1,0.2,0,0,0,0,1,0.2,0,0,0,0,0,0
愛媛県,2,0.33,0,0,1,0.17,0,0,0,0,1,0.17,0,0
高知県,4,0.5,0,0,0,0,0,0,0,0,0,0,4,0.5
福岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
佐賀県,11,1.83,1,0.17,1,0.17,2,0.33,3,0.5,1,0.17,3,0.5
長崎県,4,0.33,1,0.08,1,0.08,0,0,1,0.08,1,0.08,0,0
熊本県,3,0.2,0,0,0,0,3,0.2,0,0,0,0,0,0
大分県,8,0.73,1,0.09,1,0.09,2,0.18,1,0.09,1,0.09,2,0.18
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,18,2.57,3,0.43,3,0.43,2,0.29,5,0.71,2,0.29,3,0.43
,,,,,,,,,,,,,,
クラミジア肺炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2,0,0,0,1,0,1,0,0,0,0,0,0,0
北海道,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千葉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東京都,0,0,0,0,0,0,0,0,0,0,0,0,0,0
神奈川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新潟県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,0,0,0,0,0,0,0,0,0,0,0,0,0,0
兵庫県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,2,0.18,0,0,1,0.09,1,0.09,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
熊本県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
感染性胃腸炎（ロタウイルス）,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,36,0.08,3,0.01,1,0,5,0.01,12,0.02,6,0.01,9,0.02
北海道,3,0.13,0,0,0,0,0,0,0,0,0,0,3,0.13
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,1,0.05,1,0.05,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,2,0.2,2,0.2,0,0,0,0,0,0,0,0,0,0
福島県,1,0.14,0,0,0,0,0,0,1,0.14,0,0,0,0
茨城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,1,0.11,0,0,0,0,0,0,0,0,0,0,1,0.11
埼玉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千葉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東京都,0,0,0,0,0,0,0,0,0,0,0,0,0,0
神奈川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新潟県,12,0.92,0,0,0,0,1,0.08,6,0.46,3,0.23,2,0.15
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,1,0.08,0,0,0,0,1,0.08,0,0,0,0,0,0
岐阜県,1,0.2,0,0,0,0,1,0.2,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,2,0.13,0,0,0,0,1,0.07,1,0.07,0,0,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,1,0.06,0,0,0,0,1,0.06,0,0,0,0,0,0
兵庫県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,1,0.13,0,0,0,0,0,0,0,0,1,0.13,0,0
岡山県,4,0.8,0,0,0,0,0,0,3,0.6,1,0.2,0,0
広島県,2,0.1,0,0,0,0,0,0,0,0,1,0.05,1,0.05
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,3,0.38,0,0,1,0.13,0,0,1,0.13,0,0,1,0.13
福岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,1,0.08,0,0,0,0,0,0,0,0,0,0,1,0.08
熊本県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
COVID-19,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,359630,73.05,34204,6.98,44189,8.96,60280,12.22,73667,14.93,79676,16.15,67614,13.75
北海道,17029,76.02,2317,10.58,2369,10.53,2424,10.77,3091,13.74,3465,15.4,3363,14.95
青森県,2798,48.24,353,5.98,322,5.46,376,6.37,488,8.27,634,10.75,625,10.78
岩手県,4874,81.23,481,7.89,631,10.34,667,10.93,1026,16.82,985,16.15,1084,18.07
宮城県,7568,83.16,494,5.43,720,7.91,1166,12.81,1709,18.78,1748,19.21,1731,19.02
秋田県,2656,53.12,350,7.14,319,6.25,397,7.78,482,9.45,553,10.84,555,11.1
山形県,2953,68.67,193,4.49,292,6.79,466,10.84,647,15.05,681,15.84,674,15.67
福島県,9019,109.99,926,11.29,992,12.1,1557,18.99,1963,23.94,2008,24.49,1573,19.18
茨城県,12959,107.99,1472,12.27,1691,14.09,2199,18.33,2538,21.15,2695,22.46,2364,19.7
栃木県,7027,92.46,480,6.32,790,10.39,1265,16.64,1597,21.01,1557,20.49,1338,17.61
群馬県,7806,92.93,525,6.18,741,8.72,1265,14.88,1756,20.66,1848,21.74,1671,19.89
埼玉県,21448,82.81,1661,6.51,2416,9.26,3756,14.39,4990,19.12,4773,18.29,3852,14.87
千葉県,18971,94.38,1516,7.5,2317,11.41,3238,16.03,4196,20.88,4435,21.74,3269,16.51
東京都,20420,49.56,1366,3.37,2339,5.65,3448,8.33,4667,11.27,4713,11.38,3887,9.37
神奈川県,21074,58.22,1187,3.3,2190,6.05,3490,9.59,4960,13.55,5306,14.66,3941,11.01
新潟県,6414,74.58,483,5.62,572,6.65,867,10.08,1276,14.84,1627,18.92,1589,18.48
富山県,3531,73.56,315,6.56,379,7.9,569,11.85,802,16.71,773,16.1,693,14.44
石川県,4575,101.67,371,8.43,461,10.48,645,14.33,962,20.91,1128,24.52,1008,21.91
福井県,2092,53.64,127,3.26,168,4.31,300,7.69,443,11.36,503,12.9,551,14.13
山梨県,3600,87.8,331,8.07,527,12.85,606,14.78,737,17.98,743,18.12,656,16
長野県,9071,103.08,1110,12.61,1236,14.05,1392,15.82,1849,21.01,1947,22.13,1537,17.47
岐阜県,8408,96.64,1325,15.23,1243,14.29,1405,16.15,1418,16.3,1538,17.68,1479,17
静岡県,12889,92.73,1082,7.78,1577,11.35,2128,15.31,2660,19.14,2987,21.49,2455,17.66
愛知県,21011,107.75,2418,12.4,2763,14.17,3379,17.33,4142,21.24,4398,22.55,3911,20.06
三重県,6038,83.86,490,6.81,714,9.92,1135,15.76,1195,16.6,1349,18.74,1155,16.04
滋賀県,3362,56.98,413,7,456,7.6,537,9.1,609,10.32,680,11.33,667,11.12
京都府,7099,57.72,742,6.08,991,7.93,1187,9.57,1343,10.83,1526,12.31,1310,10.56
大阪府,13781,45.04,1458,4.76,1894,6.19,2441,7.98,2725,8.91,2863,9.36,2400,7.82
兵庫県,10166,51.34,964,4.87,1303,6.58,1821,9.2,2091,10.56,2177,10.99,1810,9.14
奈良県,3553,64.6,295,5.36,452,8.22,583,10.6,674,12.25,765,13.91,784,14.25
和歌山県,3381,69,295,6.02,397,8.1,604,12.33,660,13.47,799,16.31,626,12.78
鳥取県,1943,67,260,8.97,239,8.24,356,12.28,322,11.1,350,12.07,416,14.34
島根県,1944,51.16,218,5.74,233,6.13,347,9.13,324,8.53,440,11.58,382,10.05
岡山県,5441,64.77,623,7.42,728,8.67,955,11.37,1005,11.96,1130,13.45,1000,11.9
広島県,8185,73.08,682,6.04,919,8.21,1291,11.42,1598,14.14,1944,17.36,1751,15.77
山口県,4893,73.03,379,5.66,577,8.61,922,13.76,1098,16.39,1059,15.81,858,12.81
徳島県,3052,82.49,346,9.35,437,11.81,563,15.22,604,16.32,563,15.22,539,14.57
香川県,3665,77.98,381,8.11,400,8.51,641,13.64,781,16.62,829,17.64,633,13.47
愛媛県,5321,88.68,374,6.34,624,10.23,852,13.97,1064,17.44,1301,21.33,1106,18.13
高知県,3164,71.91,328,7.45,483,10.98,614,13.95,598,13.59,677,15.39,464,10.55
福岡県,12565,63.46,1515,7.65,1630,8.23,2070,10.45,2277,11.5,2765,13.96,2308,11.66
佐賀県,3478,89.18,330,8.46,539,13.82,665,17.05,606,15.54,768,19.69,570,14.62
長崎県,4933,70.47,528,7.54,763,10.9,908,12.97,841,12.01,1036,14.8,857,12.24
熊本県,7211,90.14,867,10.84,1029,12.86,1286,16.08,1373,17.16,1538,19.23,1118,13.98
大分県,5494,94.72,639,11.02,697,12.02,995,17.16,1092,18.83,1115,19.22,956,16.48
宮崎県,4808,82.9,432,7.45,646,11.14,932,16.07,974,16.79,1038,17.9,786,13.55
鹿児島県,5706,64.11,504,5.66,632,7.1,1149,12.91,1018,11.44,1436,16.13,967,10.87
