報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年16週(04月17日～04月23日),2023年04月26日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週
広島県,5,0.07,0,0,0,0,0,0,1,0.01,0,0,0,0,1,0.01,0,0,0,0,1,0.01,1,0.01,0,0,0,0,1,0.01,0,0,0,0
山口県,6,0.14,1,0.02,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,1,0.02,0,0,2,0.04,0,0,0,0,0,0,0,0,1,0.02
徳島県,3,0.13,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0
香川県,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0
愛媛県,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0
高知県,7,0.26,0,0,0,0,0,0,2,0.07,2,0.07,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,2,0.07,0,0,0,0
福岡県,14,0.12,0,0,1,0.01,0,0,0,0,1,0.01,0,0,1,0.01,4,0.03,1,0.01,1,0.01,0,0,0,0,0,0,2,0.02,3,0.03,0,0
佐賀県,3,0.13,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,1,0.04,0,0
長崎県,9,0.2,1,0.02,1,0.02,0,0,0,0,1,0.02,0,0,2,0.05,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,3,0.07
熊本県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大分県,9,0.25,1,0.03,0,0,0,0,1,0.03,0,0,0,0,2,0.06,4,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03
宮崎県,6,0.17,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,3,0.08,0,0
鹿児島県,14,0.26,1,0.02,2,0.04,0,0,2,0.04,0,0,1,0.02,1,0.02,1,0.02,0,0,2,0.04,1,0.02,1,0.02,0,0,0,0,0,0,2,0.04
沖縄県,7,0.22,0,0,0,0,0,0,0,0,0,0,2,0.06,1,0.03,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,1,0.03,1,0.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発しん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,11400,3.62,564,0.18,732,0.23,751,0.24,695,0.22,697,0.22,678,0.22,686,0.22,613,0.19,652,0.21,646,0.21,723,0.23,634,0.2,758,0.24,757,0.24,807,0.26,1007,0.32
北海道,247,1.79,11,0.08,13,0.09,26,0.19,11,0.08,18,0.13,16,0.12,19,0.14,7,0.05,14,0.1,13,0.09,11,0.08,9,0.06,28,0.2,20,0.14,11,0.08,20,0.14
青森県,140,3.41,4,0.1,7,0.17,9,0.21,10,0.24,12,0.29,9,0.21,11,0.26,10,0.24,12,0.29,6,0.14,4,0.1,11,0.26,10,0.24,6,0.15,6,0.15,13,0.33
岩手県,193,4.95,11,0.28,11,0.28,8,0.2,13,0.33,14,0.35,6,0.15,10,0.25,17,0.43,8,0.2,11,0.28,11,0.28,8,0.2,18,0.45,13,0.33,18,0.46,16,0.41
宮城県,245,4.3,11,0.19,15,0.26,15,0.26,21,0.36,12,0.21,14,0.24,13,0.22,13,0.22,22,0.38,12,0.21,15,0.26,17,0.29,18,0.31,18,0.32,15,0.27,14,0.25
秋田県,80,2.42,6,0.18,4,0.12,5,0.15,12,0.36,2,0.06,7,0.21,4,0.12,4,0.12,2,0.06,4,0.12,3,0.09,4,0.12,8,0.24,8,0.24,2,0.06,5,0.15
山形県,156,5.57,7,0.24,11,0.38,7,0.24,10,0.34,12,0.41,8,0.28,15,0.52,11,0.38,13,0.45,16,0.55,10,0.34,5,0.17,13,0.45,4,0.14,7,0.25,7,0.25
福島県,298,5.96,10,0.2,17,0.34,22,0.44,17,0.34,15,0.3,20,0.4,19,0.38,14,0.28,17,0.34,19,0.38,21,0.42,14,0.28,21,0.42,20,0.4,20,0.4,32,0.64
茨城県,145,1.93,7,0.09,8,0.11,16,0.21,10,0.13,7,0.09,13,0.17,5,0.07,4,0.05,8,0.11,12,0.16,10,0.13,8,0.11,12,0.16,6,0.08,4,0.05,15,0.2
栃木県,203,4.23,17,0.35,15,0.31,16,0.33,7,0.15,10,0.21,8,0.17,12,0.25,15,0.31,12,0.25,14,0.29,8,0.17,10,0.21,18,0.38,11,0.23,12,0.25,18,0.38
群馬県,257,4.85,7,0.13,16,0.3,16,0.3,19,0.36,18,0.34,16,0.3,18,0.34,15,0.28,22,0.42,8,0.15,13,0.25,24,0.45,14,0.26,17,0.31,19,0.35,15,0.28
埼玉県,634,3.96,26,0.17,41,0.26,37,0.23,41,0.25,32,0.2,35,0.22,38,0.24,22,0.14,45,0.28,32,0.2,40,0.25,26,0.16,33,0.21,53,0.33,53,0.33,80,0.49
千葉県,352,2.71,15,0.12,25,0.19,23,0.18,22,0.17,24,0.18,16,0.12,11,0.08,14,0.11,17,0.13,23,0.18,22,0.17,23,0.18,21,0.16,31,0.24,21,0.16,44,0.34
東京都,965,3.73,39,0.15,68,0.26,60,0.23,62,0.24,62,0.24,56,0.22,53,0.2,42,0.16,48,0.19,47,0.18,61,0.24,59,0.23,66,0.25,69,0.27,73,0.28,100,0.39
神奈川県,739,3.27,38,0.17,42,0.18,52,0.23,45,0.2,40,0.18,36,0.16,48,0.21,31,0.14,47,0.2,46,0.21,49,0.22,36,0.16,48,0.21,48,0.21,58,0.26,75,0.33
新潟県,204,3.71,6,0.11,10,0.18,16,0.29,17,0.3,15,0.27,13,0.23,10,0.18,21,0.38,6,0.11,12,0.21,10,0.18,11,0.2,14,0.26,15,0.28,13,0.24,15,0.28
富山県,86,2.97,7,0.24,8,0.28,4,0.14,2,0.07,5,0.17,4,0.14,4,0.14,6,0.21,3,0.1,7,0.24,3,0.1,5,0.17,6,0.21,12,0.41,5,0.17,5,0.17
石川県,112,3.86,6,0.21,4,0.14,10,0.34,10,0.34,6,0.21,6,0.21,8,0.28,4,0.14,5,0.17,12,0.41,7,0.24,4,0.14,7,0.24,10,0.34,7,0.24,6,0.21
福井県,84,3.65,7,0.3,7,0.3,5,0.22,7,0.3,4,0.17,5,0.22,3,0.13,4,0.17,3,0.13,1,0.04,3,0.13,2,0.09,7,0.3,7,0.3,9,0.39,10,0.43
山梨県,88,3.67,6,0.25,7,0.29,8,0.33,4,0.17,8,0.33,4,0.17,4,0.17,8,0.33,6,0.25,4,0.17,3,0.13,3,0.13,4,0.17,6,0.25,6,0.25,7,0.29
長野県,137,2.58,14,0.26,11,0.2,10,0.19,8,0.15,10,0.19,8,0.15,8,0.15,10,0.19,7,0.13,5,0.09,7,0.13,7,0.13,5,0.09,6,0.11,7,0.13,14,0.26
岐阜県,134,2.58,5,0.09,8,0.15,14,0.26,4,0.08,10,0.19,6,0.11,7,0.13,8,0.15,11,0.21,4,0.08,10,0.19,11,0.21,9,0.18,10,0.19,8,0.15,9,0.17
静岡県,277,3.11,13,0.15,18,0.2,12,0.13,17,0.19,21,0.24,21,0.24,21,0.24,12,0.13,19,0.21,16,0.18,21,0.24,20,0.22,14,0.15,13,0.15,14,0.16,25,0.28
愛知県,458,2.52,20,0.11,40,0.22,28,0.15,19,0.1,24,0.13,26,0.14,23,0.13,37,0.2,22,0.12,18,0.1,33,0.18,22,0.12,43,0.23,26,0.14,35,0.19,42,0.23
三重県,156,3.55,13,0.29,11,0.24,8,0.18,7,0.16,14,0.31,11,0.24,6,0.13,13,0.29,11,0.24,5,0.11,10,0.22,5,0.11,9,0.2,10,0.22,11,0.24,12,0.27
滋賀県,82,2.34,6,0.17,7,0.19,4,0.11,3,0.08,6,0.17,3,0.08,4,0.11,6,0.17,3,0.08,2,0.06,4,0.11,8,0.22,5,0.14,6,0.17,10,0.28,5,0.14
京都府,172,2.29,7,0.09,9,0.12,14,0.18,12,0.16,17,0.22,9,0.12,8,0.11,11,0.14,12,0.16,14,0.18,11,0.14,5,0.07,9,0.12,11,0.14,11,0.14,12,0.16
大阪府,601,3.1,31,0.16,40,0.21,46,0.24,29,0.15,30,0.15,37,0.19,36,0.19,32,0.16,36,0.19,25,0.13,38,0.19,39,0.2,37,0.19,43,0.22,43,0.22,59,0.31
兵庫県,361,2.8,19,0.15,29,0.22,20,0.16,31,0.24,21,0.16,23,0.18,25,0.19,11,0.09,17,0.13,15,0.12,26,0.2,24,0.19,13,0.1,21,0.16,31,0.24,35,0.27
奈良県,123,3.62,4,0.12,14,0.41,10,0.29,7,0.21,8,0.24,7,0.21,5,0.15,5,0.15,5,0.15,8,0.24,8,0.24,8,0.24,8,0.24,8,0.24,10,0.29,8,0.24
和歌山県,90,3,4,0.13,5,0.17,2,0.07,5,0.17,5,0.17,6,0.2,4,0.13,4,0.13,6,0.2,3,0.1,9,0.3,3,0.1,12,0.4,7,0.23,10,0.33,5,0.17
鳥取県,82,4.32,2,0.11,6,0.32,4,0.21,5,0.26,3,0.16,9,0.47,7,0.37,7,0.37,3,0.16,5,0.26,5,0.26,3,0.16,3,0.16,5,0.26,6,0.32,9,0.47
島根県,127,5.52,11,0.48,5,0.22,7,0.3,10,0.43,12,0.52,7,0.3,9,0.39,7,0.3,7,0.3,12,0.52,7,0.3,6,0.26,8,0.35,5,0.22,7,0.3,7,0.3
岡山県,159,2.94,6,0.11,17,0.31,13,0.24,10,0.19,14,0.26,14,0.26,6,0.11,5,0.09,8,0.15,11,0.2,5,0.09,10,0.19,12,0.22,12,0.22,7,0.13,9,0.17
広島県,221,3.11,13,0.18,8,0.11,15,0.21,9,0.13,19,0.26,17,0.24,21,0.29,11,0.15,8,0.11,12,0.17,18,0.25,16,0.22,13,0.18,11,0.15,10,0.14,20,0.28
山口県,236,5.36,13,0.29,14,0.31,16,0.36,12,0.27,12,0.27,10,0.22,16,0.36,11,0.24,15,0.33,17,0.38,12,0.27,12,0.27,11,0.24,23,0.51,27,0.63,15,0.35
徳島県,106,4.61,11,0.48,4,0.17,9,0.39,6,0.26,5,0.22,5,0.22,7,0.3,4,0.17,5,0.22,9,0.39,8,0.35,5,0.22,6,0.26,4,0.17,7,0.3,11,0.48
香川県,140,5,3,0.11,8,0.29,8,0.29,12,0.43,4,0.14,6,0.21,9,0.32,14,0.5,5,0.18,12,0.43,7,0.25,5,0.18,8,0.29,10,0.36,15,0.54,14,0.5
愛媛県,243,6.75,12,0.32,12,0.32,17,0.46,15,0.41,13,0.35,17,0.46,19,0.51,11,0.3,9,0.24,20,0.54,21,0.57,14,0.38,19,0.53,10,0.27,16,0.43,18,0.49
高知県,95,3.52,10,0.37,3,0.11,8,0.3,10,0.37,7,0.26,5,0.19,5,0.19,5,0.19,4,0.15,3,0.11,7,0.26,6,0.22,8,0.3,3,0.11,3,0.11,8,0.3
福岡県,692,5.77,32,0.27,40,0.33,42,0.35,39,0.33,35,0.29,47,0.39,46,0.38,45,0.38,42,0.35,38,0.32,43,0.36,43,0.36,44,0.37,41,0.34,54,0.45,61,0.51
佐賀県,170,7.39,11,0.48,12,0.52,12,0.52,5,0.22,6,0.26,8,0.35,10,0.43,18,0.78,12,0.52,8,0.35,20,0.87,7,0.3,10,0.43,11,0.48,14,0.61,6,0.26
長崎県,181,4.11,9,0.2,11,0.25,13,0.3,5,0.11,9,0.2,10,0.23,13,0.3,10,0.23,10,0.23,9,0.2,14,0.32,8,0.18,9,0.2,15,0.34,16,0.36,20,0.45
熊本県,328,6.69,18,0.36,22,0.44,21,0.42,26,0.52,23,0.46,14,0.28,22,0.44,17,0.34,19,0.38,23,0.46,26,0.52,13,0.27,16,0.33,24,0.5,24,0.51,20,0.42
大分県,228,6.33,9,0.25,8,0.22,12,0.33,15,0.42,15,0.42,23,0.64,12,0.33,10,0.28,12,0.33,13,0.36,15,0.42,18,0.5,16,0.44,12,0.33,14,0.39,24,0.67
宮崎県,231,6.6,10,0.28,16,0.44,12,0.34,18,0.5,17,0.47,11,0.31,12,0.33,7,0.19,13,0.36,16,0.44,16,0.44,14,0.39,21,0.58,17,0.47,15,0.42,16,0.44
鹿児島県,244,4.6,10,0.19,18,0.33,15,0.28,12,0.22,17,0.31,19,0.35,16,0.3,13,0.24,14,0.26,18,0.33,16,0.3,16,0.3,14,0.27,12,0.23,17,0.32,17,0.32
沖縄県,98,3.06,7,0.21,7,0.21,4,0.12,4,0.12,4,0.12,7,0.22,4,0.13,7,0.22,7,0.22,6,0.19,2,0.06,7,0.22,10,0.3,7,0.21,6,0.19,9,0.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,3891,1.24,83,0.03,138,0.04,190,0.06,170,0.05,156,0.05,126,0.04,158,0.05,153,0.05,118,0.04,154,0.05,173,0.06,187,0.06,312,0.1,322,0.1,580,0.19,871,0.28
北海道,52,0.38,1,0.01,3,0.02,6,0.04,2,0.01,2,0.01,5,0.04,3,0.02,5,0.04,1,0.01,3,0.02,3,0.02,5,0.04,3,0.02,2,0.01,3,0.02,5,0.04
青森県,5,0.12,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0,1,0.02,0,0,1,0.02,0,0,0,0,0,0,1,0.03
岩手県,3,0.08,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0
宮城県,6,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.03,0,0,1,0.02,3,0.05
秋田県,35,1.06,5,0.15,2,0.06,12,0.36,8,0.24,1,0.03,1,0.03,3,0.09,1,0.03,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0
山形県,1,0.04,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,4,0.08,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,2,0.04
茨城県,22,0.29,1,0.01,1,0.01,0,0,0,0,0,0,1,0.01,2,0.03,0,0,1,0.01,0,0,0,0,2,0.03,0,0,3,0.04,6,0.08,5,0.07
栃木県,5,0.1,0,0,0,0,0,0,2,0.04,1,0.02,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02
群馬県,13,0.25,0,0,1,0.02,0,0,0,0,1,0.02,2,0.04,1,0.02,2,0.04,2,0.04,0,0,0,0,0,0,0,0,2,0.04,1,0.02,1,0.02
埼玉県,32,0.2,0,0,1,0.01,1,0.01,2,0.01,1,0.01,1,0.01,0,0,1,0.01,0,0,2,0.01,5,0.03,1,0.01,1,0.01,5,0.03,3,0.02,8,0.05
千葉県,30,0.23,0,0,1,0.01,0,0,0,0,2,0.02,1,0.01,2,0.02,2,0.02,2,0.02,0,0,1,0.01,3,0.02,1,0.01,1,0.01,9,0.07,5,0.04
東京都,114,0.44,3,0.01,1,0,8,0.03,2,0.01,3,0.01,4,0.02,6,0.02,0,0,1,0,2,0.01,3,0.01,2,0.01,5,0.02,10,0.04,16,0.06,48,0.19
神奈川県,64,0.28,4,0.02,2,0.01,9,0.04,2,0.01,3,0.01,3,0.01,2,0.01,3,0.01,0,0,2,0.01,6,0.03,0,0,2,0.01,7,0.03,8,0.04,11,0.05
新潟県,10,0.18,1,0.02,0,0,0,0,0,0,2,0.04,0,0,2,0.04,0,0,0,0,1,0.02,0,0,0,0,1,0.02,2,0.04,0,0,1,0.02
富山県,20,0.69,1,0.03,1,0.03,1,0.03,1,0.03,0,0,1,0.03,1,0.03,2,0.07,2,0.07,0,0,0,0,2,0.07,1,0.03,1,0.03,1,0.03,5,0.17
石川県,33,1.14,1,0.03,1,0.03,0,0,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,12,0.41,15,0.52
福井県,59,2.57,1,0.04,1,0.04,1,0.04,0,0,2,0.09,0,0,0,0,1,0.04,0,0,4,0.17,2,0.09,2,0.09,3,0.13,5,0.22,19,0.83,18,0.78
山梨県,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,19,0.36,3,0.06,2,0.04,4,0.07,6,0.11,1,0.02,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0
岐阜県,7,0.13,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0,0,0,2,0.04,0,0,1,0.02,2,0.04
静岡県,12,0.13,0,0,0,0,0,0,1,0.01,0,0,2,0.02,1,0.01,0,0,0,0,0,0,0,0,1,0.01,2,0.02,2,0.02,0,0,3,0.03
愛知県,27,0.15,0,0,2,0.01,0,0,0,0,0,0,0,0,0,0,1,0.01,2,0.01,3,0.02,0,0,2,0.01,7,0.04,1,0.01,1,0.01,8,0.04
三重県,7,0.16,0,0,0,0,0,0,2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,1,0.02,1,0.02,2,0.04
滋賀県,17,0.49,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,1,0.03,0,0,6,0.17,1,0.03,2,0.06,4,0.11
京都府,54,0.72,0,0,5,0.07,8,0.11,9,0.12,8,0.11,5,0.07,3,0.04,2,0.03,1,0.01,1,0.01,0,0,1,0.01,1,0.01,4,0.05,3,0.04,3,0.04
大阪府,137,0.71,11,0.06,14,0.07,8,0.04,9,0.05,3,0.02,1,0.01,8,0.04,4,0.02,3,0.02,4,0.02,9,0.05,10,0.05,7,0.04,4,0.02,20,0.1,22,0.12
兵庫県,113,0.88,1,0.01,6,0.05,5,0.04,4,0.03,6,0.05,5,0.04,3,0.02,6,0.05,2,0.02,5,0.04,3,0.02,2,0.02,6,0.05,11,0.09,14,0.11,34,0.26
奈良県,16,0.47,1,0.03,1,0.03,1,0.03,1,0.03,2,0.06,0,0,0,0,2,0.06,0,0,1,0.03,1,0.03,2,0.06,1,0.03,1,0.03,1,0.03,1,0.03
和歌山県,2,0.07,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03
鳥取県,6,0.32,1,0.05,0,0,0,0,0,0,0,0,0,0,2,0.11,2,0.11,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0
島根県,11,0.48,0,0,0,0,1,0.04,2,0.09,0,0,0,0,1,0.04,1,0.04,0,0,1,0.04,0,0,1,0.04,3,0.13,1,0.04,0,0,0,0
岡山県,47,0.87,1,0.02,2,0.04,2,0.04,0,0,2,0.04,3,0.06,1,0.02,2,0.04,2,0.04,1,0.02,0,0,4,0.07,4,0.07,4,0.07,2,0.04,17,0.31
広島県,82,1.15,4,0.06,4,0.06,0,0,1,0.01,1,0.01,1,0.01,2,0.03,8,0.11,4,0.06,2,0.03,2,0.03,6,0.08,9,0.13,6,0.08,14,0.19,18,0.25
山口県,91,2.07,4,0.09,4,0.09,3,0.07,1,0.02,2,0.04,4,0.09,3,0.07,5,0.11,7,0.16,5,0.11,5,0.11,9,0.2,9,0.2,6,0.13,9,0.21,15,0.35
徳島県,5,0.22,0,0,0,0,2,0.09,2,0.09,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,37,1.32,1,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0,2,0.07,2,0.07,0,0,1,0.04,0,0,0,0,3,0.11,13,0.46,14,0.5
愛媛県,16,0.44,3,0.08,1,0.03,0,0,0,0,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,0,0,1,0.03,1,0.03,1,0.03,3,0.08,3,0.08
高知県,117,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.11,2,0.07,5,0.19,17,0.63,15,0.56,24,0.89,51,1.89
福岡県,658,5.48,11,0.09,31,0.26,38,0.32,43,0.36,34,0.28,21,0.18,43,0.36,33,0.28,24,0.2,14,0.12,32,0.27,44,0.37,70,0.58,40,0.33,84,0.7,96,0.8
佐賀県,241,10.48,1,0.04,12,0.52,10,0.43,7,0.3,6,0.26,9,0.39,10,0.43,13,0.57,8,0.35,9,0.39,19,0.83,16,0.7,25,1.09,18,0.78,28,1.22,50,2.17
長崎県,372,8.45,1,0.02,2,0.05,4,0.09,5,0.11,5,0.11,7,0.16,7,0.16,3,0.07,0,0,7,0.16,6,0.14,8,0.18,37,0.84,46,1.05,88,2,146,3.32
熊本県,735,15,7,0.14,17,0.34,25,0.5,25,0.5,36,0.72,23,0.46,29,0.58,18,0.36,29,0.58,52,1.04,47,0.94,35,0.71,61,1.24,70,1.46,129,2.74,132,2.75
大分県,87,2.42,1,0.03,2,0.06,9,0.25,12,0.33,4,0.11,13,0.36,1,0.03,7,0.19,4,0.11,7,0.19,1,0.03,4,0.11,6,0.17,4,0.11,3,0.08,9,0.25
宮崎県,259,7.4,6,0.17,5,0.14,15,0.43,13,0.36,10,0.28,3,0.08,12,0.33,13,0.36,14,0.39,14,0.39,17,0.47,10,0.28,9,0.25,16,0.44,35,0.97,67,1.86
鹿児島県,171,3.23,1,0.02,9,0.17,15,0.28,6,0.11,14,0.26,6,0.11,6,0.11,10,0.19,4,0.07,7,0.13,3,0.06,5,0.09,8,0.15,22,0.42,19,0.36,36,0.68
沖縄県,36,1.13,4,0.12,1,0.03,0,0,1,0.03,3,0.09,0,0,1,0.03,1,0.03,0,0,1,0.03,2,0.06,3,0.09,0,0,5,0.15,6,0.19,8,0.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,1435,0.46,63,0.02,68,0.02,84,0.03,76,0.02,96,0.03,92,0.03,95,0.03,81,0.03,95,0.03,91,0.03,100,0.03,79,0.03,97,0.03,95,0.03,114,0.04,109,0.03
北海道,31,0.22,0,0,2,0.01,5,0.04,0,0,1,0.01,3,0.02,1,0.01,0,0,2,0.01,2,0.01,3,0.02,1,0.01,3,0.02,2,0.01,3,0.02,3,0.02
青森県,21,0.51,2,0.05,1,0.02,0,0,1,0.02,2,0.05,0,0,4,0.1,3,0.07,0,0,2,0.05,1,0.02,1,0.02,2,0.05,1,0.03,0,0,1,0.03
岩手県,12,0.31,0,0,1,0.03,0,0,0,0,2,0.05,2,0.05,1,0.03,0,0,1,0.03,3,0.08,0,0,1,0.03,0,0,0,0,0,0,1,0.03
宮城県,22,0.39,2,0.03,0,0,1,0.02,0,0,2,0.03,1,0.02,2,0.03,1,0.02,4,0.07,2,0.03,0,0,2,0.03,0,0,2,0.04,2,0.04,1,0.02
秋田県,8,0.24,0,0,0,0,2,0.06,1,0.03,0,0,1,0.03,0,0,0,0,0,0,1,0.03,2,0.06,0,0,0,0,1,0.03,0,0,0,0
山形県,16,0.57,1,0.03,2,0.07,2,0.07,0,0,0,0,2,0.07,0,0,0,0,3,0.1,0,0,1,0.03,3,0.1,0,0,0,0,1,0.04,1,0.04
福島県,25,0.5,1,0.02,1,0.02,0,0,0,0,3,0.06,3,0.06,1,0.02,1,0.02,1,0.02,1,0.02,3,0.06,2,0.04,2,0.04,0,0,3,0.06,3,0.06
茨城県,30,0.4,7,0.09,2,0.03,0,0,1,0.01,0,0,0,0,1,0.01,1,0.01,2,0.03,3,0.04,2,0.03,0,0,3,0.04,2,0.03,3,0.04,3,0.04
栃木県,13,0.27,0,0,0,0,0,0,2,0.04,0,0,0,0,2,0.04,2,0.04,0,0,0,0,0,0,0,0,0,0,2,0.04,2,0.04,3,0.06
群馬県,33,0.62,3,0.06,0,0,0,0,4,0.08,1,0.02,4,0.08,3,0.06,2,0.04,0,0,2,0.04,1,0.02,1,0.02,7,0.13,3,0.06,1,0.02,1,0.02
埼玉県,110,0.69,5,0.03,1,0.01,10,0.06,6,0.04,8,0.05,6,0.04,8,0.05,7,0.04,9,0.06,7,0.04,10,0.06,6,0.04,7,0.04,8,0.05,5,0.03,7,0.04
千葉県,68,0.52,0,0,5,0.04,5,0.04,3,0.02,4,0.03,4,0.03,4,0.03,4,0.03,6,0.05,1,0.01,5,0.04,4,0.03,4,0.03,6,0.05,7,0.05,6,0.05
東京都,140,0.54,4,0.02,7,0.03,6,0.02,11,0.04,11,0.04,9,0.03,7,0.03,12,0.05,11,0.04,4,0.02,9,0.04,7,0.03,10,0.04,12,0.05,8,0.03,12,0.05
神奈川県,126,0.56,7,0.03,9,0.04,6,0.03,13,0.06,5,0.02,11,0.05,4,0.02,5,0.02,5,0.02,13,0.06,7,0.03,5,0.02,10,0.04,9,0.04,7,0.03,10,0.04
新潟県,29,0.53,1,0.02,3,0.05,0,0,0,0,4,0.07,3,0.05,3,0.05,2,0.04,2,0.04,2,0.04,3,0.05,1,0.02,1,0.02,2,0.04,2,0.04,0,0
富山県,8,0.28,1,0.03,0,0,0,0,0,0,0,0,0,0,3,0.1,0,0,1,0.03,0,0,1,0.03,0,0,0,0,0,0,1,0.03,1,0.03
石川県,10,0.34,1,0.03,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,2,0.07,1,0.03,0,0,0,0,2,0.07,1,0.03
福井県,9,0.39,2,0.09,0,0,0,0,1,0.04,0,0,1,0.04,1,0.04,1,0.04,0,0,0,0,2,0.09,0,0,0,0,0,0,0,0,1,0.04
山梨県,12,0.5,0,0,1,0.04,1,0.04,1,0.04,1,0.04,0,0,0,0,2,0.08,1,0.04,1,0.04,1,0.04,1,0.04,0,0,0,0,2,0.08,0,0
