報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年17週(04月24日～04月30日),2023年05月08日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週
佐賀県,321,13.96,1,0.04,12,0.52,10,0.43,7,0.3,6,0.26,9,0.39,10,0.43,13,0.57,8,0.35,9,0.39,19,0.83,16,0.7,25,1.09,18,0.78,28,1.22,50,2.17,80,3.48
長崎県,518,11.77,1,0.02,2,0.05,4,0.09,5,0.11,5,0.11,7,0.16,7,0.16,3,0.07,0,0,7,0.16,6,0.14,8,0.18,37,0.84,46,1.05,88,2,146,3.32,146,3.32
熊本県,846,17.27,7,0.14,17,0.34,25,0.5,25,0.5,36,0.72,23,0.46,29,0.58,18,0.36,29,0.58,52,1.04,47,0.94,35,0.71,61,1.24,70,1.46,129,2.74,132,2.75,111,2.27
大分県,93,2.58,1,0.03,2,0.06,9,0.25,12,0.33,4,0.11,13,0.36,1,0.03,7,0.19,4,0.11,7,0.19,1,0.03,4,0.11,6,0.17,4,0.11,3,0.08,9,0.25,6,0.17
宮崎県,356,10.17,6,0.17,5,0.14,15,0.43,13,0.36,10,0.28,3,0.08,12,0.33,13,0.36,14,0.39,14,0.39,17,0.47,10,0.28,9,0.25,16,0.44,35,0.97,67,1.86,97,2.77
鹿児島県,201,3.79,1,0.02,9,0.17,15,0.28,6,0.11,14,0.26,6,0.11,6,0.11,10,0.19,4,0.07,7,0.13,3,0.06,5,0.09,8,0.15,22,0.42,19,0.36,36,0.68,30,0.57
沖縄県,41,1.28,4,0.12,1,0.03,0,0,1,0.03,3,0.09,0,0,1,0.03,1,0.03,0,0,1,0.03,2,0.06,3,0.09,0,0,5,0.15,6,0.19,8,0.25,5,0.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,1543,0.49,63,0.02,68,0.02,84,0.03,76,0.02,96,0.03,92,0.03,95,0.03,81,0.03,95,0.03,91,0.03,100,0.03,79,0.03,97,0.03,95,0.03,114,0.04,110,0.04,107,0.03
北海道,35,0.25,0,0,2,0.01,5,0.04,0,0,1,0.01,3,0.02,1,0.01,0,0,2,0.01,2,0.01,3,0.02,1,0.01,3,0.02,2,0.01,3,0.02,3,0.02,4,0.03
青森県,22,0.54,2,0.05,1,0.02,0,0,1,0.02,2,0.05,0,0,4,0.1,3,0.07,0,0,2,0.05,1,0.02,1,0.02,2,0.05,1,0.03,0,0,1,0.03,1,0.03
岩手県,12,0.31,0,0,1,0.03,0,0,0,0,2,0.05,2,0.05,1,0.03,0,0,1,0.03,3,0.08,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0
宮城県,23,0.4,2,0.03,0,0,1,0.02,0,0,2,0.03,1,0.02,2,0.03,1,0.02,4,0.07,2,0.03,0,0,2,0.03,0,0,2,0.04,2,0.04,1,0.02,1,0.02
秋田県,8,0.24,0,0,0,0,2,0.06,1,0.03,0,0,1,0.03,0,0,0,0,0,0,1,0.03,2,0.06,0,0,0,0,1,0.03,0,0,0,0,0,0
山形県,17,0.61,1,0.03,2,0.07,2,0.07,0,0,0,0,2,0.07,0,0,0,0,3,0.1,0,0,1,0.03,3,0.1,0,0,0,0,1,0.04,1,0.04,1,0.04
福島県,26,0.52,1,0.02,1,0.02,0,0,0,0,3,0.06,3,0.06,1,0.02,1,0.02,1,0.02,1,0.02,3,0.06,2,0.04,2,0.04,0,0,3,0.06,3,0.06,1,0.02
茨城県,31,0.41,7,0.09,2,0.03,0,0,1,0.01,0,0,0,0,1,0.01,1,0.01,2,0.03,3,0.04,2,0.03,0,0,3,0.04,2,0.03,3,0.04,3,0.04,1,0.01
栃木県,17,0.35,0,0,0,0,0,0,2,0.04,0,0,0,0,2,0.04,2,0.04,0,0,0,0,0,0,0,0,0,0,2,0.04,2,0.04,3,0.06,4,0.08
群馬県,35,0.66,3,0.06,0,0,0,0,4,0.08,1,0.02,4,0.08,3,0.06,2,0.04,0,0,2,0.04,1,0.02,1,0.02,7,0.13,3,0.06,1,0.02,1,0.02,2,0.04
埼玉県,117,0.73,5,0.03,1,0.01,10,0.06,6,0.04,8,0.05,6,0.04,8,0.05,7,0.04,9,0.06,7,0.04,10,0.06,6,0.04,7,0.04,8,0.05,5,0.03,7,0.04,7,0.04
千葉県,76,0.58,0,0,5,0.04,5,0.04,3,0.02,4,0.03,4,0.03,4,0.03,4,0.03,6,0.05,1,0.01,5,0.04,4,0.03,4,0.03,6,0.05,7,0.05,6,0.05,8,0.06
東京都,146,0.56,4,0.02,7,0.03,6,0.02,11,0.04,11,0.04,9,0.03,7,0.03,12,0.05,11,0.04,4,0.02,9,0.04,7,0.03,10,0.04,12,0.05,8,0.03,12,0.05,6,0.02
神奈川県,134,0.59,7,0.03,9,0.04,6,0.03,13,0.06,5,0.02,11,0.05,4,0.02,5,0.02,5,0.02,13,0.06,7,0.03,5,0.02,10,0.04,9,0.04,7,0.03,10,0.04,8,0.04
新潟県,30,0.55,1,0.02,3,0.05,0,0,0,0,4,0.07,3,0.05,3,0.05,2,0.04,2,0.04,2,0.04,3,0.05,1,0.02,1,0.02,2,0.04,2,0.04,0,0,1,0.02
富山県,9,0.31,1,0.03,0,0,0,0,0,0,0,0,0,0,3,0.1,0,0,1,0.03,0,0,1,0.03,0,0,0,0,0,0,1,0.03,1,0.03,1,0.03
石川県,10,0.34,1,0.03,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,2,0.07,1,0.03,0,0,0,0,2,0.07,1,0.03,0,0
福井県,11,0.48,2,0.09,0,0,0,0,1,0.04,0,0,1,0.04,1,0.04,1,0.04,0,0,0,0,2,0.09,0,0,0,0,0,0,0,0,1,0.04,2,0.09
山梨県,14,0.58,0,0,1,0.04,1,0.04,1,0.04,1,0.04,0,0,0,0,2,0.08,1,0.04,1,0.04,1,0.04,1,0.04,0,0,0,0,2,0.08,0,0,2,0.08
長野県,16,0.3,0,0,0,0,1,0.02,0,0,1,0.02,1,0.02,2,0.04,1,0.02,3,0.06,2,0.04,0,0,0,0,1,0.02,1,0.02,1,0.02,0,0,2,0.04
岐阜県,11,0.21,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,2,0.04,3,0.06,1,0.02,1,0.02,1,0.02,1,0.02,1,0.02
静岡県,57,0.64,4,0.04,4,0.04,4,0.04,4,0.04,4,0.04,2,0.02,2,0.02,5,0.06,4,0.04,6,0.07,5,0.06,1,0.01,3,0.03,6,0.07,1,0.01,1,0.01,1,0.01
愛知県,62,0.34,0,0,3,0.02,0,0,2,0.01,3,0.02,5,0.03,4,0.02,4,0.02,1,0.01,3,0.02,7,0.04,3,0.02,4,0.02,3,0.02,8,0.04,7,0.04,5,0.03
三重県,15,0.34,0,0,1,0.02,1,0.02,0,0,1,0.02,1,0.02,1,0.02,2,0.04,2,0.04,0,0,0,0,0,0,3,0.07,2,0.04,1,0.02,0,0,0,0
滋賀県,14,0.4,1,0.03,0,0,1,0.03,0,0,1,0.03,0,0,1,0.03,0,0,1,0.03,0,0,1,0.03,0,0,0,0,2,0.06,0,0,1,0.03,5,0.14
京都府,17,0.23,1,0.01,0,0,0,0,1,0.01,4,0.05,0,0,2,0.03,0,0,0,0,1,0.01,1,0.01,1,0.01,1,0.01,0,0,2,0.03,1,0.01,2,0.03
大阪府,108,0.56,2,0.01,6,0.03,2,0.01,6,0.03,6,0.03,8,0.04,8,0.04,5,0.03,7,0.04,12,0.06,3,0.02,10,0.05,9,0.05,6,0.03,6,0.03,4,0.02,8,0.04
兵庫県,36,0.28,0,0,3,0.02,9,0.07,3,0.02,2,0.02,1,0.01,2,0.02,0,0,4,0.03,0,0,1,0.01,1,0.01,2,0.02,1,0.01,2,0.02,1,0.01,4,0.03
奈良県,8,0.24,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,1,0.03,1,0.03,1,0.03,0,0,0,0,0,0,0,0,1,0.03,1,0.03,1,0.03
和歌山県,12,0.4,2,0.07,0,0,0,0,1,0.03,1,0.03,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,2,0.07,2,0.07,1,0.03
鳥取県,4,0.21,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,1,0.05,0,0,1,0.05,0,0
島根県,9,0.39,0,0,0,0,1,0.04,0,0,0,0,0,0,2,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.13,2,0.09,1,0.04
岡山県,37,0.69,0,0,1,0.02,1,0.02,3,0.06,0,0,3,0.06,3,0.06,3,0.06,1,0.02,2,0.04,3,0.06,1,0.02,1,0.02,1,0.02,9,0.17,4,0.07,1,0.02
広島県,19,0.27,1,0.01,0,0,1,0.01,0,0,3,0.04,0,0,0,0,0,0,3,0.04,3,0.04,4,0.06,0,0,0,0,0,0,2,0.03,2,0.03,0,0
山口県,19,0.43,1,0.02,2,0.04,0,0,0,0,1,0.02,2,0.04,1,0.02,0,0,1,0.02,2,0.04,2,0.04,0,0,1,0.02,0,0,1,0.02,3,0.07,2,0.05
徳島県,7,0.3,0,0,0,0,0,0,0,0,2,0.09,2,0.09,1,0.04,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0
香川県,14,0.5,0,0,1,0.04,0,0,0,0,1,0.04,1,0.04,1,0.04,1,0.04,1,0.04,0,0,1,0.04,2,0.07,1,0.04,1,0.04,2,0.07,0,0,1,0.04
愛媛県,22,0.61,3,0.08,0,0,1,0.03,1,0.03,2,0.05,1,0.03,2,0.05,0,0,2,0.05,3,0.08,1,0.03,1,0.03,4,0.11,0,0,0,0,0,0,1,0.03
高知県,4,0.15,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.04,1,0.04,0,0,0,0,0,0
福岡県,71,0.59,1,0.01,3,0.03,2,0.02,2,0.02,5,0.04,4,0.03,3,0.03,4,0.03,2,0.02,5,0.04,5,0.04,4,0.03,4,0.03,3,0.03,7,0.06,10,0.08,7,0.06
佐賀県,13,0.57,1,0.04,0,0,3,0.13,0,0,0,0,0,0,0,0,0,0,2,0.09,0,0,0,0,1,0.04,2,0.09,2,0.09,0,0,2,0.09,0,0
長崎県,32,0.73,1,0.02,0,0,6,0.14,2,0.05,4,0.09,1,0.02,1,0.02,1,0.02,5,0.11,0,0,1,0.02,4,0.09,0,0,0,0,1,0.02,1,0.02,4,0.09
熊本県,37,0.76,2,0.04,1,0.02,3,0.06,1,0.02,2,0.04,1,0.02,4,0.08,1,0.02,1,0.02,0,0,2,0.04,1,0.02,3,0.06,5,0.1,7,0.15,0,0,3,0.06
大分県,32,0.89,1,0.03,2,0.06,1,0.03,0,0,2,0.06,5,0.14,5,0.14,2,0.06,0,0,1,0.03,2,0.06,3,0.08,0,0,3,0.08,2,0.06,2,0.06,1,0.03
宮崎県,27,0.77,3,0.08,1,0.03,4,0.11,2,0.06,1,0.03,4,0.11,0,0,1,0.03,1,0.03,2,0.06,1,0.03,2,0.06,1,0.03,3,0.08,0,0,0,0,1,0.03
鹿児島県,47,0.89,1,0.02,2,0.04,4,0.07,1,0.02,4,0.07,0,0,3,0.06,4,0.07,2,0.04,1,0.02,4,0.07,2,0.04,5,0.1,2,0.04,4,0.08,5,0.09,3,0.06
沖縄県,20,0.63,1,0.03,1,0.03,1,0.03,0,0,0,0,0,0,1,0.03,3,0.09,3,0.09,1,0.03,0,0,2,0.06,0,0,0,0,2,0.06,3,0.09,2,0.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,111,0.16,4,0.01,15,0.02,5,0.01,6,0.01,3,0,7,0.01,5,0.01,5,0.01,9,0.01,5,0.01,3,0,8,0.01,3,0,4,0.01,7,0.01,12,0.02,10,0.01
北海道,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,2,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.06,0,0,0,0,0,0,0,0,0,0,1,0.06,0,0,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,18,0.45,0,0,4,0.1,1,0.03,0,0,1,0.02,0,0,0,0,2,0.05,0,0,1,0.02,0,0,2,0.05,0,0,0,0,2,0.05,2,0.05,3,0.08
千葉県,3,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,2,0.06
東京都,5,0.14,0,0,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,1,0.03,0,0,0,0,2,0.05,0,0,0,0,0,0,0,0,0,0
神奈川県,7,0.14,1,0.02,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,1,0.02,0,0,0,0,1,0.02,1,0.02,1,0.02,0,0,1,0.02,0,0
新潟県,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,5,0.5,0,0,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,1,0.1,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0
愛知県,3,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,2,0.06,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,1,0.06,0,0,0,0,0,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,10,0.2,0,0,2,0.04,1,0.02,0,0,0,0,2,0.04,1,0.02,1,0.02,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,1,0.02,1,0.02
兵庫県,5,0.14,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,2,0.06,0,0
奈良県,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1
和歌山県,4,1,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.75,0,0
鳥取県,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,5,0.42,1,0.08,0,0,1,0.08,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,1,0.08,0,0,0,0
広島県,8,0.42,1,0.05,0,0,0,0,0,0,0,0,1,0.05,1,0.05,0,0,2,0.11,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2,0.11
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,2,0.5,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,12,1.5,0,0,1,0.13,2,0.25,1,0.13,2,0.25,0,0,0,0,1,0.13,3,0.38,0,0,0,0,0,0,0,0,1,0.13,1,0.13,0,0,0,0
熊本県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,2,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.33,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,2,0.29,0,0,0,0,0,0,0,0,0,0,2,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,10,1.25,1,0.11,2,0.22,0,0,1,0.11,0,0,2,0.22,0,0,1,0.11,0,0,2,0.22,0,0,1,0.11,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2543,3.67,150,0.22,169,0.24,145,0.21,131,0.19,144,0.21,125,0.18,156,0.22,122,0.18,129,0.19,143,0.21,143,0.21,108,0.16,156,0.22,191,0.27,168,0.24,193,0.28,170,0.25
北海道,53,1.83,1,0.03,1,0.03,2,0.07,4,0.14,7,0.24,3,0.1,5,0.17,1,0.03,3,0.1,4,0.14,5,0.17,4,0.14,3,0.1,0,0,8,0.28,1,0.03,1,0.03
青森県,6,0.67,0,0,0,0,1,0.1,1,0.1,0,0,0,0,0,0,1,0.1,1,0.1,0,0,0,0,0,0,0,0,1,0.1,1,0.1,0,0,0,0
岩手県,32,2.46,2,0.15,4,0.31,4,0.31,0,0,4,0.29,2,0.14,1,0.07,2,0.14,2,0.14,4,0.29,0,0,0,0,0,0,4,0.29,1,0.07,2,0.14,0,0
宮城県,48,4,3,0.25,4,0.33,1,0.08,0,0,2,0.17,3,0.25,1,0.08,2,0.17,2,0.17,4,0.33,4,0.33,1,0.08,0,0,4,0.33,5,0.42,11,0.92,1,0.08
秋田県,12,1.71,0,0,1,0.14,1,0.14,0,0,0,0,1,0.14,2,0.29,1,0.14,1,0.14,0,0,0,0,0,0,1,0.14,2,0.29,1,0.14,1,0.14,0,0
山形県,11,1.38,1,0.13,1,0.13,1,0.13,0,0,2,0.25,1,0.13,0,0,1,0.13,1,0.13,0,0,1,0.13,0,0,0,0,0,0,0,0,2,0.25,0,0
福島県,66,5.08,3,0.23,2,0.15,1,0.08,2,0.15,4,0.31,6,0.46,4,0.31,2,0.15,7,0.54,6,0.46,11,0.85,3,0.23,6,0.46,4,0.31,1,0.08,1,0.08,3,0.23
茨城県,169,9.94,17,1,12,0.71,13,0.76,10,0.59,9,0.53,8,0.47,10,0.59,6,0.35,8,0.47,9,0.53,4,0.24,4,0.24,7,0.41,21,1.24,12,0.71,10,0.59,9,0.53
栃木県,41,3.42,2,0.17,2,0.17,1,0.08,1,0.08,3,0.25,7,0.58,8,0.67,2,0.17,2,0.17,1,0.08,2,0.17,1,0.08,2,0.17,2,0.17,1,0.08,3,0.25,1,0.08
群馬県,73,5.21,5,0.36,3,0.21,4,0.29,0,0,2,0.14,3,0.21,1,0.07,0,0,1,0.07,5,0.36,7,0.5,1,0.07,10,0.71,8,0.57,12,0.86,6,0.43,5,0.36
埼玉県,127,3.18,7,0.18,6,0.15,8,0.2,11,0.27,7,0.17,5,0.13,8,0.2,12,0.29,6,0.15,7,0.17,7,0.17,11,0.27,11,0.28,4,0.1,6,0.15,7,0.17,4,0.11
千葉県,135,3.97,8,0.24,3,0.09,11,0.33,5,0.15,10,0.29,6,0.18,8,0.24,5,0.14,11,0.31,7,0.21,6,0.17,2,0.06,7,0.21,8,0.23,10,0.29,16,0.46,12,0.35
東京都,71,1.92,2,0.05,6,0.16,2,0.05,2,0.05,5,0.13,1,0.03,2,0.05,3,0.08,3,0.08,3,0.08,6,0.16,6,0.16,7,0.18,4,0.11,5,0.13,8,0.21,6,0.16
神奈川県,376,7.52,21,0.44,27,0.53,22,0.43,16,0.31,15,0.29,20,0.39,16,0.31,19,0.37,19,0.37,14,0.28,18,0.36,23,0.46,24,0.46,28,0.56,31,0.6,33,0.66,30,0.61
新潟県,21,2.1,4,0.4,0,0,3,0.3,0,0,0,0,0,0,0,0,1,0.1,0,0,2,0.2,1,0.1,0,0,4,0.4,3,0.3,0,0,2,0.2,1,0.1
富山県,8,1.14,1,0.14,2,0.29,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,1,0.14,3,0.43,0,0,0,0,0,0,0,0,0,0,0,0
石川県,41,5.86,1,0.14,4,0.57,3,0.43,5,0.71,5,0.71,4,0.57,0,0,4,0.57,2,0.29,3,0.43,0,0,2,0.29,2,0.29,1,0.14,2,0.29,2,0.29,1,0.14
福井県,3,1,0,0,0,0,0,0,0,0,1,0.33,0,0,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.33
山梨県,38,4.22,4,0.44,4,0.44,1,0.11,7,0.78,3,0.33,2,0.22,4,0.44,0,0,2,0.22,1,0.11,0,0,3,0.33,0,0,2,0.22,4,0.44,1,0.11,0,0
長野県,59,5.9,10,0.83,2,0.2,0,0,1,0.1,2,0.2,3,0.3,8,0.8,4,0.4,2,0.2,4,0.4,1,0.1,3,0.3,4,0.36,5,0.5,0,0,2,0.2,8,0.8
岐阜県,30,2.73,0,0,0,0,3,0.27,0,0,1,0.09,1,0.09,4,0.36,1,0.09,0,0,7,0.64,5,0.45,1,0.09,2,0.18,2,0.18,0,0,0,0,3,0.27
静岡県,39,1.77,3,0.14,4,0.18,1,0.05,0,0,2,0.09,1,0.05,5,0.23,4,0.18,3,0.14,3,0.14,0,0,1,0.05,4,0.17,2,0.09,1,0.05,0,0,5,0.23
愛知県,44,1.26,4,0.11,0,0,3,0.09,2,0.06,2,0.06,2,0.06,4,0.11,5,0.14,4,0.11,0,0,2,0.06,3,0.09,3,0.09,1,0.03,4,0.11,2,0.06,3,0.09
三重県,7,0.58,0,0,1,0.08,0,0,0,0,0,0,1,0.08,0,0,1,0.08,0,0,2,0.17,0,0,0,0,0,0,0,0,0,0,1,0.08,1,0.08
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,34,2,2,0.11,4,0.22,1,0.06,1,0.06,2,0.11,1,0.06,0,0,0,0,0,0,0,0,2,0.11,0,0,4,0.22,1,0.06,8,0.47,4,0.22,4,0.25
大阪府,125,2.45,5,0.1,5,0.1,7,0.13,5,0.1,10,0.19,10,0.19,8,0.15,2,0.04,3,0.06,6,0.12,9,0.18,7,0.14,6,0.12,7,0.14,7,0.14,17,0.33,11,0.21
兵庫県,141,4.03,2,0.06,14,0.4,3,0.09,16,0.46,7,0.2,6,0.17,10,0.29,9,0.26,9,0.26,4,0.11,9,0.26,4,0.11,7,0.2,11,0.31,5,0.14,13,0.37,12,0.34
奈良県,54,5.4,2,0.2,2,0.2,3,0.3,4,0.4,5,0.5,0,0,1,0.1,3,0.3,5,0.5,4,0.4,1,0.1,1,0.1,3,0.3,7,0.7,5,0.5,4,0.4,4,0.4
