報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年21週(05月22日～05月28日),2023年05月31日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週,21週,21週
佐賀県,21,0.91,0,0,1,0.04,1,0.04,1,0.04,0,0,0,0,1,0.04,1,0.04,0,0,3,0.13,0,0,1,0.04,1,0.04,2,0.09,2,0.09,1,0.04,1,0.04,0,0,1,0.04,3,0.13,1,0.04
長崎県,84,1.91,11,0.25,6,0.14,4,0.09,2,0.05,3,0.07,3,0.07,7,0.16,2,0.05,4,0.09,0,0,4,0.09,3,0.07,5,0.11,5,0.11,12,0.27,2,0.05,2,0.05,2,0.05,4,0.09,3,0.07,0,0
熊本県,76,1.55,3,0.06,6,0.12,3,0.06,3,0.06,2,0.04,7,0.14,4,0.08,2,0.04,1,0.02,4,0.08,4,0.08,4,0.08,2,0.04,2,0.04,1,0.02,6,0.13,3,0.06,2,0.04,7,0.14,3,0.06,7,0.14
大分県,119,3.31,2,0.06,2,0.06,3,0.08,0,0,4,0.11,3,0.08,2,0.06,1,0.03,5,0.14,2,0.06,4,0.11,12,0.33,8,0.22,6,0.17,4,0.11,4,0.11,13,0.36,7,0.19,12,0.33,6,0.17,19,0.53
宮崎県,79,2.26,3,0.08,3,0.08,3,0.09,3,0.08,1,0.03,4,0.11,1,0.03,5,0.14,3,0.08,4,0.11,2,0.06,2,0.06,14,0.39,7,0.19,5,0.14,6,0.17,3,0.09,3,0.08,0,0,4,0.11,3,0.08
鹿児島県,94,1.77,3,0.06,5,0.09,8,0.15,1,0.02,6,0.11,0,0,1,0.02,6,0.11,1,0.02,2,0.04,3,0.06,0,0,2,0.04,4,0.08,5,0.09,3,0.06,7,0.13,3,0.06,8,0.15,19,0.36,7,0.13
沖縄県,63,1.97,5,0.15,4,0.12,4,0.12,6,0.18,1,0.03,1,0.03,3,0.09,1,0.03,4,0.13,3,0.09,2,0.06,2,0.06,5,0.15,2,0.06,7,0.22,1,0.03,2,0.06,4,0.13,3,0.1,0,0,3,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手足口病,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週,21週,21週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,8351,2.66,322,0.1,286,0.09,331,0.1,322,0.1,293,0.09,266,0.08,242,0.08,207,0.07,206,0.07,216,0.07,224,0.07,234,0.07,277,0.09,296,0.09,417,0.13,635,0.2,583,0.19,492,0.16,576,0.18,793,0.25,1133,0.36
北海道,60,0.43,7,0.05,1,0.01,4,0.03,1,0.01,4,0.03,7,0.05,0,0,2,0.01,3,0.02,5,0.04,1,0.01,1,0.01,0,0,0,0,0,0,5,0.04,3,0.02,0,0,1,0.01,9,0.07,6,0.04
青森県,44,1.1,1,0.02,0,0,0,0,1,0.02,0,0,1,0.02,2,0.05,0,0,2,0.05,1,0.02,1,0.02,0,0,0,0,0,0,1,0.03,0,0,2,0.05,1,0.03,6,0.16,5,0.13,20,0.53
岩手県,25,0.64,2,0.05,2,0.05,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,2,0.05,2,0.05,1,0.03,3,0.08,2,0.05,2,0.05,0,0,0,0,0,0,0,0,6,0.15,2,0.05
宮城県,22,0.39,2,0.03,0,0,0,0,2,0.03,1,0.02,0,0,1,0.02,0,0,0,0,3,0.05,1,0.02,0,0,0,0,1,0.02,0,0,0,0,1,0.02,0,0,2,0.04,1,0.02,7,0.13
秋田県,9,0.27,0,0,0,0,0,0,1,0.03,1,0.03,1,0.03,3,0.09,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03,0,0
山形県,16,0.57,0,0,0,0,0,0,1,0.03,2,0.07,2,0.07,2,0.07,1,0.03,3,0.1,0,0,0,0,1,0.03,1,0.03,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.04
福島県,18,0.37,0,0,0,0,2,0.04,0,0,1,0.02,2,0.04,1,0.02,0,0,0,0,0,0,0,0,0,0,2,0.04,0,0,1,0.02,4,0.08,0,0,0,0,0,0,3,0.06,2,0.04
茨城県,244,3.25,1,0.01,0,0,0,0,0,0,1,0.01,0,0,1,0.01,0,0,7,0.09,3,0.04,3,0.04,5,0.07,5,0.07,4,0.05,5,0.07,17,0.23,24,0.31,24,0.32,28,0.37,39,0.52,77,1.03
栃木県,38,0.79,0,0,0,0,3,0.06,9,0.19,6,0.13,2,0.04,2,0.04,0,0,0,0,0,0,1,0.02,0,0,0,0,1,0.02,0,0,1,0.02,3,0.06,0,0,1,0.02,6,0.13,3,0.06
群馬県,51,0.96,2,0.04,3,0.06,1,0.02,1,0.02,0,0,0,0,1,0.02,0,0,2,0.04,1,0.02,1,0.02,0,0,1,0.02,1,0.02,1,0.02,2,0.04,7,0.13,4,0.08,7,0.13,8,0.15,8,0.15
埼玉県,361,2.26,4,0.03,6,0.04,3,0.02,8,0.05,9,0.06,13,0.08,14,0.09,6,0.04,3,0.02,5,0.03,4,0.03,7,0.04,3,0.02,11,0.07,15,0.09,24,0.15,21,0.13,27,0.17,46,0.28,56,0.34,76,0.47
千葉県,203,1.57,4,0.03,4,0.03,2,0.02,1,0.01,0,0,0,0,2,0.02,1,0.01,1,0.01,2,0.02,2,0.02,0,0,5,0.04,1,0.01,12,0.09,26,0.2,20,0.16,21,0.17,18,0.14,40,0.31,41,0.32
東京都,508,1.96,13,0.05,9,0.03,8,0.03,6,0.02,12,0.05,17,0.07,16,0.06,10,0.04,3,0.01,5,0.02,11,0.04,6,0.02,7,0.03,11,0.04,35,0.13,52,0.2,35,0.13,33,0.13,44,0.17,80,0.31,95,0.36
神奈川県,271,1.19,9,0.04,10,0.04,9,0.04,9,0.04,8,0.04,7,0.03,4,0.02,1,0,3,0.01,10,0.04,8,0.04,9,0.04,8,0.04,4,0.02,8,0.04,9,0.04,10,0.04,12,0.05,31,0.13,38,0.17,64,0.28
新潟県,73,1.33,1,0.02,2,0.04,1,0.02,6,0.11,9,0.16,5,0.09,4,0.07,2,0.04,0,0,0,0,1,0.02,1,0.02,0,0,0,0,2,0.04,0,0,2,0.04,1,0.02,3,0.06,11,0.2,22,0.41
富山県,47,1.62,2,0.07,2,0.07,0,0,1,0.03,0,0,2,0.07,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,3,0.1,0,0,2,0.07,8,0.28,9,0.31,16,0.55
石川県,158,5.45,12,0.41,8,0.28,4,0.14,9,0.31,4,0.14,3,0.1,5,0.17,6,0.21,2,0.07,1,0.03,8,0.28,4,0.14,5,0.17,7,0.24,3,0.1,7,0.24,21,0.72,6,0.21,15,0.52,17,0.59,11,0.38
福井県,224,9.74,4,0.17,14,0.61,9,0.39,11,0.48,19,0.83,7,0.3,12,0.52,10,0.43,10,0.43,10,0.43,4,0.17,1,0.04,5,0.22,10,0.43,8,0.35,19,0.83,18,0.78,20,0.8,12,0.48,11,0.44,10,0.4
山梨県,13,0.54,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,3,0.13,0,0,0,0,1,0.04,3,0.13,0,0,0,0,0,0,0,0,5,0.21,0,0
長野県,28,0.53,1,0.02,3,0.06,4,0.07,2,0.04,0,0,1,0.02,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,3,0.06,1,0.02,0,0,0,0,1,0.02,3,0.06,8,0.15
岐阜県,47,0.9,2,0.04,0,0,0,0,1,0.02,2,0.04,0,0,1,0.02,3,0.06,1,0.02,2,0.04,2,0.04,4,0.08,4,0.08,2,0.04,5,0.09,5,0.09,4,0.08,2,0.04,2,0.04,4,0.08,1,0.02
静岡県,177,2.01,4,0.04,0,0,2,0.02,2,0.02,0,0,2,0.02,1,0.01,1,0.01,1,0.01,2,0.02,2,0.02,3,0.03,8,0.09,7,0.08,11,0.13,11,0.13,8,0.09,13,0.15,26,0.29,35,0.39,38,0.43
愛知県,192,1.05,12,0.07,6,0.03,5,0.03,2,0.01,3,0.02,1,0.01,3,0.02,3,0.02,3,0.02,1,0.01,3,0.02,4,0.02,8,0.04,7,0.04,15,0.08,10,0.05,18,0.1,13,0.07,20,0.11,22,0.12,33,0.18
三重県,27,0.61,1,0.02,1,0.02,0,0,0,0,1,0.02,0,0,1,0.02,2,0.04,3,0.07,1,0.02,1,0.02,1,0.02,2,0.04,0,0,2,0.04,0,0,0,0,3,0.07,2,0.04,1,0.02,5,0.11
滋賀県,40,1.14,1,0.03,2,0.06,4,0.11,3,0.08,5,0.14,0,0,0,0,1,0.03,1,0.03,0,0,2,0.06,0,0,0,0,2,0.06,0,0,1,0.03,1,0.03,0,0,6,0.17,3,0.08,8,0.22
京都府,143,1.91,11,0.14,14,0.18,22,0.29,3,0.04,6,0.08,7,0.09,7,0.09,3,0.04,2,0.03,1,0.01,5,0.07,5,0.07,1,0.01,3,0.04,2,0.03,6,0.08,4,0.05,8,0.11,6,0.08,15,0.19,12,0.16
大阪府,439,2.27,30,0.15,10,0.05,26,0.13,19,0.1,13,0.07,18,0.09,13,0.07,8,0.04,7,0.04,4,0.02,12,0.06,15,0.08,7,0.04,6,0.03,21,0.11,31,0.16,29,0.15,33,0.17,28,0.15,38,0.2,71,0.37
兵庫県,512,4,30,0.23,23,0.18,27,0.21,32,0.25,31,0.24,18,0.14,23,0.18,16,0.12,9,0.07,9,0.07,6,0.05,11,0.09,5,0.04,12,0.09,15,0.12,23,0.18,30,0.23,24,0.19,34,0.26,58,0.45,76,0.59
奈良県,139,4.09,10,0.29,12,0.35,13,0.38,4,0.12,2,0.06,12,0.35,3,0.09,1,0.03,3,0.09,3,0.09,2,0.06,1,0.03,0,0,2,0.06,5,0.15,10,0.29,17,0.5,7,0.21,7,0.21,13,0.38,12,0.35
和歌山県,38,1.27,9,0.3,4,0.13,4,0.13,3,0.1,2,0.07,2,0.07,2,0.07,0,0,0,0,0,0,1,0.03,0,0,2,0.07,2,0.07,0,0,0,0,1,0.03,1,0.03,1,0.03,2,0.07,2,0.07
鳥取県,30,1.58,1,0.05,1,0.05,5,0.26,0,0,0,0,0,0,0,0,1,0.05,1,0.05,0,0,0,0,0,0,0,0,1,0.05,4,0.21,2,0.11,2,0.11,5,0.26,1,0.05,3,0.16,3,0.16
島根県,103,4.48,4,0.17,8,0.35,8,0.35,15,0.65,10,0.43,5,0.22,2,0.09,3,0.13,1,0.04,8,0.35,0,0,4,0.17,0,0,0,0,1,0.04,2,0.09,3,0.13,4,0.17,4,0.17,8,0.35,13,0.57
岡山県,247,4.57,8,0.15,3,0.06,7,0.13,6,0.11,3,0.06,5,0.09,4,0.07,7,0.13,7,0.13,4,0.07,7,0.13,2,0.04,6,0.11,12,0.22,7,0.13,28,0.52,21,0.39,18,0.33,21,0.39,36,0.67,35,0.65
広島県,63,0.89,7,0.1,3,0.04,3,0.04,2,0.03,3,0.04,1,0.01,0,0,1,0.01,1,0.01,5,0.07,0,0,0,0,0,0,3,0.04,1,0.01,3,0.04,1,0.01,3,0.04,1,0.01,9,0.13,16,0.23
山口県,61,1.39,4,0.09,0,0,3,0.07,5,0.11,2,0.04,4,0.09,3,0.07,2,0.04,0,0,0,0,0,0,1,0.02,1,0.02,1,0.02,3,0.07,0,0,2,0.05,1,0.02,7,0.16,7,0.16,15,0.35
徳島県,52,2.26,5,0.22,6,0.26,3,0.13,11,0.48,9,0.39,3,0.13,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.17,10,0.43
香川県,23,0.82,3,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,1,0.04,0,0,1,0.04,3,0.11,1,0.04,0,0,4,0.14,9,0.32
愛媛県,44,1.22,10,0.27,8,0.22,4,0.11,1,0.03,1,0.03,0,0,0,0,1,0.03,0,0,0,0,1,0.03,1,0.03,1,0.03,2,0.05,3,0.08,1,0.03,0,0,1,0.03,1,0.03,2,0.05,6,0.16
高知県,110,4.23,8,0.3,6,0.22,8,0.3,5,0.19,6,0.22,5,0.19,7,0.26,6,0.22,2,0.07,7,0.26,6,0.22,5,0.19,9,0.33,7,0.26,4,0.15,5,0.19,3,0.11,4,0.15,4,0.15,1,0.04,2,0.08
福岡県,601,5.01,37,0.31,33,0.28,33,0.28,37,0.31,38,0.32,18,0.15,18,0.15,19,0.16,17,0.14,27,0.23,8,0.07,8,0.07,17,0.14,11,0.09,20,0.17,39,0.33,31,0.26,39,0.33,28,0.23,34,0.28,89,0.74
佐賀県,96,4.17,5,0.22,12,0.52,19,0.83,6,0.26,4,0.17,1,0.04,3,0.13,2,0.09,13,0.57,2,0.09,2,0.09,5,0.22,5,0.22,1,0.04,2,0.09,4,0.17,2,0.09,1,0.04,2,0.09,0,0,5,0.22
長崎県,237,5.39,6,0.14,14,0.32,12,0.27,15,0.34,17,0.39,17,0.39,4,0.09,2,0.05,0,0,7,0.16,5,0.11,0,0,9,0.2,16,0.36,11,0.25,23,0.52,14,0.32,11,0.25,17,0.39,13,0.3,24,0.55
熊本県,156,3.18,15,0.3,12,0.24,15,0.3,10,0.2,9,0.18,6,0.12,4,0.08,5,0.1,1,0.02,2,0.04,1,0.02,2,0.04,2,0.04,2,0.04,3,0.06,10,0.21,11,0.22,4,0.08,14,0.28,14,0.28,14,0.28
大分県,73,2.03,6,0.17,0,0,2,0.06,1,0.03,1,0.03,0,0,0,0,1,0.03,1,0.03,0,0,2,0.06,2,0.06,2,0.06,1,0.03,1,0.03,3,0.08,3,0.08,8,0.22,7,0.19,9,0.25,23,0.64
宮崎県,209,5.97,0,0,7,0.19,8,0.23,7,0.19,2,0.06,2,0.06,1,0.03,0,0,0,0,0,0,3,0.08,0,0,4,0.11,1,0.03,12,0.33,10,0.28,18,0.51,29,0.81,22,0.61,32,0.89,51,1.42
鹿児島県,321,6.06,16,0.3,14,0.26,19,0.35,30,0.56,12,0.22,15,0.28,9,0.17,4,0.07,6,0.11,2,0.04,4,0.07,4,0.07,8,0.15,6,0.11,11,0.21,45,0.85,28,0.53,10,0.19,11,0.21,22,0.42,45,0.85
沖縄県,1758,54.94,12,0.36,23,0.7,28,0.85,33,1,34,1.03,54,1.69,61,1.91,75,2.34,86,2.69,81,2.53,97,3.03,119,3.72,130,3.94,133,4.03,159,4.97,192,6,162,5.06,98,3.16,80,2.58,55,1.77,46,1.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週,21週,21週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,669,0.21,21,0.01,21,0.01,16,0.01,26,0.01,21,0.01,22,0.01,46,0.01,30,0.01,21,0.01,37,0.01,28,0.01,27,0.01,24,0.01,31,0.01,43,0.01,38,0.01,34,0.01,35,0.01,62,0.02,45,0.01,41,0.01
北海道,16,0.12,0,0,0,0,1,0.01,0,0,0,0,0,0,1,0.01,0,0,0,0,1,0.01,0,0,0,0,0,0,2,0.01,0,0,2,0.01,1,0.01,0,0,4,0.03,0,0,4,0.03
青森県,7,0.18,1,0.02,0,0,0,0,0,0,0,0,0,0,2,0.05,0,0,0,0,3,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0
岩手県,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0
宮城県,21,0.38,2,0.03,2,0.03,1,0.02,0,0,0,0,1,0.02,0,0,1,0.02,0,0,1,0.02,2,0.03,0,0,0,0,0,0,1,0.02,1,0.02,2,0.04,4,0.07,3,0.06,0,0,0,0
秋田県,8,0.24,0,0,0,0,2,0.06,0,0,0,0,1,0.03,1,0.03,2,0.06,0,0,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,3,0.11,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,17,0.35,1,0.02,2,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,1,0.02,0,0,2,0.04,1,0.02,2,0.04,3,0.06,0,0,0,0,3,0.06,1,0.02,0,0
茨城県,12,0.16,0,0,0,0,0,0,0,0,0,0,1,0.01,1,0.01,0,0,0,0,1,0.01,1,0.01,2,0.03,0,0,1,0.01,0,0,0,0,0,0,1,0.01,1,0.01,3,0.04,0,0
栃木県,6,0.13,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,2,0.04,0,0,2,0.04,0,0
群馬県,18,0.34,0,0,2,0.04,0,0,0,0,2,0.04,1,0.02,0,0,4,0.08,0,0,0,0,2,0.04,1,0.02,0,0,1,0.02,0,0,2,0.04,3,0.06,0,0,0,0,0,0,0,0
埼玉県,51,0.32,2,0.01,1,0.01,3,0.02,2,0.01,0,0,1,0.01,5,0.03,1,0.01,1,0.01,5,0.03,0,0,1,0.01,4,0.03,4,0.02,2,0.01,1,0.01,3,0.02,1,0.01,3,0.02,5,0.03,6,0.04
千葉県,25,0.19,0,0,1,0.01,0,0,1,0.01,0,0,1,0.01,1,0.01,3,0.02,0,0,1,0.01,2,0.02,2,0.02,0,0,0,0,3,0.02,3,0.02,1,0.01,1,0.01,3,0.02,0,0,2,0.02
東京都,95,0.37,0,0,4,0.02,1,0,1,0,2,0.01,1,0,5,0.02,2,0.01,4,0.02,4,0.02,2,0.01,3,0.01,2,0.01,4,0.02,19,0.07,4,0.02,6,0.02,7,0.03,8,0.03,9,0.03,7,0.03
神奈川県,57,0.25,1,0,0,0,1,0,5,0.02,3,0.01,1,0,3,0.01,1,0,3,0.01,4,0.02,2,0.01,5,0.02,2,0.01,3,0.01,1,0,1,0,4,0.02,1,0,6,0.03,4,0.02,6,0.03
新潟県,9,0.16,0,0,0,0,0,0,2,0.04,0,0,0,0,1,0.02,0,0,1,0.02,0,0,0,0,2,0.04,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,1,0.02
富山県,3,0.1,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,2,0.07,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0
福井県,6,0.26,0,0,0,0,1,0.04,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,1,0.04,1,0.04
山梨県,2,0.08,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0
長野県,7,0.13,1,0.02,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0,0,0,1,0.02,0,0,0,0,1,0.02,0,0,0,0,1,0.02,1,0.02
岐阜県,6,0.12,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,3,0.06,0,0
静岡県,25,0.28,1,0.01,1,0.01,1,0.01,2,0.02,0,0,1,0.01,0,0,0,0,1,0.01,1,0.01,0,0,1,0.01,3,0.03,1,0.01,2,0.02,2,0.02,0,0,0,0,4,0.04,3,0.03,1,0.01
愛知県,29,0.16,2,0.01,0,0,1,0.01,0,0,1,0.01,1,0.01,3,0.02,0,0,2,0.01,4,0.02,1,0.01,1,0.01,0,0,1,0.01,0,0,1,0.01,0,0,3,0.02,5,0.03,0,0,3,0.02
三重県,9,0.2,1,0.02,0,0,0,0,1,0.02,1,0.02,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.04,3,0.07,0,0,0,0
滋賀県,5,0.14,0,0,0,0,0,0,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03
京都府,15,0.2,0,0,0,0,0,0,1,0.01,1,0.01,5,0.07,1,0.01,1,0.01,1,0.01,1,0.01,2,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,1,0.01,0,0,0,0
大阪府,44,0.23,2,0.01,0,0,1,0.01,1,0.01,2,0.01,1,0.01,2,0.01,2,0.01,2,0.01,4,0.02,2,0.01,0,0,3,0.02,4,0.02,0,0,4,0.02,2,0.01,3,0.02,6,0.03,1,0.01,2,0.01
兵庫県,28,0.22,1,0.01,1,0.01,2,0.02,2,0.02,0,0,0,0,4,0.03,1,0.01,0,0,0,0,1,0.01,2,0.02,1,0.01,0,0,4,0.03,2,0.02,1,0.01,0,0,4,0.03,1,0.01,1,0.01
奈良県,7,0.21,0,0,0,0,0,0,0,0,2,0.06,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.06,0,0,1,0.03
和歌山県,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0
鳥取県,5,0.26,1,0.05,0,0,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0,0,0,1,0.05,0,0,0,0,1,0.05,0,0,0,0
島根県,3,0.13,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,11,0.2,0,0,0,0,0,0,2,0.04,0,0,0,0,1,0.02,0,0,1,0.02,0,0,1,0.02,1,0.02,0,0,1,0.02,0,0,2,0.04,0,0,0,0,1,0.02,0,0,1,0.02
広島県,9,0.13,0,0,0,0,0,0,1,0.01,0,0,0,0,1,0.01,0,0,0,0,1,0.01,1,0.01,0,0,0,0,1,0.01,0,0,0,0,3,0.04,0,0,0,0,1,0.01,0,0
山口県,10,0.23,1,0.02,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,1,0.02,0,0,2,0.04,0,0,0,0,0,0,0,0,1,0.02,1,0.02,1,0.02,1,0.02,1,0.02,0,0
徳島県,3,0.13,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,11,0.42,0,0,0,0,0,0,2,0.07,2,0.07,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,2,0.07,0,0,0,0,1,0.04,1,0.04,0,0,2,0.08,0,0
福岡県,19,0.16,0,0,1,0.01,0,0,0,0,1,0.01,0,0,1,0.01,4,0.03,1,0.01,1,0.01,0,0,0,0,0,0,2,0.02,3,0.03,0,0,1,0.01,2,0.02,1,0.01,0,0,1,0.01
佐賀県,4,0.17,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0
長崎県,9,0.2,1,0.02,1,0.02,0,0,0,0,1,0.02,0,0,2,0.05,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,3,0.07,0,0,0,0,0,0,0,0,0,0
熊本県,2,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.04,0,0,0,0,0,0
大分県,11,0.31,1,0.03,0,0,0,0,1,0.03,0,0,0,0,2,0.06,4,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,2,0.06,0,0
宮崎県,7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,3,0.08,0,0,0,0,0,0,0,0,0,0,1,0.03
鹿児島県,20,0.38,1,0.02,2,0.04,0,0,2,0.04,0,0,1,0.02,1,0.02,1,0.02,0,0,2,0.04,1,0.02,1,0.02,0,0,0,0,0,0,2,0.04,3,0.06,1,0.02,0,0,1,0.02,1,0.02
沖縄県,7,0.22,0,0,0,0,0,0,0,0,0,0,2,0.06,1,0.03,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発しん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週,21週,21週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,16505,5.25,564,0.18,732,0.23,751,0.24,695,0.22,697,0.22,678,0.22,686,0.22,613,0.19,652,0.21,646,0.21,723,0.23,634,0.2,758,0.24,757,0.24,807,0.26,1015,0.32,1045,0.33,789,0.25,1144,0.36,1025,0.33,1094,0.35
