報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,
2025年04週(01月20日～01月26日),2025年01月29日作成,,,,,,,,,
インフルエンザ,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週
奈良県,0,0,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0,0,0
広島県,0,0,0,0,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0
福岡県,0,0,0,0,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0,0,0,0,0
長崎県,0,0,0,0,0,0,0,0,0,0
熊本県,0,0,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
感染性胃腸炎（ロタウイルス）,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,42,0.09,12,0.03,4,0.01,11,0.02,15,0.03
北海道,2,0.09,0,0,0,0,2,0.09,0,0
青森県,0,0,0,0,0,0,0,0,0,0
岩手県,2,0.11,0,0,0,0,0,0,2,0.11
宮城県,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0
福島県,1,0.14,0,0,0,0,0,0,1,0.14
茨城県,1,0.08,0,0,0,0,0,0,1,0.08
栃木県,0,0,0,0,0,0,0,0,0,0
群馬県,1,0.11,1,0.11,0,0,0,0,0,0
埼玉県,2,0.17,1,0.08,0,0,1,0.08,0,0
千葉県,1,0.11,0,0,0,0,1,0.11,0,0
東京都,1,0.04,1,0.04,0,0,0,0,0,0
神奈川県,2,0.17,0,0,0,0,1,0.08,1,0.08
新潟県,0,0,0,0,0,0,0,0,0,0
富山県,2,0.4,0,0,0,0,1,0.2,1,0.2
石川県,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0
愛知県,0,0,0,0,0,0,0,0,0,0
三重県,1,0.11,1,0.11,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0
大阪府,5,0.28,2,0.11,1,0.06,1,0.06,1,0.06
兵庫県,4,0.29,0,0,3,0.21,1,0.07,0,0
奈良県,1,0.17,0,0,0,0,0,0,1,0.17
和歌山県,2,0.18,0,0,0,0,0,0,2,0.18
鳥取県,1,0.2,0,0,0,0,0,0,1,0.2
島根県,0,0,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0,0,0
広島県,1,0.05,0,0,0,0,1,0.05,0,0
山口県,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0
愛媛県,4,0.67,1,0.17,0,0,1,0.17,2,0.33
高知県,1,0.13,1,0.13,0,0,0,0,0,0
福岡県,1,0.07,0,0,0,0,1,0.07,0,0
佐賀県,0,0,0,0,0,0,0,0,0,0
長崎県,5,0.42,4,0.33,0,0,0,0,1,0.08
熊本県,0,0,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0,0,0
宮崎県,1,0.14,0,0,0,0,0,0,1,0.14
鹿児島県,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
COVID-19,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,115020,24.21,22369,5.33,34953,7.08,27778,5.63,29920,6.06
北海道,7440,34.93,2178,11.65,2338,10.53,1470,6.62,1454,6.55
青森県,1747,31.76,443,9.43,499,8.6,369,6.36,436,7.52
岩手県,2613,42.15,747,12.05,795,12.82,583,9.4,488,7.87
宮城県,3114,34.22,401,4.41,1091,11.99,782,8.59,840,9.23
秋田県,1126,25.59,106,5.05,441,8.48,316,6.08,263,5.06
山形県,957,25.18,119,4.58,313,7.45,249,5.93,276,6.57
福島県,3581,43.67,1091,13.3,941,11.48,769,9.38,780,9.51
茨城県,4667,40.58,1222,12.22,1370,11.42,1023,8.53,1052,8.77
栃木県,2473,35.84,387,7.59,819,10.78,620,8.16,647,8.51
群馬県,2248,29.19,378,6.87,794,9.34,495,5.82,581,6.84
埼玉県,6237,27.24,901,6.67,2049,7.85,1639,6.28,1648,6.31
千葉県,5048,25.89,726,4.22,1591,7.84,1291,6.33,1440,7.06
東京都,4663,11.87,428,1.34,1561,3.73,1210,2.89,1464,3.5
神奈川県,5458,16.39,424,1.77,1806,4.98,1446,3.97,1782,4.87
新潟県,2267,26.36,375,4.31,799,9.29,531,6.17,562,6.53
富山県,1138,24.21,131,2.91,404,8.42,277,5.77,326,6.79
石川県,1153,24.02,175,3.65,334,6.96,339,7.06,305,6.35
福井県,700,17.95,128,3.28,200,5.13,171,4.38,201,5.15
山梨県,1131,27.59,142,3.46,438,10.68,255,6.22,296,7.22
長野県,3201,39.04,703,10.82,950,10.8,758,8.61,790,8.98
岐阜県,3331,38.29,1210,13.91,825,9.48,627,7.21,669,7.69
静岡県,4178,30.06,765,5.5,1250,8.99,1080,7.77,1083,7.79
愛知県,6729,34.69,1868,9.58,1786,9.16,1560,8.04,1515,7.81
三重県,1701,25.39,287,5.31,538,7.47,414,5.75,462,6.42
滋賀県,1345,24.45,347,8.46,406,6.77,296,4.93,296,4.93
京都府,2074,17,407,3.48,620,5,476,3.84,571,4.64
大阪府,4030,13.39,728,2.41,1154,3.82,994,3.3,1154,3.83
兵庫県,3399,17.8,499,2.94,1058,5.34,866,4.37,976,4.93
奈良県,1012,22,76,3.8,359,6.53,250,4.55,327,5.95
和歌山県,910,19.36,154,3.42,254,5.29,239,4.98,263,5.48
鳥取県,859,29.62,237,8.17,173,5.97,198,6.83,251,8.66
島根県,725,19.08,188,4.95,170,4.47,159,4.18,208,5.47
岡山県,2045,24.35,464,5.52,631,7.51,467,5.56,483,5.75
広島県,2557,23.25,547,6.15,687,5.87,644,5.5,679,5.8
山口県,1389,20.73,154,2.3,433,6.46,352,5.25,450,6.72
徳島県,1371,37.05,242,6.54,426,11.51,348,9.41,355,9.59
香川県,1305,27.77,323,6.87,358,7.62,344,7.32,280,5.96
愛媛県,1432,25.57,162,3.68,462,7.7,399,6.65,409,6.82
高知県,1617,36.75,402,9.14,458,10.41,404,9.18,353,8.02
福岡県,3072,15.59,549,2.79,748,3.8,735,3.73,1040,5.28
佐賀県,813,21.39,162,4.5,251,6.44,198,5.08,202,5.18
長崎県,2014,28.77,351,5.01,589,8.41,515,7.36,559,7.99
熊本県,1624,20.56,229,2.9,493,6.24,441,5.58,461,5.84
大分県,1304,22.48,264,4.55,344,5.93,326,5.62,370,6.38
宮崎県,1299,23.2,178,3.42,409,7.05,340,5.86,372,6.41
鹿児島県,1513,17,245,2.75,449,5.04,391,4.39,428,4.81
沖縄県,410,7.32,126,2.25,89,1.59,122,2.18,73,1.3
