報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,
2024年08週(02月19日～02月25日),2024年02月28日作成,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
新潟県,6,0.11,1,0.02,1,0.02,1,0.02,1,0.02,1,0.02,0,0,0,0,1,0.02
富山県,29,1,5,0.17,5,0.17,5,0.17,4,0.14,2,0.07,2,0.07,2,0.07,4,0.14
石川県,3,0.11,1,0.04,0,0,1,0.04,0,0,0,0,1,0.04,0,0,0,0
福井県,3,0.12,1,0.04,0,0,0,0,2,0.08,0,0,0,0,0,0,0,0
山梨県,1,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,6,0.11,1,0.02,0,0,4,0.07,0,0,0,0,1,0.02,0,0,0,0
岐阜県,9,0.17,0,0,1,0.02,2,0.04,0,0,1,0.02,0,0,3,0.06,2,0.04
静岡県,6,0.07,2,0.02,1,0.01,1,0.01,0,0,0,0,1,0.01,1,0.01,0,0
愛知県,8,0.04,1,0.01,0,0,2,0.01,2,0.01,1,0.01,1,0.01,0,0,1,0.01
三重県,9,0.2,1,0.02,0,0,0,0,1,0.02,4,0.09,0,0,1,0.02,2,0.04
滋賀県,7,0.2,0,0,1,0.03,0,0,1,0.03,3,0.08,1,0.03,1,0.03,0,0
京都府,14,0.19,0,0,0,0,3,0.04,4,0.05,1,0.01,3,0.04,0,0,3,0.04
大阪府,94,0.48,15,0.08,3,0.02,9,0.05,15,0.08,10,0.05,11,0.06,14,0.07,17,0.09
兵庫県,34,0.27,5,0.04,2,0.02,6,0.05,4,0.03,10,0.08,1,0.01,3,0.02,3,0.02
奈良県,9,0.27,0,0,6,0.18,1,0.03,1,0.03,0,0,1,0.03,0,0,0,0
和歌山県,5,0.17,0,0,2,0.07,0,0,2,0.07,0,0,0,0,0,0,1,0.03
鳥取県,1,0.05,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0
島根県,1,0.04,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,4,0.07,1,0.02,0,0,0,0,0,0,1,0.02,0,0,2,0.04,0,0
広島県,9,0.13,0,0,1,0.01,2,0.03,2,0.03,1,0.01,1,0.01,0,0,2,0.03
山口県,3,0.07,0,0,1,0.02,1,0.02,0,0,1,0.02,0,0,0,0,0,0
徳島県,6,0.26,2,0.09,1,0.04,0,0,0,0,0,0,0,0,0,0,3,0.13
香川県,15,0.54,0,0,2,0.07,3,0.11,2,0.07,3,0.11,1,0.04,1,0.04,3,0.11
愛媛県,43,1.19,2,0.06,6,0.16,6,0.16,6,0.16,11,0.3,4,0.11,3,0.08,5,0.14
高知県,19,0.73,0,0,1,0.04,4,0.15,3,0.12,4,0.15,0,0,2,0.08,5,0.19
福岡県,19,0.16,1,0.01,3,0.03,3,0.03,4,0.03,4,0.03,3,0.03,0,0,1,0.01
佐賀県,2,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.09
長崎県,7,0.16,0,0,1,0.02,0,0,2,0.05,0,0,3,0.07,0,0,1,0.02
熊本県,26,0.52,3,0.06,3,0.06,7,0.14,7,0.14,1,0.02,1,0.02,4,0.08,0,0
大分県,19,0.53,3,0.08,0,0,0,0,3,0.08,3,0.08,3,0.08,2,0.06,5,0.14
宮崎県,4,0.11,1,0.03,1,0.03,0,0,1,0.03,0,0,0,0,1,0.03,0,0
鹿児島県,41,0.8,5,0.1,8,0.16,3,0.06,5,0.1,3,0.06,6,0.12,2,0.04,9,0.18
沖縄県,8,0.26,2,0.06,0,0,1,0.03,1,0.03,0,0,2,0.06,0,0,2,0.06
,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,663,0.21,43,0.01,83,0.03,100,0.03,96,0.03,91,0.03,72,0.02,90,0.03,88,0.03
北海道,19,0.14,0,0,2,0.01,2,0.01,3,0.02,4,0.03,3,0.02,4,0.03,1,0.01
青森県,5,0.14,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,1,0.03,1,0.03
岩手県,16,0.42,0,0,2,0.05,6,0.15,0,0,2,0.05,2,0.05,3,0.08,1,0.03
宮城県,13,0.24,1,0.02,2,0.04,1,0.02,0,0,2,0.04,3,0.05,3,0.05,1,0.02
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,4,0.14,0,0,0,0,0,0,2,0.07,0,0,1,0.04,1,0.04,0,0
福島県,4,0.08,0,0,1,0.02,1,0.02,1,0.02,0,0,0,0,1,0.02,0,0
茨城県,13,0.17,1,0.01,0,0,2,0.03,1,0.01,0,0,2,0.03,5,0.07,2,0.03
栃木県,10,0.21,2,0.04,0,0,0,0,0,0,2,0.04,2,0.04,2,0.04,2,0.04
群馬県,16,0.3,0,0,3,0.06,3,0.06,5,0.09,2,0.04,0,0,1,0.02,2,0.04
埼玉県,66,0.4,7,0.04,7,0.04,10,0.06,12,0.07,8,0.05,6,0.04,6,0.04,10,0.06
千葉県,34,0.27,5,0.04,4,0.03,2,0.02,7,0.06,4,0.03,2,0.02,3,0.02,7,0.06
東京都,85,0.33,0,0,16,0.06,15,0.06,10,0.04,13,0.05,13,0.05,10,0.04,8,0.03
神奈川県,48,0.21,0,0,5,0.02,9,0.04,11,0.05,9,0.04,2,0.01,8,0.03,4,0.02
新潟県,11,0.2,1,0.02,1,0.02,2,0.04,1,0.02,0,0,0,0,2,0.04,4,0.07
富山県,5,0.17,1,0.03,1,0.03,0,0,0,0,0,0,0,0,2,0.07,1,0.03
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,1,0.04,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0
山梨県,4,0.17,0,0,0,0,0,0,0,0,0,0,0,0,3,0.13,1,0.04
長野県,4,0.07,0,0,1,0.02,0,0,0,0,0,0,1,0.02,2,0.04,0,0
岐阜県,6,0.11,1,0.02,1,0.02,3,0.06,0,0,0,0,0,0,0,0,1,0.02
静岡県,33,0.37,2,0.02,2,0.02,1,0.01,3,0.03,6,0.07,8,0.09,4,0.04,7,0.08
愛知県,26,0.14,3,0.02,2,0.01,4,0.02,7,0.04,2,0.01,5,0.03,1,0.01,2,0.01
三重県,5,0.11,0,0,0,0,1,0.02,0,0,0,0,1,0.02,0,0,3,0.07
滋賀県,3,0.09,1,0.03,0,0,1,0.03,0,0,1,0.03,0,0,0,0,0,0
京都府,15,0.2,1,0.01,3,0.04,2,0.03,1,0.01,3,0.04,0,0,4,0.05,1,0.01
大阪府,35,0.18,4,0.02,3,0.02,5,0.03,6,0.03,5,0.03,3,0.02,6,0.03,3,0.02
兵庫県,29,0.23,1,0.01,5,0.04,5,0.04,2,0.02,5,0.04,2,0.02,5,0.04,4,0.03
奈良県,4,0.12,0,0,0,0,0,0,1,0.03,2,0.06,0,0,0,0,1,0.03
和歌山県,6,0.2,0,0,1,0.03,0,0,1,0.03,2,0.07,1,0.03,0,0,1,0.03
鳥取県,3,0.16,0,0,0,0,0,0,1,0.05,0,0,0,0,1,0.05,1,0.05
島根県,3,0.13,0,0,1,0.04,0,0,1,0.04,0,0,0,0,0,0,1,0.04
岡山県,11,0.2,2,0.04,1,0.02,3,0.06,1,0.02,0,0,1,0.02,1,0.02,2,0.04
広島県,7,0.1,1,0.01,1,0.01,0,0,2,0.03,1,0.01,1,0.01,0,0,1,0.01
山口県,1,0.02,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0
徳島県,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0
香川県,6,0.21,0,0,0,0,2,0.07,1,0.04,2,0.07,1,0.04,0,0,0,0
愛媛県,11,0.31,0,0,1,0.03,2,0.05,2,0.05,2,0.05,1,0.03,1,0.03,2,0.05
高知県,2,0.08,0,0,0,0,0,0,1,0.04,0,0,0,0,1,0.04,0,0
福岡県,20,0.17,4,0.03,4,0.03,1,0.01,0,0,4,0.03,1,0.01,4,0.03,2,0.02
佐賀県,5,0.22,0,0,0,0,1,0.04,1,0.04,2,0.09,1,0.04,0,0,0,0
長崎県,5,0.12,0,0,0,0,0,0,1,0.02,1,0.02,0,0,0,0,3,0.07
熊本県,14,0.28,1,0.02,1,0.02,2,0.04,2,0.04,2,0.04,5,0.1,0,0,1,0.02
大分県,8,0.22,0,0,3,0.08,2,0.06,0,0,0,0,0,0,2,0.06,1,0.03
宮崎県,9,0.25,0,0,2,0.06,1,0.03,2,0.06,0,0,2,0.06,0,0,2,0.06
鹿児島県,17,0.33,3,0.06,0,0,7,0.14,4,0.08,0,0,1,0.02,2,0.04,0,0
沖縄県,20,0.65,1,0.03,6,0.19,3,0.1,1,0.03,3,0.1,1,0.03,1,0.03,4,0.13
,,,,,,,,,,,,,,,,,,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,53,0.08,10,0.01,11,0.02,5,0.01,6,0.01,5,0.01,7,0.01,5,0.01,4,0.01
北海道,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,1,0.17,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,2,0.15,0,0,0,0,1,0.08,0,0,0,0,0,0,1,0.08,0,0
茨城県,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.06
栃木県,1,0.08,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,1,0.07,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,7,0.17,0,0,1,0.02,0,0,1,0.02,1,0.02,1,0.02,2,0.05,1,0.02
千葉県,2,0.06,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0
東京都,2,0.05,0,0,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0
神奈川県,3,0.06,1,0.02,0,0,1,0.02,0,0,0,0,0,0,0,0,1,0.02
新潟県,6,0.6,0,0,1,0.1,1,0.1,1,0.1,1,0.1,2,0.2,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,3,0.3,0,0,1,0.1,0,0,0,0,0,0,2,0.2,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,1,0.06,0,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,5,0.1,2,0.04,0,0,1,0.02,1,0.02,1,0.02,0,0,0,0,0,0
兵庫県,3,0.09,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,0,0,0,0
奈良県,1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,1,0.08,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広島県,1,0.05,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,8,1,1,0.13,3,0.38,1,0.13,0,0,1,0.13,1,0.13,1,0.13,0,0
熊本県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大分県,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,1,0.14,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,3306,4.77,495,0.72,619,0.89,446,0.64,408,0.59,368,0.53,351,0.51,326,0.47,293,0.42
北海道,58,2,7,0.24,16,0.55,8,0.28,6,0.21,6,0.21,2,0.07,7,0.24,6,0.21
青森県,36,3.6,5,0.5,9,0.9,3,0.3,6,0.6,3,0.3,5,0.5,2,0.2,3,0.3
岩手県,41,2.93,5,0.36,7,0.5,7,0.5,6,0.43,6,0.43,5,0.36,3,0.21,2,0.14
宮城県,14,1.17,3,0.25,2,0.17,0,0,0,0,2,0.17,2,0.17,3,0.25,2,0.17
秋田県,15,2.5,5,0.71,2,0.29,2,0.29,0,0,0,0,1,0.14,2,0.29,3,0.43
山形県,14,1.75,1,0.13,3,0.38,2,0.25,4,0.5,2,0.25,0,0,0,0,2,0.25
福島県,77,5.92,9,0.69,9,0.69,6,0.46,12,0.92,9,0.69,12,0.92,10,0.77,10,0.77
茨城県,134,7.88,26,1.53,20,1.18,20,1.18,15,0.88,13,0.76,15,0.88,14,0.82,11,0.65
栃木県,67,5.58,10,0.83,16,1.33,12,1,11,0.92,2,0.17,6,0.5,3,0.25,7,0.58
群馬県,50,3.57,9,0.64,7,0.5,3,0.21,8,0.57,7,0.5,6,0.43,4,0.29,6,0.43
埼玉県,149,3.63,25,0.61,26,0.63,26,0.63,19,0.46,13,0.31,13,0.31,16,0.38,11,0.26
千葉県,153,4.5,21,0.62,30,0.91,25,0.76,25,0.74,11,0.31,14,0.4,17,0.49,10,0.29
東京都,123,3.15,13,0.33,24,0.62,18,0.46,15,0.38,11,0.28,16,0.41,19,0.49,7,0.18
神奈川県,406,8.29,56,1.19,69,1.38,55,1.1,48,0.94,54,1.04,49,0.98,36,0.75,39,0.78
新潟県,22,2.2,1,0.1,3,0.3,4,0.4,1,0.1,6,0.6,0,0,2,0.2,5,0.5
富山県,18,2.57,4,0.57,1,0.14,2,0.29,4,0.57,1,0.14,2,0.29,2,0.29,2,0.29
石川県,152,25.33,36,6,21,3,10,1.43,17,2.43,21,3,18,2.57,20,2.86,9,1.29
福井県,14,4.67,0,0,0,0,4,1.33,5,1.67,1,0.33,1,0.33,1,0.33,2,0.67
山梨県,36,4,2,0.22,10,1.11,6,0.67,4,0.44,3,0.33,1,0.11,4,0.44,6,0.67
長野県,232,23.2,33,3.3,34,3.4,28,2.8,29,2.9,27,2.7,28,2.8,35,3.5,18,1.8
岐阜県,17,1.55,2,0.18,5,0.45,3,0.27,1,0.09,4,0.36,1,0.09,1,0.09,0,0
静岡県,69,3.14,8,0.36,21,0.95,13,0.59,10,0.45,2,0.09,9,0.41,2,0.09,4,0.18
愛知県,103,2.94,19,0.54,25,0.71,15,0.43,17,0.49,9,0.26,9,0.26,4,0.11,5,0.14
三重県,11,0.92,1,0.08,2,0.17,3,0.25,1,0.08,2,0.17,1,0.08,0,0,1,0.08
滋賀県,10,1.25,4,0.5,2,0.25,1,0.13,0,0,0,0,1,0.13,0,0,2,0.25
京都府,34,1.89,6,0.33,7,0.39,5,0.28,5,0.28,4,0.22,1,0.06,2,0.11,4,0.22
大阪府,120,2.31,12,0.23,24,0.46,20,0.38,7,0.13,14,0.27,15,0.29,12,0.23,16,0.31
兵庫県,134,3.83,16,0.46,31,0.89,20,0.57,15,0.43,13,0.37,15,0.43,15,0.43,9,0.26
奈良県,44,4.4,4,0.4,13,1.3,4,0.4,4,0.4,7,0.7,1,0.1,5,0.5,6,0.6
和歌山県,6,1.5,0,0,2,0.5,1,0.25,2,0.5,1,0.25,0,0,0,0,0,0
鳥取県,11,2.2,0,0,1,0.2,1,0.2,5,1,1,0.2,3,0.6,0,0,0,0
島根県,10,3.33,3,1,3,1,1,0.33,1,0.33,0,0,0,0,0,0,2,0.67
岡山県,44,3.67,7,0.58,9,0.75,8,0.67,4,0.33,3,0.25,5,0.42,6,0.5,2,0.17
広島県,163,8.58,17,0.89,28,1.47,21,1.11,18,0.95,21,1.11,23,1.21,22,1.16,13,0.68
山口県,42,4.67,4,0.44,10,1.11,2,0.22,11,1.22,6,0.67,2,0.22,5,0.56,2,0.22
徳島県,8,2,1,0.25,2,0.5,1,0.25,1,0.25,0,0,3,0.75,0,0,0,0
香川県,7,1.4,1,0.2,3,0.6,0,0,1,0.2,2,0.4,0,0,0,0,0,0
愛媛県,111,13.88,24,3,21,2.63,13,1.63,10,1.25,10,1.25,16,2,10,1.25,7,0.88
高知県,5,1.67,1,0.33,3,1,0,0,0,0,0,0,1,0.33,0,0,0,0
福岡県,94,3.62,14,0.54,17,0.65,17,0.65,13,0.5,14,0.54,6,0.23,8,0.31,5,0.19
佐賀県,15,3.75,2,0.5,3,0.75,0,0,3,0.75,2,0.5,1,0.25,1,0.25,3,0.75
長崎県,65,8.13,11,1.38,16,2,7,0.88,7,0.88,7,0.88,4,0.5,6,0.75,7,0.88
熊本県,96,12,26,2.89,16,1.78,16,1.78,6,0.67,10,1.11,10,1.25,1,0.13,11,1.38
大分県,13,2.6,1,0.2,2,0.4,3,0.6,0,0,2,0.4,1,0.2,3,0.6,1,0.2
宮崎県,79,13.17,18,3,13,2.17,9,1.5,9,1.5,9,1.5,8,1.33,9,1.5,4,0.67
鹿児島県,90,12.86,15,2.14,10,1.43,11,1.57,10,1.43,12,1.71,11,1.57,6,0.86,15,2.14
沖縄県,94,11.75,7,0.88,21,2.63,10,1.25,12,1.5,15,1.88,8,1,8,1,13,1.63
,,,,,,,,,,,,,,,,,,
細菌性髄膜炎,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,46,0.1,7,0.01,5,0.01,9,0.02,4,0.01,6,0.01,8,0.02,2,0,5,0.01
北海道,1,0.04,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,1,0.05,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0
宮城県,1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,1,0.08,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0
栃木県,2,0.29,1,0.14,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,2,0.22,0,0,1,0.11,0,0,0,0,0,0,0,0,0,0,1,0.11
埼玉県,1,0.08,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0
千葉県,3,0.33,1,0.11,0,0,0,0,0,0,1,0.11,0,0,1,0.11,0,0
東京都,4,0.16,0,0,0,0,3,0.12,1,0.04,0,0,0,0,0,0,0,0
神奈川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新潟県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,1,0.08,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,3,0.3,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1
愛知県,5,0.33,1,0.07,0,0,0,0,1,0.07,1,0.07,0,0,1,0.07,1,0.07
三重県,2,0.22,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,1,0.11
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,3,0.18,0,0,0,0,0,0,0,0,0,0,3,0.17,0,0,0,0
兵庫県,2,0.14,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07
奈良県,1,0.17,0,0,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,2,0.4,0,0,0,0,2,0.4,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広島県,2,0.1,0,0,0,0,1,0.05,0,0,1,0.05,0,0,0,0,0,0
山口県,1,0.11,0,0,0,0,0,0,1,0.11,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,1,0.13,0,0,0,0,0,0,0,0,0,0,1,0.13,0,0,0,0
福岡県,3,0.2,0,0,1,0.07,0,0,0,0,1,0.07,1,0.07,0,0,0,0
佐賀県,1,0.17,0,0,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0
長崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
熊本県,3,0.2,0,0,1,0.07,0,0,0,0,1,0.07,1,0.07,0,0,0,0
大分県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,
無菌性髄膜炎,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,68,0.14,7,0.01,10,0.02,11,0.02,12,0.03,6,0.01,10,0.02,4,0.01,8,0.02
北海道,1,0.04,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,2,0.11,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0,1,0.05
宮城県,3,0.3,0,0,0,0,1,0.1,0,0,0,0,1,0.1,0,0,1,0.1
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,3,0.23,1,0.08,0,0,1,0.08,0,0,0,0,1,0.08,0,0,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,2,0.17,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,1,0.08
千葉県,4,0.44,0,0,0,0,1,0.11,2,0.22,0,0,1,0.11,0,0,0,0
東京都,2,0.08,0,0,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0
神奈川県,5,0.42,0,0,2,0.17,1,0.08,2,0.17,0,0,0,0,0,0,0,0
新潟県,5,0.38,0,0,0,0,0,0,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08
富山県,2,0.4,0,0,0,0,0,0,0,0,0,0,1,0.2,1,0.2,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,2,0.33,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0,1,0.17
山梨県,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,1,0.08,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,1,0.2,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,3,0.2,0,0,1,0.07,0,0,1,0.07,0,0,0,0,0,0,1,0.07
三重県,3,0.33,0,0,0,0,0,0,2,0.22,0,0,0,0,0,0,1,0.11
滋賀県,2,0.29,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,1,0.14
京都府,1,0.17,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0
大阪府,2,0.12,0,0,1,0.06,0,0,0,0,0,0,0,0,1,0.06,0,0
兵庫県,3,0.21,1,0.07,0,0,1,0.07,1,0.07,0,0,0,0,0,0,0,0
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,3,0.27,1,0.09,0,0,1,0.09,0,0,0,0,1,0.09,0,0,0,0
鳥取県,3,0.6,0,0,0,0,0,0,1,0.2,0,0,2,0.4,0,0,0,0
島根県,1,0.13,0,0,0,0,0,0,0,0,1,0.13,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広島県,1,0.05,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,1,0.2,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
