報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024年15週(04月08日～04月14日),2024年04月17日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
茨城県,104,1.39,8,0.11,6,0.08,5,0.07,3,0.04,5,0.07,6,0.08,5,0.07,6,0.08,10,0.13,4,0.05,5,0.07,7,0.09,16,0.21,7,0.09,11,0.15
栃木県,46,0.96,0,0,1,0.02,3,0.06,1,0.02,2,0.04,8,0.17,3,0.06,3,0.06,5,0.1,4,0.08,3,0.06,4,0.08,3,0.06,1,0.02,5,0.1
群馬県,73,1.38,3,0.06,9,0.17,3,0.06,6,0.11,5,0.09,7,0.13,5,0.09,8,0.15,6,0.11,3,0.06,4,0.08,0,0,7,0.13,4,0.08,3,0.06
埼玉県,533,3.27,29,0.18,41,0.25,43,0.26,25,0.15,36,0.22,23,0.14,24,0.15,41,0.25,35,0.21,40,0.24,37,0.23,40,0.24,39,0.24,44,0.27,36,0.22
千葉県,248,1.98,15,0.12,15,0.12,24,0.19,13,0.1,17,0.13,12,0.1,14,0.11,16,0.13,22,0.18,14,0.11,27,0.22,10,0.08,11,0.09,17,0.13,21,0.17
東京都,690,2.64,31,0.12,50,0.19,43,0.16,42,0.16,25,0.1,53,0.2,32,0.12,65,0.25,49,0.19,57,0.22,48,0.18,56,0.21,49,0.19,41,0.16,49,0.19
神奈川県,544,2.38,69,0.31,40,0.17,42,0.19,34,0.15,42,0.19,44,0.19,35,0.15,27,0.12,30,0.13,34,0.15,22,0.1,30,0.13,23,0.1,39,0.17,33,0.14
新潟県,133,2.42,10,0.18,9,0.16,4,0.07,8,0.15,5,0.09,7,0.13,1,0.02,20,0.36,15,0.27,14,0.25,10,0.18,8,0.15,7,0.13,8,0.15,7,0.13
富山県,71,2.54,3,0.1,12,0.41,14,0.48,4,0.14,4,0.14,6,0.21,1,0.03,1,0.03,3,0.1,0,0,2,0.07,1,0.03,9,0.31,5,0.18,6,0.21
石川県,122,4.36,7,0.26,11,0.41,3,0.11,16,0.57,13,0.46,15,0.54,11,0.38,6,0.21,8,0.28,6,0.21,7,0.24,9,0.31,3,0.1,3,0.1,4,0.14
福井県,40,1.6,1,0.04,2,0.08,5,0.2,4,0.16,8,0.32,3,0.12,3,0.12,2,0.08,1,0.04,4,0.16,1,0.04,2,0.08,2,0.08,1,0.04,1,0.04
山梨県,39,1.63,0,0,1,0.04,0,0,0,0,15,0.63,3,0.13,6,0.25,1,0.04,2,0.08,0,0,1,0.04,5,0.21,3,0.13,2,0.08,0,0
長野県,81,1.5,2,0.04,2,0.04,7,0.13,8,0.15,6,0.11,6,0.11,1,0.02,2,0.04,7,0.13,6,0.11,11,0.2,7,0.13,12,0.22,1,0.02,3,0.06
岐阜県,33,0.62,0,0,4,0.08,2,0.04,2,0.04,2,0.04,4,0.08,1,0.02,2,0.04,3,0.06,1,0.02,5,0.09,3,0.06,1,0.02,2,0.04,1,0.02
静岡県,160,1.8,11,0.12,7,0.08,17,0.19,10,0.11,4,0.04,19,0.21,7,0.08,11,0.12,5,0.06,9,0.1,22,0.25,8,0.09,8,0.09,7,0.08,15,0.17
愛知県,199,1.09,19,0.1,9,0.05,13,0.07,16,0.09,13,0.07,10,0.05,7,0.04,13,0.07,10,0.05,9,0.05,15,0.08,17,0.09,17,0.09,11,0.06,20,0.11
三重県,66,1.47,5,0.11,0,0,5,0.11,5,0.11,5,0.11,8,0.18,1,0.02,5,0.11,4,0.09,4,0.09,6,0.13,6,0.13,5,0.11,3,0.07,4,0.09
滋賀県,73,2.09,4,0.11,6,0.17,6,0.17,4,0.11,0,0,5,0.14,7,0.19,3,0.08,5,0.14,11,0.31,7,0.19,6,0.17,4,0.11,2,0.06,3,0.08
京都府,137,1.83,7,0.09,11,0.14,17,0.23,9,0.12,11,0.15,9,0.12,6,0.08,4,0.05,9,0.12,3,0.04,15,0.2,7,0.09,6,0.08,7,0.09,16,0.21
大阪府,382,1.94,30,0.15,30,0.15,31,0.16,27,0.14,27,0.14,28,0.14,18,0.09,16,0.08,25,0.13,26,0.13,18,0.09,28,0.14,27,0.14,12,0.06,39,0.2
兵庫県,221,1.73,24,0.19,7,0.05,19,0.15,26,0.2,15,0.12,19,0.15,10,0.08,18,0.14,3,0.02,13,0.1,12,0.09,10,0.08,12,0.09,20,0.16,13,0.1
奈良県,46,1.39,2,0.06,2,0.06,7,0.21,1,0.03,10,0.29,4,0.12,5,0.15,6,0.18,1,0.03,2,0.06,1,0.03,2,0.06,2,0.06,0,0,1,0.03
和歌山県,40,1.33,2,0.07,2,0.07,2,0.07,4,0.13,0,0,0,0,1,0.03,2,0.07,1,0.03,5,0.17,3,0.1,6,0.2,4,0.13,4,0.13,4,0.13
鳥取県,32,1.68,0,0,2,0.11,0,0,1,0.05,1,0.05,2,0.11,2,0.11,1,0.05,3,0.16,1,0.05,5,0.26,2,0.11,6,0.32,0,0,6,0.32
島根県,30,1.3,5,0.22,3,0.13,2,0.09,3,0.13,1,0.04,1,0.04,1,0.04,1,0.04,1,0.04,0,0,0,0,2,0.09,2,0.09,5,0.22,3,0.13
岡山県,58,1.07,6,0.11,4,0.07,5,0.09,3,0.06,3,0.06,6,0.11,2,0.04,3,0.06,5,0.09,4,0.07,1,0.02,9,0.17,1,0.02,3,0.06,3,0.06
広島県,112,1.62,14,0.2,8,0.11,16,0.23,4,0.06,8,0.12,5,0.07,8,0.12,4,0.06,7,0.1,8,0.11,3,0.04,6,0.09,6,0.09,5,0.07,10,0.15
山口県,41,0.95,6,0.14,5,0.12,5,0.12,1,0.02,5,0.12,1,0.02,4,0.09,4,0.09,3,0.07,2,0.05,0,0,1,0.02,1,0.02,2,0.05,1,0.02
徳島県,26,1.13,0,0,0,0,1,0.04,0,0,2,0.09,1,0.04,2,0.09,1,0.04,4,0.17,3,0.13,2,0.09,1,0.04,2,0.09,2,0.09,5,0.22
香川県,44,1.57,6,0.21,2,0.07,3,0.11,1,0.04,3,0.11,2,0.07,2,0.07,2,0.07,8,0.29,2,0.07,4,0.14,1,0.04,5,0.18,2,0.07,1,0.04
愛媛県,70,1.94,5,0.14,2,0.05,8,0.22,3,0.08,7,0.19,5,0.14,6,0.16,6,0.16,6,0.16,4,0.11,3,0.08,2,0.05,8,0.22,2,0.05,3,0.08
高知県,41,1.64,2,0.08,4,0.15,2,0.08,1,0.04,1,0.04,1,0.04,4,0.15,1,0.04,1,0.04,2,0.08,5,0.19,5,0.19,3,0.12,3,0.12,6,0.24
福岡県,361,3.01,33,0.28,24,0.2,24,0.2,36,0.3,34,0.28,27,0.23,24,0.2,15,0.13,20,0.17,21,0.18,18,0.15,25,0.21,13,0.11,30,0.25,17,0.14
佐賀県,51,2.22,5,0.22,4,0.17,6,0.26,1,0.04,2,0.09,0,0,1,0.04,3,0.13,3,0.13,8,0.35,5,0.22,5,0.22,3,0.13,1,0.04,4,0.17
長崎県,72,1.67,3,0.07,6,0.14,4,0.09,7,0.16,6,0.14,7,0.16,14,0.32,2,0.05,0,0,4,0.09,2,0.05,3,0.07,4,0.09,3,0.07,7,0.16
熊本県,155,3.1,4,0.08,11,0.22,23,0.46,5,0.1,26,0.52,3,0.06,5,0.1,11,0.22,15,0.3,6,0.12,9,0.18,5,0.1,14,0.28,8,0.16,10,0.2
大分県,48,1.33,5,0.14,2,0.06,2,0.06,3,0.08,5,0.14,2,0.06,0,0,2,0.06,2,0.06,5,0.14,4,0.11,2,0.06,5,0.14,8,0.22,1,0.03
宮崎県,56,1.56,3,0.08,1,0.03,2,0.06,4,0.11,2,0.06,1,0.03,4,0.11,3,0.08,1,0.03,3,0.08,2,0.06,3,0.08,6,0.17,8,0.22,13,0.36
鹿児島県,96,1.92,5,0.1,2,0.04,4,0.08,1,0.02,6,0.12,3,0.06,15,0.29,5,0.1,15,0.29,5,0.1,12,0.24,2,0.04,8,0.16,6,0.12,7,0.14
沖縄県,120,4,8,0.26,8,0.26,9,0.29,7,0.23,9,0.29,7,0.23,6,0.19,6,0.19,9,0.29,4,0.13,7,0.23,8,0.26,9,0.29,11,0.37,12,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手足口病,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,9108,2.91,442,0.14,411,0.13,547,0.17,626,0.2,684,0.22,590,0.19,532,0.17,593,0.19,684,0.22,550,0.18,652,0.21,522,0.17,609,0.19,657,0.21,1009,0.32
北海道,41,0.3,5,0.04,6,0.04,2,0.01,5,0.04,1,0.01,2,0.01,4,0.03,3,0.02,2,0.01,4,0.03,2,0.01,2,0.01,2,0.01,0,0,1,0.01
青森県,31,0.84,3,0.08,6,0.16,7,0.19,4,0.11,2,0.05,3,0.08,1,0.03,1,0.03,0,0,2,0.05,0,0,0,0,1,0.03,0,0,1,0.03
岩手県,74,1.95,6,0.15,7,0.18,14,0.36,9,0.23,13,0.33,5,0.13,7,0.18,1,0.03,0,0,1,0.03,7,0.18,1,0.03,1,0.03,2,0.05,0,0
宮城県,35,0.65,4,0.07,5,0.09,3,0.05,1,0.02,4,0.07,3,0.05,1,0.02,2,0.04,0,0,0,0,6,0.11,1,0.02,1,0.02,0,0,4,0.08
秋田県,63,1.91,2,0.06,6,0.18,3,0.09,14,0.42,8,0.24,7,0.21,7,0.21,4,0.12,0,0,4,0.12,3,0.09,0,0,1,0.03,3,0.09,1,0.03
山形県,124,4.43,2,0.07,9,0.32,8,0.29,12,0.43,14,0.5,31,1.11,16,0.57,12,0.43,13,0.46,1,0.04,1,0.04,1,0.04,0,0,3,0.11,1,0.04
福島県,21,0.43,2,0.04,1,0.02,2,0.04,0,0,2,0.04,4,0.08,3,0.06,2,0.04,2,0.04,1,0.02,0,0,0,0,0,0,1,0.02,1,0.02
茨城県,34,0.45,8,0.11,4,0.05,0,0,2,0.03,0,0,2,0.03,0,0,1,0.01,5,0.07,3,0.04,2,0.03,1,0.01,2,0.03,1,0.01,3,0.04
栃木県,97,2.02,7,0.15,9,0.19,10,0.21,7,0.15,7,0.15,5,0.1,4,0.08,3,0.06,3,0.06,4,0.08,13,0.27,6,0.13,6,0.13,3,0.06,10,0.21
群馬県,326,6.15,14,0.26,14,0.26,30,0.57,17,0.32,18,0.34,11,0.21,15,0.28,10,0.19,14,0.26,22,0.42,21,0.4,28,0.53,26,0.49,41,0.77,45,0.85
埼玉県,172,1.06,5,0.03,12,0.07,15,0.09,13,0.08,16,0.1,14,0.09,6,0.04,13,0.08,22,0.13,5,0.03,13,0.08,8,0.05,9,0.06,8,0.05,13,0.08
千葉県,74,0.59,11,0.09,6,0.05,3,0.02,4,0.03,2,0.02,3,0.02,1,0.01,0,0,3,0.02,1,0.01,7,0.06,0,0,5,0.04,7,0.06,21,0.17
東京都,223,0.85,32,0.13,25,0.1,16,0.06,21,0.08,16,0.06,21,0.08,13,0.05,10,0.04,4,0.02,1,0,8,0.03,4,0.02,16,0.06,25,0.1,11,0.04
神奈川県,182,0.79,8,0.04,6,0.03,12,0.05,8,0.03,18,0.08,18,0.08,19,0.08,4,0.02,15,0.07,7,0.03,11,0.05,9,0.04,10,0.04,19,0.08,18,0.08
新潟県,56,1.02,7,0.13,7,0.13,4,0.07,7,0.13,13,0.24,4,0.07,1,0.02,1,0.02,1,0.02,1,0.02,0,0,0,0,0,0,4,0.07,6,0.11
富山県,39,1.39,3,0.1,3,0.1,5,0.17,6,0.21,6,0.21,4,0.14,4,0.14,0,0,2,0.07,1,0.03,1,0.03,0,0,2,0.07,2,0.07,0,0
石川県,93,3.32,3,0.11,5,0.19,2,0.07,9,0.32,13,0.46,3,0.11,8,0.28,6,0.21,3,0.1,1,0.03,7,0.24,2,0.07,14,0.48,6,0.21,11,0.38
福井県,296,11.84,7,0.28,5,0.2,3,0.12,5,0.2,9,0.36,9,0.36,14,0.56,41,1.64,41,1.64,27,1.08,42,1.68,34,1.36,18,0.72,22,0.88,19,0.76
山梨県,50,2.08,10,0.42,4,0.17,3,0.13,7,0.29,5,0.21,4,0.17,0,0,0,0,1,0.04,2,0.08,1,0.04,1,0.04,3,0.13,3,0.13,6,0.25
長野県,35,0.65,12,0.22,2,0.04,2,0.04,7,0.13,1,0.02,2,0.04,2,0.04,0,0,3,0.06,0,0,1,0.02,0,0,0,0,0,0,3,0.06
岐阜県,73,1.38,4,0.08,4,0.08,3,0.06,2,0.04,1,0.02,3,0.06,6,0.11,3,0.06,16,0.3,8,0.15,4,0.08,5,0.09,4,0.08,4,0.08,6,0.11
静岡県,92,1.03,3,0.03,4,0.04,4,0.04,10,0.11,8,0.09,13,0.15,4,0.04,3,0.03,3,0.03,9,0.1,4,0.04,3,0.03,11,0.12,3,0.03,10,0.11
愛知県,139,0.76,3,0.02,7,0.04,9,0.05,2,0.01,7,0.04,4,0.02,5,0.03,5,0.03,8,0.04,8,0.04,9,0.05,8,0.04,17,0.09,22,0.12,25,0.14
三重県,116,2.58,1,0.02,3,0.07,6,0.13,6,0.13,4,0.09,8,0.18,6,0.13,7,0.16,12,0.27,9,0.2,7,0.16,15,0.33,7,0.16,6,0.13,19,0.42
滋賀県,111,3.17,3,0.08,12,0.33,5,0.14,6,0.17,12,0.33,2,0.06,7,0.19,7,0.19,6,0.17,8,0.22,14,0.39,4,0.11,11,0.31,4,0.11,10,0.28
京都府,314,4.19,12,0.16,8,0.11,13,0.17,26,0.35,23,0.31,18,0.24,13,0.17,18,0.24,36,0.47,24,0.32,29,0.38,23,0.3,18,0.24,23,0.3,30,0.39
大阪府,1431,7.26,67,0.34,49,0.25,82,0.42,102,0.52,110,0.56,83,0.42,107,0.54,113,0.57,96,0.48,87,0.44,104,0.53,69,0.35,109,0.55,94,0.48,159,0.81
兵庫県,452,3.53,19,0.15,20,0.16,23,0.18,29,0.23,23,0.18,25,0.2,30,0.23,28,0.22,39,0.3,40,0.31,24,0.19,40,0.31,37,0.29,31,0.24,44,0.34
奈良県,204,6.18,17,0.5,9,0.26,12,0.35,3,0.09,11,0.32,6,0.18,9,0.27,24,0.73,17,0.52,20,0.61,19,0.58,6,0.18,6,0.18,18,0.53,27,0.79
和歌山県,145,4.83,6,0.2,12,0.4,11,0.37,11,0.37,10,0.33,6,0.2,9,0.3,12,0.4,17,0.57,13,0.43,4,0.13,7,0.23,4,0.13,5,0.17,18,0.6
鳥取県,32,1.68,0,0,1,0.05,4,0.21,4,0.21,5,0.26,2,0.11,3,0.16,3,0.16,4,0.21,1,0.05,2,0.11,2,0.11,0,0,1,0.05,0,0
島根県,88,3.83,0,0,0,0,4,0.17,5,0.22,7,0.3,4,0.17,4,0.17,7,0.3,5,0.22,8,0.35,9,0.39,5,0.22,9,0.39,13,0.57,8,0.35
岡山県,298,5.52,11,0.2,8,0.15,9,0.17,8,0.15,5,0.09,21,0.39,13,0.24,28,0.52,40,0.74,12,0.22,36,0.67,33,0.61,29,0.54,12,0.22,33,0.61
広島県,297,4.3,3,0.04,11,0.16,15,0.21,18,0.26,31,0.45,17,0.25,20,0.29,22,0.31,27,0.39,23,0.33,17,0.24,14,0.2,22,0.31,13,0.19,44,0.66
山口県,36,0.84,2,0.05,2,0.05,3,0.07,1,0.02,4,0.09,2,0.05,0,0,1,0.02,2,0.05,5,0.12,4,0.09,3,0.07,2,0.05,2,0.05,3,0.07
徳島県,211,9.17,8,0.35,2,0.09,1,0.04,11,0.48,14,0.61,7,0.3,8,0.35,14,0.61,18,0.78,24,1.04,21,0.91,12,0.52,19,0.83,28,1.22,24,1.04
香川県,240,8.57,4,0.14,4,0.14,5,0.18,30,1.07,23,0.82,27,0.96,18,0.64,32,1.14,25,0.89,18,0.64,5,0.18,12,0.43,14,0.5,9,0.32,14,0.5
愛媛県,318,8.83,14,0.39,14,0.38,20,0.54,14,0.38,10,0.27,11,0.3,9,0.24,20,0.54,21,0.57,17,0.46,24,0.65,21,0.57,25,0.68,36,0.97,62,1.68
高知県,64,2.56,4,0.15,5,0.19,6,0.23,0,0,5,0.19,2,0.08,3,0.12,4,0.15,5,0.19,1,0.04,1,0.04,2,0.08,3,0.12,11,0.44,12,0.48
福岡県,546,4.55,27,0.23,28,0.23,37,0.31,46,0.38,45,0.38,36,0.3,37,0.31,27,0.23,38,0.32,28,0.23,39,0.33,35,0.29,22,0.18,52,0.43,49,0.41
佐賀県,56,2.43,1,0.04,3,0.13,6,0.26,5,0.22,11,0.48,4,0.17,2,0.09,4,0.17,6,0.26,0,0,3,0.13,3,0.13,0,0,3,0.13,5,0.22
長崎県,199,4.63,14,0.32,5,0.11,9,0.2,13,0.3,19,0.43,18,0.41,10,0.23,6,0.14,9,0.21,18,0.42,18,0.42,21,0.49,11,0.26,10,0.23,18,0.41
熊本県,252,5.04,13,0.26,12,0.24,20,0.4,24,0.48,23,0.46,29,0.58,18,0.36,8,0.16,20,0.4,13,0.26,13,0.26,5,0.1,9,0.18,14,0.28,31,0.62
大分県,271,7.53,8,0.22,3,0.08,4,0.11,12,0.33,21,0.58,14,0.39,17,0.47,22,0.61,14,0.39,13,0.36,22,0.61,17,0.47,33,0.92,27,0.75,44,1.22
宮崎県,371,10.31,14,0.39,13,0.36,28,0.78,28,0.78,33,0.92,25,0.69,20,0.56,20,0.56,18,0.5,15,0.42,19,0.53,22,0.61,35,0.97,31,0.86,50,1.39
鹿児島県,619,12.38,31,0.61,26,0.51,58,1.14,44,0.86,48,0.94,45,0.88,27,0.53,40,0.78,46,0.9,38,0.75,44,0.86,33,0.65,33,0.65,30,0.6,76,1.49
沖縄県,67,2.23,2,0.06,4,0.13,6,0.19,8,0.26,3,0.1,3,0.1,1,0.03,1,0.03,2,0.06,2,0.06,11,0.35,4,0.13,2,0.06,5,0.17,13,0.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,907,0.29,29,0.01,59,0.02,54,0.02,63,0.02,61,0.02,61,0.02,54,0.02,55,0.02,60,0.02,68,0.02,63,0.02,53,0.02,87,0.03,57,0.02,83,0.03
北海道,5,0.04,1,0.01,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,0,0,1,0.01,0,0,0,0,1,0.01
青森県,5,0.14,0,0,1,0.03,0,0,1,0.03,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,19,0.5,0,0,0,0,0,0,0,0,0,0,2,0.05,0,0,1,0.03,0,0,0,0,0,0,1,0.03,4,0.1,5,0.13,6,0.15
宮城県,7,0.13,1,0.02,0,0,0,0,4,0.07,0,0,0,0,0,0,0,0,1,0.02,0,0,1,0.02,0,0,0,0,0,0,0,0
秋田県,3,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0,1,0.03,0,0
山形県,12,0.43,1,0.04,3,0.11,0,0,1,0.04,2,0.07,1,0.04,1,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,2,0.07
福島県,16,0.33,0,0,1,0.02,4,0.08,1,0.02,1,0.02,1,0.02,0,0,0,0,2,0.04,1,0.02,1,0.02,0,0,2,0.04,0,0,2,0.04
茨城県,11,0.15,1,0.01,1,0.01,1,0.01,1,0.01,2,0.03,0,0,0,0,0,0,0,0,1,0.01,0,0,3,0.04,1,0.01,0,0,0,0
栃木県,5,0.1,0,0,0,0,2,0.04,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,1,0.02,1,0.02,0,0,0,0,0,0
群馬県,10,0.19,0,0,1,0.02,2,0.04,0,0,1,0.02,0,0,1,0.02,1,0.02,0,0,2,0.04,0,0,0,0,1,0.02,1,0.02,0,0
埼玉県,55,0.34,1,0.01,3,0.02,4,0.02,5,0.03,3,0.02,1,0.01,3,0.02,1,0.01,4,0.02,1,0.01,2,0.01,7,0.04,8,0.05,5,0.03,7,0.04
千葉県,29,0.23,0,0,1,0.01,2,0.02,2,0.02,0,0,1,0.01,1,0.01,2,0.02,2,0.02,1,0.01,4,0.03,4,0.03,4,0.03,1,0.01,4,0.03
東京都,274,1.05,7,0.03,26,0.1,18,0.07,21,0.08,20,0.08,21,0.08,21,0.08,14,0.05,16,0.06,16,0.06,18,0.07,11,0.04,23,0.09,19,0.07,23,0.09
神奈川県,130,0.57,2,0.01,5,0.02,11,0.05,6,0.03,7,0.03,15,0.06,7,0.03,12,0.05,11,0.05,10,0.04,8,0.03,6,0.03,10,0.04,9,0.04,11,0.05
新潟県,14,0.25,0,0,1,0.02,0,0,3,0.05,0,0,0,0,2,0.04,1,0.02,0,0,2,0.04,1,0.02,0,0,2,0.04,1,0.02,1,0.02
富山県,3,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,2,0.07,0,0,0,0,0,0,0,0
石川県,3,0.11,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0
福井県,5,0.2,2,0.08,1,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0
山梨県,3,0.13,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,1,0.04
長野県,6,0.11,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,1,0.02,1,0.02,2,0.04,0,0,1,0.02,0,0,0,0,0,0
岐阜県,4,0.08,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,1,0.02,0,0,1,0.02,0,0,0,0,0,0
静岡県,25,0.28,0,0,0,0,1,0.01,0,0,4,0.04,0,0,1,0.01,2,0.02,3,0.03,4,0.04,1,0.01,1,0.01,2,0.02,4,0.04,2,0.02
愛知県,16,0.09,3,0.02,0,0,0,0,0,0,0,0,1,0.01,1,0.01,2,0.01,3,0.02,3,0.02,1,0.01,0,0,1,0.01,1,0.01,0,0
三重県,8,0.18,0,0,0,0,1,0.02,1,0.02,1,0.02,0,0,1,0.02,0,0,0,0,1,0.02,0,0,0,0,2,0.04,0,0,1,0.02
滋賀県,10,0.29,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,2,0.06,0,0,0,0,0,0,2,0.06,3,0.08,1,0.03,0,0
京都府,5,0.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,1,0.01,0,0,0,0,1,0.01,0,0,1,0.01,0,0,1,0.01
大阪府,35,0.18,1,0.01,6,0.03,0,0,1,0.01,2,0.01,4,0.02,3,0.02,2,0.01,4,0.02,2,0.01,1,0.01,1,0.01,7,0.04,0,0,1,0.01
兵庫県,37,0.29,0,0,2,0.02,1,0.01,4,0.03,1,0.01,2,0.02,2,0.02,1,0.01,1,0.01,4,0.03,3,0.02,4,0.03,5,0.04,3,0.02,4,0.03
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03
鳥取県,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0
島根県,4,0.17,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0,1,0.04
岡山県,20,0.37,3,0.06,1,0.02,2,0.04,2,0.04,2,0.04,0,0,1,0.02,0,0,1,0.02,0,0,2,0.04,0,0,3,0.06,2,0.04,1,0.02
広島県,10,0.14,1,0.01,1,0.01,0,0,0,0,2,0.03,1,0.01,0,0,0,0,1,0.01,1,0.01,0,0,0,0,1,0.01,0,0,2,0.03
山口県,7,0.16,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,1,0.02,1,0.02,2,0.05,1,0.02,0,0,1,0.02
徳島県,3,0.13,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0
香川県,13,0.46,0,0,0,0,0,0,0,0,3,0.11,0,0,2,0.07,0,0,2,0.07,1,0.04,4,0.14,0,0,0,0,1,0.04,0,0
愛媛県,4,0.11,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,2,0.05,0,0,0,0,0,0
高知県,9,0.36,1,0.04,0,0,0,0,1,0.04,1,0.04,0,0,1,0.04,0,0,0,0,1,0.04,3,0.12,0,0,0,0,0,0,1,0.04
福岡県,27,0.23,1,0.01,1,0.01,1,0.01,1,0.01,0,0,0,0,0,0,4,0.03,3,0.03,5,0.04,3,0.03,1,0.01,3,0.03,1,0.01,3,0.03
佐賀県,5,0.22,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,1,0.04,1,0.04,0,0,0,0,1,0.04,0,0,0,0,1,0.04
長崎県,3,0.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0,0,0,1,0.02,0,0
熊本県,16,0.32,0,0,1,0.02,0,0,3,0.06,2,0.04,4,0.08,0,0,0,0,0,0,0,0,2,0.04,1,0.02,0,0,0,0,3,0.06
大分県,7,0.19,0,0,0,0,0,0,3,0.08,0,0,1,0.03,0,0,0,0,0,0,1,0.03,1,0.03,1,0.03,0,0,0,0,0,0
宮崎県,7,0.19,0,0,0,0,0,0,0,0,4,0.11,0,0,2,0.06,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,9,0.18,0,0,1,0.02,1,0.02,0,0,1,0.02,1,0.02,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0,1,0.02,2,0.04
沖縄県,6,0.2,0,0,1,0.03,1,0.03,1,0.03,0,0,1,0.03,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発しん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
