報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,
2024年05週(01月29日～02月04日),2024年02月07日作成,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
北海道,1,0.04,0,0,1,0.04,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,1,0.05,0,0,0,0,1,0.05,0,0,0,0
宮城県,1,0.1,0,0,0,0,1,0.1,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,2,0.15,1,0.08,0,0,1,0.08,0,0,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,0,0,0,0,0,0,0,0,0,0,0,0
千葉県,3,0.33,0,0,0,0,1,0.11,2,0.22,0,0
東京都,1,0.04,0,0,0,0,0,0,0,0,1,0.04
神奈川県,5,0.42,0,0,2,0.17,1,0.08,2,0.17,0,0
新潟県,2,0.15,0,0,0,0,0,0,1,0.08,1,0.08
富山県,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0
福井県,1,0.17,0,0,1,0.17,0,0,0,0,0,0
山梨県,1,0.1,1,0.1,0,0,0,0,0,0,0,0
長野県,1,0.08,0,0,1,0.08,0,0,0,0,0,0
岐阜県,1,0.2,0,0,0,0,0,0,0,0,1,0.2
静岡県,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,2,0.13,0,0,1,0.07,0,0,1,0.07,0,0
三重県,2,0.22,0,0,0,0,0,0,2,0.22,0,0
滋賀県,1,0.14,0,0,0,0,0,0,0,0,1,0.14
京都府,1,0.17,0,0,0,0,1,0.14,0,0,0,0
大阪府,1,0.06,0,0,1,0.06,0,0,0,0,0,0
兵庫県,3,0.21,1,0.07,0,0,1,0.07,1,0.07,0,0
奈良県,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,2,0.18,1,0.09,0,0,1,0.09,0,0,0,0
鳥取県,1,0.2,0,0,0,0,0,0,1,0.2,0,0
島根県,1,0.13,0,0,0,0,0,0,0,0,1,0.13
岡山県,0,0,0,0,0,0,0,0,0,0,0,0
広島県,1,0.05,0,0,1,0.05,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0
香川県,1,0.2,0,0,0,0,0,0,1,0.2,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,2,0.13,1,0.07,0,0,1,0.07,0,0,0,0
佐賀県,3,0.5,1,0.17,1,0.17,1,0.17,0,0,0,0
長崎県,2,0.17,1,0.08,1,0.08,0,0,0,0,0,0
熊本県,1,0.07,0,0,0,0,1,0.07,0,0,0,0
大分県,1,0.09,0,0,0,0,0,0,0,0,1,0.09
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,1,0.14,0,0,0,0,0,0,1,0.14,0,0
,,,,,,,,,,,,
マイコプラズマ肺炎,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,164,0.34,24,0.05,35,0.07,36,0.08,32,0.07,37,0.08
北海道,0,0,0,0,0,0,0,0,0,0,0,0
青森県,10,1.67,0,0,3,0.5,0,0,6,1,1,0.17
岩手県,8,0.42,3,0.16,2,0.11,1,0.05,2,0.11,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,1,0.13,0,0,1,0.13,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0
福島県,1,0.14,0,0,0,0,1,0.14,0,0,0,0
茨城県,8,0.62,3,0.23,2,0.15,1,0.08,0,0,2,0.15
栃木県,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,3,0.25,2,0.17,0,0,0,0,0,0,1,0.08
千葉県,3,0.33,0,0,1,0.11,0,0,0,0,2,0.22
東京都,9,0.36,2,0.08,1,0.04,1,0.04,3,0.12,2,0.08
神奈川県,6,0.5,0,0,3,0.25,1,0.08,0,0,2,0.17
新潟県,2,0.15,0,0,1,0.08,0,0,1,0.08,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0
福井県,17,2.83,2,0.33,3,0.5,4,0.67,4,0.67,4,0.67
山梨県,0,0,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,2,0.4,0,0,0,0,2,0.4,0,0,0,0
静岡県,2,0.2,0,0,0,0,1,0.1,1,0.1,0,0
愛知県,9,0.6,0,0,2,0.13,4,0.27,1,0.07,2,0.13
三重県,1,0.11,0,0,1,0.11,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0
京都府,1,0.17,0,0,0,0,1,0.14,0,0,0,0
大阪府,7,0.41,0,0,3,0.18,1,0.06,0,0,3,0.17
兵庫県,13,0.93,1,0.07,2,0.14,5,0.36,2,0.14,3,0.21
奈良県,1,0.17,0,0,1,0.17,0,0,0,0,0,0
和歌山県,5,0.45,2,0.18,0,0,0,0,1,0.09,2,0.18
鳥取県,1,0.2,0,0,0,0,0,0,0,0,1,0.2
島根県,1,0.13,0,0,0,0,0,0,0,0,1,0.13
岡山県,0,0,0,0,0,0,0,0,0,0,0,0
広島県,7,0.33,1,0.05,0,0,3,0.14,0,0,3,0.14
山口県,7,0.78,2,0.22,2,0.22,0,0,1,0.11,2,0.22
徳島県,0,0,0,0,0,0,0,0,0,0,0,0
香川県,1,0.2,0,0,0,0,1,0.2,0,0,0,0
愛媛県,2,0.33,0,0,1,0.17,0,0,0,0,1,0.17
高知県,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,0,0,0,0,0,0,0,0,0,0,0,0
佐賀県,8,1.33,1,0.17,1,0.17,2,0.33,3,0.5,1,0.17
長崎県,4,0.33,1,0.08,1,0.08,0,0,1,0.08,1,0.08
熊本県,3,0.2,0,0,0,0,3,0.2,0,0,0,0
大分県,6,0.55,1,0.09,1,0.09,2,0.18,1,0.09,1,0.09
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,15,2.14,3,0.43,3,0.43,2,0.29,5,0.71,2,0.29
,,,,,,,,,,,,
クラミジア肺炎,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2,0,0,0,1,0,1,0,0,0,0,0
北海道,0,0,0,0,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0,0,0,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,0,0,0,0,0,0,0,0,0,0,0,0
千葉県,0,0,0,0,0,0,0,0,0,0,0,0
東京都,0,0,0,0,0,0,0,0,0,0,0,0
神奈川県,0,0,0,0,0,0,0,0,0,0,0,0
新潟県,0,0,0,0,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,0,0,0,0,0,0,0,0,0,0,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,0,0,0,0,0,0,0,0,0,0,0,0
兵庫県,0,0,0,0,0,0,0,0,0,0,0,0
奈良県,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,2,0.18,0,0,1,0.09,1,0.09,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0,0,0,0,0
広島県,0,0,0,0,0,0,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,0,0,0,0,0,0,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,0,0,0,0,0,0,0,0,0,0,0,0
熊本県,0,0,0,0,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
感染性胃腸炎（ロタウイルス）,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,27,0.06,3,0.01,1,0,5,0.01,12,0.02,6,0.01
北海道,0,0,0,0,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,1,0.05,1,0.05,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0
山形県,2,0.2,2,0.2,0,0,0,0,0,0,0,0
福島県,1,0.14,0,0,0,0,0,0,1,0.14,0,0
茨城県,0,0,0,0,0,0,0,0,0,0,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,0,0,0,0,0,0,0,0,0,0,0,0
千葉県,0,0,0,0,0,0,0,0,0,0,0,0
東京都,0,0,0,0,0,0,0,0,0,0,0,0
神奈川県,0,0,0,0,0,0,0,0,0,0,0,0
新潟県,10,0.77,0,0,0,0,1,0.08,6,0.46,3,0.23
富山県,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0
長野県,1,0.08,0,0,0,0,1,0.08,0,0,0,0
岐阜県,1,0.2,0,0,0,0,1,0.2,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,2,0.13,0,0,0,0,1,0.07,1,0.07,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,1,0.06,0,0,0,0,1,0.06,0,0,0,0
兵庫県,0,0,0,0,0,0,0,0,0,0,0,0
奈良県,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0
島根県,1,0.13,0,0,0,0,0,0,0,0,1,0.13
岡山県,4,0.8,0,0,0,0,0,0,3,0.6,1,0.2
広島県,1,0.05,0,0,0,0,0,0,0,0,1,0.05
山口県,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0
高知県,2,0.25,0,0,1,0.13,0,0,1,0.13,0,0
福岡県,0,0,0,0,0,0,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,0,0,0,0,0,0,0,0,0,0,0,0
熊本県,0,0,0,0,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
COVID-19,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,291945,59.29,34204,6.98,44189,8.96,60280,12.22,73667,14.93,79605,16.15
北海道,13666,61.28,2317,10.58,2369,10.53,2424,10.77,3091,13.74,3465,15.4
青森県,2173,36.83,353,5.98,322,5.46,376,6.37,488,8.27,634,10.75
岩手県,3790,62.13,481,7.89,631,10.34,667,10.93,1026,16.82,985,16.15
宮城県,5837,64.14,494,5.43,720,7.91,1166,12.81,1709,18.78,1748,19.21
秋田県,2101,42.02,350,7.14,319,6.25,397,7.78,482,9.45,553,10.84
山形県,2279,53,193,4.49,292,6.79,466,10.84,647,15.05,681,15.84
福島県,7446,90.8,926,11.29,992,12.1,1557,18.99,1963,23.94,2008,24.49
茨城県,10595,88.29,1472,12.27,1691,14.09,2199,18.33,2538,21.15,2695,22.46
栃木県,5689,74.86,480,6.32,790,10.39,1265,16.64,1597,21.01,1557,20.49
群馬県,6135,72.18,525,6.18,741,8.72,1265,14.88,1756,20.66,1848,21.74
埼玉県,17596,67.94,1661,6.51,2416,9.26,3756,14.39,4990,19.12,4773,18.29
千葉県,15702,77.73,1516,7.5,2317,11.41,3238,16.03,4196,20.88,4435,21.74
東京都,16533,40.13,1366,3.37,2339,5.65,3448,8.33,4667,11.27,4713,11.38
神奈川県,17103,47.25,1187,3.3,2190,6.05,3490,9.59,4960,13.55,5276,14.61
新潟県,4825,56.1,483,5.62,572,6.65,867,10.08,1276,14.84,1627,18.92
富山県,2838,59.13,315,6.56,379,7.9,569,11.85,802,16.71,773,16.1
石川県,3567,79.27,371,8.43,461,10.48,645,14.33,962,20.91,1128,24.52
福井県,1541,39.51,127,3.26,168,4.31,300,7.69,443,11.36,503,12.9
山梨県,2944,71.8,331,8.07,527,12.85,606,14.78,737,17.98,743,18.12
長野県,7534,85.61,1110,12.61,1236,14.05,1392,15.82,1849,21.01,1947,22.13
岐阜県,6929,79.64,1325,15.23,1243,14.29,1405,16.15,1418,16.3,1538,17.68
静岡県,10434,75.06,1082,7.78,1577,11.35,2128,15.31,2660,19.14,2987,21.49
愛知県,17100,87.69,2418,12.4,2763,14.17,3379,17.33,4142,21.24,4398,22.55
三重県,4883,67.82,490,6.81,714,9.92,1135,15.76,1195,16.6,1349,18.74
滋賀県,2695,45.68,413,7,456,7.6,537,9.1,609,10.32,680,11.33
京都府,5789,47.07,742,6.08,991,7.93,1187,9.57,1343,10.83,1526,12.31
大阪府,11381,37.19,1458,4.76,1894,6.19,2441,7.98,2725,8.91,2863,9.36
兵庫県,8319,42.23,964,4.87,1303,6.58,1821,9.2,2091,10.56,2140,10.86
奈良県,2769,50.35,295,5.36,452,8.22,583,10.6,674,12.25,765,13.91
和歌山県,2755,56.22,295,6.02,397,8.1,604,12.33,660,13.47,799,16.31
鳥取県,1523,52.52,260,8.97,239,8.24,356,12.28,322,11.1,346,11.93
島根県,1562,41.11,218,5.74,233,6.13,347,9.13,324,8.53,440,11.58
岡山県,4441,52.87,623,7.42,728,8.67,955,11.37,1005,11.96,1130,13.45
広島県,6434,57.45,682,6.04,919,8.21,1291,11.42,1598,14.14,1944,17.36
山口県,4035,60.22,379,5.66,577,8.61,922,13.76,1098,16.39,1059,15.81
徳島県,2513,67.92,346,9.35,437,11.81,563,15.22,604,16.32,563,15.22
香川県,3032,64.51,381,8.11,400,8.51,641,13.64,781,16.62,829,17.64
愛媛県,4215,70.25,374,6.34,624,10.23,852,13.97,1064,17.44,1301,21.33
高知県,2700,61.36,328,7.45,483,10.98,614,13.95,598,13.59,677,15.39
福岡県,10257,51.8,1515,7.65,1630,8.23,2070,10.45,2277,11.5,2765,13.96
佐賀県,2908,74.56,330,8.46,539,13.82,665,17.05,606,15.54,768,19.69
長崎県,4076,58.23,528,7.54,763,10.9,908,12.97,841,12.01,1036,14.8
熊本県,6093,76.16,867,10.84,1029,12.86,1286,16.08,1373,17.16,1538,19.23
大分県,4538,78.24,639,11.02,697,12.02,995,17.16,1092,18.83,1115,19.22
宮崎県,4022,69.34,432,7.45,646,11.14,932,16.07,974,16.79,1038,17.9
鹿児島県,4739,53.25,504,5.66,632,7.1,1149,12.91,1018,11.44,1436,16.13
沖縄県,1909,35.35,258,4.78,351,6.5,421,7.8,396,7.33,483,8.94
