報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,
2025年05週(01月27日～02月02日),2025年02月05日作成,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
宮崎県,1,0.14,1,0.14,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,1,0.14,0,0,0,0,0,0,1,0.14,0,0
,,,,,,,,,,,,
無菌性髄膜炎,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,55,0.11,7,0.01,16,0.03,10,0.02,15,0.03,7,0.01
北海道,1,0.05,0,0,0,0,0,0,1,0.05,0,0
青森県,4,0.67,0,0,1,0.17,0,0,3,0.5,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0
福島県,1,0.14,0,0,0,0,0,0,0,0,1,0.14
茨城県,2,0.15,0,0,0,0,1,0.08,1,0.08,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,2,0.22,1,0.11,1,0.11,0,0,0,0,0,0
埼玉県,4,0.33,1,0.08,1,0.08,1,0.08,1,0.08,0,0
千葉県,0,0,0,0,0,0,0,0,0,0,0,0
東京都,5,0.2,1,0.04,3,0.12,1,0.04,0,0,0,0
神奈川県,6,0.5,0,0,1,0.08,1,0.08,3,0.25,1,0.08
新潟県,0,0,0,0,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0
石川県,1,0.2,0,0,0,0,0,0,0,0,1,0.2
福井県,1,0.17,0,0,0,0,0,0,1,0.17,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,5,1,2,0.4,2,0.4,0,0,1,0.2,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,2,0.13,0,0,1,0.07,0,0,1,0.07,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,1,0.14,1,0.14,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,6,0.33,0,0,1,0.06,1,0.06,2,0.11,2,0.11
兵庫県,3,0.21,1,0.07,0,0,2,0.14,0,0,0,0
奈良県,2,0.33,0,0,1,0.17,1,0.17,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,1,0.2,0,0,1,0.2,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,1,0.2,0,0,0,0,0,0,0,0,1,0.2
広島県,1,0.05,0,0,1,0.05,0,0,0,0,0,0
山口県,1,0.11,0,0,1,0.11,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0
香川県,1,0.2,0,0,0,0,1,0.2,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,0,0,0,0,0,0,0,0,0,0,0,0
佐賀県,1,0.17,0,0,0,0,0,0,0,0,1,0.17
長崎県,1,0.08,0,0,0,0,0,0,1,0.08,0,0
熊本県,1,0.07,0,0,0,0,1,0.07,0,0,0,0
大分県,1,0.09,0,0,1,0.09,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
マイコプラズマ肺炎,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,1908,3.98,367,0.76,533,1.11,410,0.85,302,0.63,296,0.62
北海道,105,4.77,11,0.5,38,1.73,23,1.05,19,0.86,14,0.61
青森県,52,8.67,5,0.83,16,2.67,10,1.67,9,1.5,12,2
岩手県,83,4.37,26,1.37,16,0.84,16,0.84,12,0.63,13,0.68
宮城県,29,2.9,5,0.5,8,0.8,4,0.4,7,0.7,5,0.5
秋田県,29,3.63,4,0.5,10,1.25,4,0.5,6,0.75,5,0.63
山形県,47,4.7,10,1,12,1.2,10,1,8,0.8,7,0.7
福島県,26,3.71,6,0.86,8,1.14,6,0.86,3,0.43,3,0.43
茨城県,56,4.31,13,1,18,1.38,12,0.92,2,0.15,11,0.85
栃木県,18,2.57,2,0.29,4,0.57,4,0.57,2,0.29,6,0.86
群馬県,38,4.22,5,0.56,9,1,8,0.89,5,0.56,11,1.22
埼玉県,73,6.08,24,2,19,1.58,11,0.92,10,0.83,9,0.75
千葉県,18,2,5,0.56,6,0.67,4,0.44,1,0.11,2,0.22
東京都,83,3.32,17,0.68,26,1.04,15,0.6,14,0.56,11,0.44
神奈川県,21,1.75,2,0.17,10,0.83,1,0.08,3,0.25,5,0.42
新潟県,75,5.77,16,1.23,18,1.38,17,1.31,12,0.92,12,0.92
富山県,16,3.2,0,0,5,1,5,1,3,0.6,3,0.6
石川県,21,4.2,7,1.4,5,1,6,1.2,2,0.4,1,0.2
福井県,48,8,4,0.67,7,1.17,8,1.33,12,2,17,2.83
山梨県,21,2.1,5,0.5,4,0.4,4,0.4,5,0.5,3,0.3
長野県,35,2.92,3,0.25,15,1.25,4,0.33,6,0.5,7,0.58
岐阜県,42,8.4,10,2,9,1.8,9,1.8,6,1.2,8,1.6
静岡県,32,3.2,4,0.4,15,1.5,6,0.6,2,0.2,5,0.5
愛知県,66,4.4,10,0.67,21,1.4,16,1.07,8,0.53,11,0.73
三重県,34,3.78,2,0.22,6,0.67,12,1.33,7,0.78,7,0.78
滋賀県,8,1.14,0,0,3,0.43,3,0.43,1,0.14,1,0.14
京都府,39,5.57,6,0.86,10,1.43,12,1.71,2,0.29,9,1.29
大阪府,46,2.56,7,0.39,12,0.67,10,0.56,8,0.44,9,0.5
兵庫県,145,10.36,13,0.93,43,3.07,49,3.5,33,2.36,7,0.5
奈良県,24,4,6,1,5,0.83,3,0.5,2,0.33,8,1.33
和歌山県,30,2.73,7,0.64,11,1,4,0.36,7,0.64,1,0.09
鳥取県,22,4.4,7,1.4,3,0.6,7,1.4,3,0.6,2,0.4
島根県,27,3.38,4,0.5,6,0.75,7,0.88,5,0.63,5,0.63
岡山県,24,4.8,17,3.4,3,0.6,2,0.4,1,0.2,1,0.2
広島県,131,6.55,50,2.5,29,1.45,25,1.25,16,0.8,11,0.55
山口県,21,2.33,5,0.56,7,0.78,3,0.33,4,0.44,2,0.22
徳島県,7,1,0,0,3,0.43,1,0.14,3,0.43,0,0
香川県,15,3,8,1.6,5,1,0,0,0,0,2,0.4
愛媛県,23,3.83,2,0.33,3,0.5,10,1.67,5,0.83,3,0.5
高知県,40,5,3,0.38,15,1.88,8,1,6,0.75,8,1
福岡県,78,5.2,10,0.67,27,1.8,18,1.2,12,0.8,11,0.73
佐賀県,23,3.83,5,0.83,4,0.67,6,1,4,0.67,4,0.67
長崎県,38,3.17,6,0.5,10,0.83,10,0.83,6,0.5,6,0.5
熊本県,29,1.93,5,0.33,9,0.6,6,0.4,3,0.2,6,0.4
大分県,12,1.09,1,0.09,2,0.18,5,0.45,2,0.18,2,0.18
宮崎県,16,2.29,2,0.29,7,1,0,0,6,0.86,1,0.14
鹿児島県,33,2.75,4,0.33,9,0.75,6,0.5,7,0.58,7,0.58
沖縄県,9,1.29,3,0.43,2,0.29,0,0,2,0.29,2,0.29
,,,,,,,,,,,,
クラミジア肺炎,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,9,0.02,0,0,2,0,3,0.01,3,0.01,1,0
北海道,2,0.09,0,0,0,0,1,0.05,0,0,1,0.04
青森県,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0,0,0,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,2,0.17,0,0,0,0,0,0,2,0.17,0,0
千葉県,0,0,0,0,0,0,0,0,0,0,0,0
東京都,0,0,0,0,0,0,0,0,0,0,0,0
神奈川県,0,0,0,0,0,0,0,0,0,0,0,0
新潟県,0,0,0,0,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0
福井県,2,0.33,0,0,1,0.17,0,0,1,0.17,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,0,0,0,0,0,0,0,0,0,0,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0
京都府,1,0.14,0,0,0,0,1,0.14,0,0,0,0
大阪府,2,0.11,0,0,1,0.06,1,0.06,0,0,0,0
兵庫県,0,0,0,0,0,0,0,0,0,0,0,0
奈良県,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0,0,0,0,0
広島県,0,0,0,0,0,0,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,0,0,0,0,0,0,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,0,0,0,0,0,0,0,0,0,0,0,0
熊本県,0,0,0,0,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
感染性胃腸炎（ロタウイルス）,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,72,0.15,12,0.03,4,0.01,11,0.02,15,0.03,30,0.06
北海道,3,0.14,0,0,0,0,2,0.09,0,0,1,0.04
青森県,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,3,0.16,0,0,0,0,0,0,2,0.11,1,0.05
宮城県,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0
福島県,1,0.14,0,0,0,0,0,0,1,0.14,0,0
茨城県,1,0.08,0,0,0,0,0,0,1,0.08,0,0
栃木県,2,0.29,0,0,0,0,0,0,0,0,2,0.29
群馬県,1,0.11,1,0.11,0,0,0,0,0,0,0,0
埼玉県,3,0.25,1,0.08,0,0,1,0.08,0,0,1,0.08
千葉県,1,0.11,0,0,0,0,1,0.11,0,0,0,0
東京都,2,0.08,1,0.04,0,0,0,0,0,0,1,0.04
神奈川県,2,0.17,0,0,0,0,1,0.08,1,0.08,0,0
新潟県,0,0,0,0,0,0,0,0,0,0,0,0
富山県,2,0.4,0,0,0,0,1,0.2,1,0.2,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0
長野県,1,0.08,0,0,0,0,0,0,0,0,1,0.08
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,1,0.07,0,0,0,0,0,0,0,0,1,0.07
三重県,1,0.11,1,0.11,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,12,0.67,2,0.11,1,0.06,1,0.06,1,0.06,7,0.39
兵庫県,7,0.5,0,0,3,0.21,1,0.07,0,0,3,0.21
奈良県,1,0.17,0,0,0,0,0,0,1,0.17,0,0
和歌山県,2,0.18,0,0,0,0,0,0,2,0.18,0,0
鳥取県,1,0.2,0,0,0,0,0,0,1,0.2,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,3,0.6,0,0,0,0,0,0,0,0,3,0.6
広島県,4,0.2,0,0,0,0,1,0.05,0,0,3,0.15
山口県,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,4,0.67,1,0.17,0,0,1,0.17,2,0.33,0,0
高知県,1,0.13,1,0.13,0,0,0,0,0,0,0,0
福岡県,4,0.27,0,0,0,0,1,0.07,0,0,3,0.2
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,8,0.67,4,0.33,0,0,0,0,1,0.08,3,0.25
熊本県,0,0,0,0,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,1,0.14,0,0,0,0,0,0,1,0.14,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
COVID-19,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,144895,30.27,22369,5.33,34953,7.08,27778,5.63,29926,6.06,29869,6.06
北海道,8846,41.14,2178,11.65,2338,10.53,1470,6.62,1454,6.55,1406,6.33
青森県,2206,40.11,443,9.43,499,8.6,369,6.36,436,7.52,459,7.91
岩手県,3078,49.65,747,12.05,795,12.82,583,9.4,488,7.87,465,7.5
宮城県,3878,42.62,401,4.41,1091,11.99,782,8.59,840,9.23,764,8.4
秋田県,1444,32.09,106,5.05,441,8.48,316,6.08,263,5.06,318,6.12
山形県,1185,31.18,119,4.58,313,7.45,249,5.93,276,6.57,228,5.43
福島県,4249,51.82,1091,13.3,941,11.48,769,9.38,780,9.51,668,8.15
茨城県,5579,48.09,1222,12.22,1370,11.42,1023,8.53,1052,8.77,912,7.6
栃木県,3027,42.63,387,7.59,819,10.78,620,8.16,647,8.51,554,7.29
群馬県,2755,34.87,378,6.87,794,9.34,495,5.82,581,6.84,507,5.96
埼玉県,8098,34.46,901,6.67,2049,7.85,1639,6.28,1648,6.31,1861,7.13
千葉県,6579,33.4,726,4.22,1591,7.84,1291,6.33,1440,7.06,1531,7.5
東京都,6211,15.61,428,1.34,1561,3.73,1210,2.89,1464,3.5,1548,3.7
神奈川県,7300,21.53,424,1.77,1806,4.98,1446,3.97,1782,4.86,1842,5.09
新潟県,2840,33.02,375,4.31,799,9.29,531,6.17,562,6.53,573,6.66
富山県,1375,29.26,131,2.91,404,8.42,277,5.77,326,6.79,237,4.94
石川県,1405,29.27,175,3.65,334,6.96,339,7.06,305,6.35,252,5.25
福井県,937,24.03,128,3.28,200,5.13,171,4.38,201,5.15,237,6.08
山梨県,1397,34.07,142,3.46,438,10.68,255,6.22,296,7.22,266,6.49
長野県,3959,47.7,703,10.82,950,10.8,758,8.61,790,8.98,758,8.61
岐阜県,3882,44.62,1210,13.91,825,9.48,627,7.21,669,7.69,551,6.33
静岡県,5132,36.92,765,5.5,1250,8.99,1080,7.77,1083,7.79,954,6.86
愛知県,8304,42.8,1868,9.58,1786,9.16,1560,8.04,1515,7.81,1575,8.12
三重県,2122,31.21,287,5.31,538,7.47,414,5.75,462,6.42,421,5.93
滋賀県,1621,28.95,347,8.46,406,6.77,296,4.93,296,4.93,276,4.6
京都府,2668,21.87,407,3.48,620,5,476,3.84,571,4.64,594,4.79
大阪府,5329,17.7,728,2.41,1154,3.82,994,3.3,1160,3.85,1293,4.3
兵庫県,4361,22.71,499,2.94,1058,5.34,866,4.37,976,4.93,962,4.86
奈良県,1405,29.27,76,3.8,359,6.53,250,4.55,327,5.95,393,7.15
和歌山県,1175,25,154,3.42,254,5.29,239,4.98,263,5.48,265,5.52
鳥取県,1081,37.28,237,8.17,173,5.97,198,6.83,251,8.66,222,7.66
島根県,936,24.63,188,4.95,170,4.47,159,4.18,208,5.47,211,5.55
岡山県,2566,30.55,464,5.52,631,7.51,467,5.56,483,5.75,521,6.2
広島県,3265,29.41,547,6.15,687,5.87,644,5.5,679,5.8,708,6.05
山口県,1844,27.52,154,2.3,433,6.46,352,5.25,450,6.72,455,6.79
徳島県,1667,45.05,242,6.54,426,11.51,348,9.41,355,9.59,296,8
香川県,1619,34.45,323,6.87,358,7.62,344,7.32,280,5.96,314,6.68
愛媛県,1862,33.25,162,3.68,462,7.7,399,6.65,409,6.82,430,7.17
高知県,1941,44.11,402,9.14,458,10.41,404,9.18,353,8.02,324,7.36
福岡県,4503,22.86,549,2.79,748,3.8,735,3.73,1040,5.28,1431,7.26
佐賀県,1047,27.55,162,4.5,251,6.44,198,5.08,202,5.18,234,6
長崎県,2554,36.49,351,5.01,589,8.41,515,7.36,559,7.99,540,7.71
熊本県,2047,25.91,229,2.9,493,6.24,441,5.58,461,5.84,423,5.29
大分県,1671,28.81,264,4.55,344,5.93,326,5.62,370,6.38,367,6.33
宮崎県,1631,29.13,178,3.42,409,7.05,340,5.86,372,6.41,332,5.72
鹿児島県,1847,20.75,245,2.75,449,5.04,391,4.39,428,4.81,334,3.75
沖縄県,467,8.34,126,2.25,89,1.59,122,2.18,73,1.3,57,1.02
